Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,63.6,79.1,80.05,82.0,74.25,75.75,-4.24
03102019,56.18,75.75,76.15,76.15,72.75,73.85,-2.51
04102019,53.83,73.85,73.55,76.7,73.55,74.25,0.54
07102019,74.0,74.25,74.25,76.0,72.0,72.55,-2.29
08102019,74.0,74.25,74.25,76.0,72.0,72.55,-2.29
09102019,68.82,72.55,72.5,73.3,71.6,72.3,-0.34
10102019,71.7,72.3,72.95,73.4,71.15,71.35,-1.31
11102019,59.97,71.35,71.45,72.45,70.05,70.45,-1.26
14102019,74.51,70.45,70.15,71.0,69.25,69.45,-1.42
15102019,55.33,69.45,69.0,70.1,68.05,68.45,-1.44
16102019,51.47,68.45,68.5,73.3,68.5,69.9,2.12
17102019,57.37,69.9,70.3,71.15,69.95,70.9,1.43
18102019,58.2,70.9,70.75,74.25,70.75,71.25,0.49
21102019,58.2,70.9,70.75,74.25,70.75,71.25,0.49
22102019,55.55,71.25,70.4,73.6,70.4,71.05,-0.28
23102019,54.41,71.05,71.1,71.85,70.2,70.9,-0.21
24102019,53.61,70.9,71.45,72.05,70.05,70.55,-0.49
25102019,32.82,70.55,70.1,79.95,70.1,76.0,7.73
28102019,66.16,76.0,76.3,76.3,74.5,75.3,-0.92
29102019,48.36,75.3,75.85,79.5,75.1,77.9,3.45
30102019,56.01,77.9,78.35,79.0,77.1,78.55,0.83
31102019,65.82,78.55,78.9,79.0,76.1,76.85,-2.16
01112019,60.37,76.85,76.1,77.7,75.1,75.7,-1.5
04112019,59.81,75.7,75.7,76.95,74.8,75.4,-0.4
05112019,52.6,75.4,76.0,78.2,75.9,76.25,1.13
06112019,53.49,76.25,76.25,77.8,75.2,76.35,0.13
07112019,74.42,76.35,77.0,77.9,76.0,76.75,0.52
08112019,55.78,76.75,77.8,77.8,76.0,76.3,-0.59
11112019,69.51,76.3,76.9,76.9,75.0,75.35,-1.25
12112019,69.51,76.3,76.9,76.9,75.0,75.35,-1.25
13112019,71.64,75.35,75.15,75.7,72.45,73.65,-2.26
