Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,51.81,22.25,22.5,23.1,19.25,20.4,-8.31
03102019,49.64,20.4,20.25,21.0,19.35,20.65,1.23
04102019,42.62,20.65,21.7,21.75,20.8,20.95,1.45
07102019,47.85,20.95,21.05,22.8,20.1,20.3,-3.1
08102019,47.85,20.95,21.05,22.8,20.1,20.3,-3.1
09102019,51.78,20.3,20.3,20.9,19.65,19.95,-1.72
10102019,54.24,19.95,19.95,20.5,19.45,19.7,-1.25
11102019,60.49,19.7,20.1,20.15,18.15,18.7,-5.08
14102019,56.43,18.7,18.7,19.2,18.25,18.55,-0.8
15102019,59.45,18.55,18.8,19.0,18.3,18.6,0.27
16102019,45.53,18.6,18.85,19.75,18.6,18.85,1.34
17102019,54.73,18.85,18.95,19.4,18.5,18.6,-1.33
18102019,37.37,18.6,19.75,20.85,19.75,20.25,8.87
21102019,37.37,18.6,19.75,20.85,19.75,20.25,8.87
22102019,54.2,20.25,20.25,20.45,19.5,19.75,-2.47
23102019,42.5,19.75,19.75,19.9,19.25,19.5,-1.27
24102019,60.87,19.5,19.65,20.0,19.0,19.2,-1.54
25102019,58.2,19.2,19.15,19.65,18.75,18.9,-1.56
28102019,76.66,18.9,19.0,19.35,18.75,18.9,0.0
29102019,53.74,18.9,19.3,19.9,18.75,19.2,1.59
30102019,70.0,19.2,19.5,19.9,19.05,19.2,0.0
31102019,79.2,19.2,19.4,19.75,19.2,19.35,0.78
01112019,54.55,19.35,19.65,19.65,18.95,19.25,-0.52
04112019,55.84,19.25,19.4,19.5,19.0,19.25,0.0
05112019,32.26,19.25,20.0,20.0,19.2,19.3,0.26
06112019,61.49,19.3,19.2,20.25,18.9,19.1,-1.04
07112019,74.57,19.1,19.25,19.35,18.45,18.65,-2.36
08112019,57.27,18.65,18.7,19.15,18.65,18.95,1.61
11112019,47.95,18.95,19.0,21.0,19.0,19.85,4.75
12112019,47.95,18.95,19.0,21.0,19.0,19.85,4.75
13112019,53.5,19.85,19.2,20.15,19.0,19.5,-1.76
14112019,33.02,19.5,19.25,21.35,18.8,19.35,-0.77
15112019,64.08,19.35,19.05,20.0,19.05,19.2,-0.78
18112019,78.38,19.2,19.5,19.5,18.85,19.0,-1.04
19112019,70.82,19.0,19.0,19.0,18.15,18.3,-3.68
20112019,67.67,18.3,18.55,18.8,18.0,18.3,0.0
21112019,62.87,18.3,18.4,18.8,18.2,18.25,-0.27
22112019,74.38,18.25,18.3,18.55,18.0,18.2,-0.27
25112019,65.19,18.2,19.25,19.25,18.25,18.45,1.37
26112019,66.46,18.45,18.5,18.8,18.05,18.15,-1.63
27112019,41.65,18.15,18.3,19.9,18.2,18.75,3.31
28112019,41.82,18.75,18.8,19.75,18.5,19.25,2.67
29112019,52.01,19.25,18.7,19.5,18.4,18.5,-3.9
02122019,43.51,18.5,18.8,18.9,18.25,18.4,-0.54
03122019,44.44,18.4,18.5,18.5,17.7,17.9,-2.72
04122019,39.71,17.9,17.6,18.45,17.5,18.05,0.84
05122019,65.68,18.05,18.2,18.2,17.6,17.85,-1.11
06122019,69.05,17.85,18.4,18.4,17.3,17.55,-1.68
09122019,63.53,17.55,17.55,17.6,16.9,17.1,-2.56
10122019,26.29,17.1,17.95,18.45,17.2,17.55,2.63
