Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
27122024,33.73,701.0,826.0,860.0,801.0,827.1,17.99
30122024,34.54,827.1,821.7,823.0,745.2,752.85,-8.98
31122024,19.68,752.85,754.0,787.25,736.6,745.4,-0.99
01012025,29.98,745.4,747.95,752.9,730.5,738.65,-0.91
02012025,20.53,738.65,740.0,824.2,735.55,813.05,10.07
03012025,25.08,813.05,810.0,814.95,778.9,789.25,-2.93
06012025,25.58,789.25,788.05,789.0,728.15,743.3,-5.82
07012025,23.14,743.3,752.35,785.0,741.05,775.85,4.38
08012025,27.7,775.85,778.9,781.15,736.4,758.5,-2.24
09012025,34.23,758.5,762.85,763.85,738.0,743.25,-2.01
10012025,32.38,743.25,748.55,748.55,695.05,700.25,-5.79
13012025,47.54,700.25,685.25,702.3,632.2,638.05,-8.88
14012025,21.37,638.05,663.0,690.6,640.7,681.0,6.73
15012025,26.01,681.0,690.0,694.0,660.85,667.7,-1.95
16012025,17.25,667.7,681.0,716.3,676.0,692.15,3.66
17012025,18.85,692.15,695.05,736.0,673.55,680.9,-1.63
20012025,16.22,680.9,769.0,773.6,705.0,724.1,6.34
21012025,22.07,724.1,724.1,730.0,692.0,722.85,-0.17
22012025,30.09,722.85,729.0,729.0,687.05,704.3,-2.57
23012025,27.13,704.3,693.0,693.0,656.55,673.4,-4.39
24012025,40.75,673.4,665.0,675.15,637.0,644.95,-4.22
27012025,44.06,644.95,636.0,636.0,575.0,584.65,-9.35
28012025,17.82,584.65,594.2,683.35,559.75,655.95,12.2
29012025,13.02,655.95,650.0,689.4,645.05,681.8,3.94
30012025,25.57,681.8,680.0,723.45,669.0,689.35,1.11
31012025,16.12,689.35,682.95,699.0,660.1,682.9,-0.94
03022025,27.41,669.5,654.95,669.0,635.2,646.4,-3.45
04022025,23.87,646.4,654.0,667.2,645.15,661.1,2.27
05022025,18.67,661.1,662.8,689.9,662.8,677.05,2.41
06022025,31.23,677.05,677.0,679.5,645.2,652.7,-3.6
07022025,10.57,652.7,658.0,703.45,652.7,665.95,2.03
10022025,27.63,665.95,672.95,681.65,643.15,650.25,-2.36
11022025,18.53,650.25,650.0,653.55,619.0,635.95,-2.2
12022025,14.01,635.95,640.0,651.95,609.2,644.65,1.37
13022025,26.69,644.65,645.0,662.95,636.25,652.9,1.28
14022025,44.02,652.9,559.0,560.0,522.35,522.35,-20.0
17022025,27.51,522.35,472.7,498.0,449.95,469.9,-10.04
18022025,31.23,469.9,472.25,483.2,445.0,455.1,-3.15
19022025,61.98,455.1,450.0,474.4,441.25,459.65,1.0
20022025,37.51,459.65,455.0,487.0,441.65,479.75,4.37
21022025,50.61,479.75,479.8,492.8,451.35,457.05,-4.73
24022025,61.92,457.05,454.0,454.0,430.75,435.75,-4.66
25022025,55.01,435.75,437.0,448.35,424.05,437.1,0.31
27022025,59.02,437.1,436.0,442.9,415.0,435.55,-0.35
28022025,47.03,435.55,429.8,442.8,417.9,440.9,1.23
03032025,51.31,440.9,448.35,451.8,423.7,433.9,-1.59
04032025,56.25,433.9,430.05,448.05,421.8,443.9,2.3
05032025,35.47,443.9,441.4,477.1,441.4,472.25,6.39
06032025,25.06,472.25,479.0,519.45,463.55,503.85,6.69
07032025,29.17,503.85,500.0,514.0,490.0,504.8,0.19
10032025,55.9,504.8,508.7,516.9,489.4,515.2,2.06
11032025,19.06,515.2,509.7,555.0,492.2,539.55,4.73
12032025,37.27,539.55,543.05,551.9,525.05,533.3,-1.16
13032025,36.74,533.3,533.3,537.55,508.0,513.3,-3.75
17032025,34.92,513.3,515.95,525.0,501.2,507.05,-1.22
18032025,33.27,507.05,509.9,534.35,505.6,528.2,4.17
19032025,39.15,528.2,532.95,534.0,513.0,517.35,-2.05
20032025,41.86,517.35,523.6,529.6,512.25,521.65,0.83
21032025,40.44,521.65,527.0,547.35,510.25,538.05,3.14
24032025,39.73,538.05,534.75,565.35,513.6,519.1,-3.52
25032025,38.6,519.1,525.0,536.7,505.3,510.55,-1.65
26032025,36.52,510.55,513.8,526.55,497.5,504.65,-1.16
27032025,55.51,504.65,499.5,529.95,499.5,507.25,0.52
28032025,61.03,507.25,510.0,518.85,491.1,494.8,-2.45
01042025,43.09,494.8,494.9,501.2,479.95,483.4,-2.3
02042025,46.97,483.4,483.0,509.45,478.55,489.85,1.33
03042025,58.31,489.85,488.9,538.8,479.35,538.8,9.99
04042025,23.59,538.8,547.0,585.0,531.2,541.05,0.42
07042025,21.67,541.05,465.0,524.8,465.0,515.75,-4.68
08042025,21.21,515.75,528.85,544.0,513.05,536.2,3.97
