Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
17042025,50.85,35.28,35.79,36.9,34.59,36.0,2.04
21042025,45.47,36.0,36.5,38.0,35.1,37.39,3.86
22042025,50.86,37.39,38.39,39.0,37.35,38.21,2.19
23042025,52.28,38.21,38.95,39.5,38.25,39.09,2.3
24042025,68.82,39.09,39.85,39.85,37.74,38.96,-0.33
25042025,53.26,38.96,39.7,39.7,37.47,38.45,-1.31
28042025,62.99,38.45,39.0,39.6,36.15,36.88,-4.08
29042025,36.42,36.88,37.43,37.89,36.17,36.69,-0.52
30042025,43.2,36.69,36.7,37.9,36.2,37.07,1.04
02052025,40.85,37.07,37.65,37.81,35.78,36.57,-1.35
05052025,43.99,36.57,37.3,38.06,36.02,36.91,0.93
06052025,38.34,36.91,37.4,37.82,35.55,36.16,-2.03
07052025,53.82,36.16,36.85,36.85,35.38,36.03,-0.36
08052025,71.6,36.03,36.52,36.8,34.0,35.06,-2.69
09052025,38.23,35.06,36.0,36.0,34.83,35.51,1.28
12052025,43.01,35.51,37.0,37.59,35.25,35.8,0.82
13052025,46.11,35.8,36.47,37.2,35.9,36.33,1.48
14052025,43.53,36.33,36.96,37.85,35.95,36.34,0.03
15052025,45.6,36.34,36.99,37.0,35.11,35.58,-2.09
16052025,39.56,35.58,36.0,36.97,35.13,35.34,-0.67
19052025,29.27,35.34,35.9,37.7,35.61,36.65,3.71
20052025,42.68,36.65,37.7,38.63,36.84,37.54,2.43
21052025,58.32,37.54,38.0,39.1,37.78,38.15,1.62
22052025,54.51,38.15,38.6,38.6,36.85,37.04,-2.91
23052025,66.16,37.04,37.55,37.57,36.71,37.0,-0.11
26052025,19.5,37.0,37.1,38.1,36.49,36.8,-0.54
27052025,25.25,36.8,37.63,38.8,37.02,38.47,4.54
28052025,38.01,38.47,39.24,39.24,32.51,34.98,-9.07
29052025,60.19,34.98,36.0,36.61,35.5,36.06,3.09
30052025,57.86,36.06,36.99,36.99,36.06,36.6,1.5
02062025,44.21,36.6,37.0,37.9,36.15,36.61,0.03
03062025,28.77,36.61,37.0,37.6,35.91,37.26,1.78
04062025,37.82,37.26,37.65,37.74,36.4,36.62,-1.72
05062025,36.18,36.62,37.02,37.34,35.7,35.96,-1.8
06062025,34.16,35.96,36.47,38.05,36.45,37.76,5.01
09062025,63.83,37.76,38.35,39.2,37.41,38.21,1.19
10062025,40.41,38.21,39.1,39.15,37.8,38.46,0.65
11062025,47.23,38.46,39.1,41.75,38.2,40.91,6.37
12062025,55.14,40.91,41.32,41.9,39.62,40.82,-0.22
13062025,48.33,40.82,40.8,40.8,39.4,39.79,-2.52
16062025,68.65,39.79,39.95,42.8,39.0,42.25,6.18
17062025,60.8,42.25,42.9,44.5,41.5,42.14,-0.26
18062025,55.25,42.14,42.0,43.5,41.87,42.65,1.21
19062025,43.43,42.65,43.0,44.5,41.27,42.28,-0.87
20062025,26.85,42.28,42.7,44.3,42.16,43.25,2.29
23062025,46.75,43.25,43.9,43.9,41.5,42.19,-2.45
24062025,39.25,42.19,42.8,43.35,41.73,42.21,0.05
25062025,32.73,42.21,42.8,43.02,41.77,42.12,-0.21
26062025,37.5,42.12,42.55,43.6,41.6,42.39,0.64
27062025,33.29,42.39,42.8,42.98,36.15,40.09,-5.43
30062025,33.39,40.09,40.09,41.41,39.34,40.56,1.17
01072025,43.8,40.56,41.15,42.0,40.5,40.8,0.59
02072025,53.76,40.8,41.2,41.4,40.0,40.23,-1.4
03072025,34.81,40.23,40.85,40.85,39.38,39.92,-0.77
04072025,27.64,39.92,40.1,41.79,38.8,40.92,2.51
