Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
20042026,56.96,7.3,7.6,8.0,7.0,7.45,2.05
21042026,81.37,7.45,7.85,8.0,7.5,7.7,3.36
22042026,75.55,7.7,7.6,7.65,7.35,7.6,-1.3
23042026,85.86,7.6,7.45,7.65,7.45,7.6,0.0
24042026,89.49,7.6,7.45,7.6,7.3,7.35,-3.29
27042026,72.8,7.35,7.35,7.7,7.2,7.3,-0.68
28042026,88.94,7.3,7.3,7.45,7.2,7.3,0.0
29042026,73.47,7.3,7.25,7.45,7.1,7.2,-1.37
30042026,72.16,7.2,7.15,7.35,6.95,7.3,1.39
01052026,72.16,7.2,7.15,7.35,6.95,7.3,1.39
04052026,65.0,7.3,7.25,7.28,7.05,7.13,-2.33
05052026,66.75,7.13,7.14,7.24,6.95,7.07,-0.84
06052026,67.37,7.07,7.04,7.45,7.04,7.28,2.97
07052026,41.3,7.28,7.43,8.0,7.2,7.48,2.75
08052026,67.74,7.48,7.3,8.2,7.3,7.99,6.82
11052026,19.98,7.99,8.0,8.6,7.62,8.18,2.38
12052026,36.52,8.18,8.38,8.38,7.84,7.9,-3.42
13052026,31.98,7.9,8.07,8.19,7.61,7.71,-2.41
14052026,47.22,7.71,7.72,9.19,7.72,8.59,11.41
15052026,72.46,8.59,8.28,8.28,7.75,7.8,-9.2
18052026,83.2,7.8,7.79,7.79,7.35,7.36,-5.64
19052026,25.14,7.36,7.25,8.7,7.2,7.47,1.49
20052026,79.13,7.47,7.46,7.46,6.91,7.02,-6.02
21052026,74.86,7.02,6.89,7.2,6.85,6.88,-1.99
22052026,81.77,6.88,7.0,7.0,6.65,6.66,-3.2
25052026,72.64,6.66,6.66,6.99,6.4,6.48,-2.7
26052026,81.06,6.48,6.6,6.6,6.06,6.13,-5.4
27052026,69.94,6.13,6.2,6.2,5.87,6.05,-1.31
28052026,69.94,6.13,6.2,6.2,5.87,6.05,-1.31
29052026,73.59,6.05,6.06,6.4,6.05,6.18,2.15
01062026,65.26,6.18,6.22,6.25,6.13,6.17,-0.16
02062026,61.01,6.17,6.16,6.18,6.0,6.04,-2.11
03062026,70.06,6.04,6.2,6.2,5.97,6.09,0.83
04062026,80.9,6.09,6.3,6.3,6.11,6.12,0.49
05062026,65.35,6.12,6.3,6.3,6.09,6.14,0.33
08062026,56.17,6.14,6.14,6.19,6.0,6.02,-1.95
