Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
20042026,68.0,12622.05,12622.05,12622.05,12026.0,12055.3,-4.49
21042026,66.89,12055.3,11801.0,12400.0,11801.0,12307.15,2.09
22042026,77.94,12307.15,12307.2,12307.2,12030.05,12209.3,-0.8
23042026,67.82,12209.3,12099.95,12450.0,12099.95,12250.0,0.33
24042026,68.99,12250.0,12580.15,12580.15,12001.0,12290.1,0.33
27042026,47.32,12290.1,12180.05,12500.0,12020.05,12389.05,0.81
28042026,59.13,12389.05,12450.05,12796.8,12012.1,12237.0,-1.23
29042026,88.48,12237.0,12620.05,12657.0,12144.7,12224.05,-0.11
30042026,63.68,12224.05,12450.05,12499.0,11911.25,12432.5,1.71
01052026,63.68,12224.05,12450.05,12499.0,11911.25,12432.5,1.71
04052026,61.15,12432.5,12432.0,12432.0,11751.0,12094.0,-2.72
05052026,72.73,12094.0,12367.0,12369.0,12109.0,12120.0,0.21
06052026,87.65,12120.0,12165.0,12442.0,12112.0,12122.0,0.02
07052026,77.96,12122.0,12210.0,12480.0,11790.0,12226.0,0.86
08052026,64.94,12226.0,12499.0,12499.0,12175.0,12268.0,0.34
11052026,71.83,12268.0,12473.0,12473.0,12100.0,12152.0,-0.95
12052026,65.06,12152.0,12403.0,12408.0,12021.0,12250.0,0.81
13052026,80.31,12250.0,12250.0,12250.0,12000.0,12141.0,-0.89
14052026,71.01,12141.0,12547.0,12547.0,11800.0,12089.0,-0.43
15052026,73.33,12089.0,11997.0,12299.0,11980.0,12163.0,0.61
18052026,74.55,12163.0,11902.0,12146.0,11902.0,12002.0,-1.32
19052026,34.76,12002.0,12222.0,12363.0,12005.0,12112.0,0.92
20052026,66.33,12112.0,11789.0,11902.0,11521.0,11612.0,-4.13
21052026,29.56,11612.0,11611.0,11744.0,11500.0,11593.0,-0.16
22052026,6.62,11593.0,11563.0,11799.0,11424.0,11551.0,-0.36
25052026,22.18,11551.0,11642.0,11819.0,11447.0,11567.0,0.14
26052026,8.68,11567.0,11800.0,11800.0,11423.0,11748.0,1.56
27052026,17.37,11748.0,11852.0,11997.0,11351.0,11566.0,-1.55
28052026,17.37,11748.0,11852.0,11997.0,11351.0,11566.0,-1.55
29052026,23.19,11566.0,11500.0,11750.0,11400.0,11458.0,-0.93
01062026,20.99,11458.0,11695.0,11795.0,11501.0,11680.0,1.94
02062026,6.99,11680.0,11698.0,11845.0,11445.0,11593.0,-0.74
03062026,4.98,11593.0,11607.0,11661.0,11360.0,11426.0,-1.44
04062026,39.63,11426.0,11306.0,11335.0,11087.0,11165.0,-2.28
05062026,16.99,11165.0,11077.0,11440.0,11075.0,11281.0,1.04
08062026,7.96,11281.0,10851.0,11300.0,10851.0,11091.0,-1.68
09062026,8.62,11091.0,11000.0,11345.0,11000.0,11212.0,1.09
10062026,11.42,11212.0,11260.0,11366.0,11096.0,11154.0,-0.52
11062026,13.3,11154.0,11351.0,11503.0,11146.0,11219.0,0.58
12062026,26.95,11219.0,11215.0,11639.0,11192.0,11379.0,1.43
15062026,26.94,11379.0,11648.0,11800.0,11418.0,11665.0,2.51
16062026,22.34,11665.0,11648.0,11648.0,11401.0,11501.0,-1.41
17062026,48.68,11501.0,11645.0,11988.0,11643.0,11793.0,2.54
18062026,43.38,11793.0,11700.0,12040.0,11700.0,12011.0,1.85
19062026,72.03,12011.0,12067.0,12200.0,12059.0,12200.0,1.57
22062026,28.35,12200.0,12291.0,12700.0,12236.0,12560.0,2.95
23062026,24.95,12560.0,12699.0,12699.0,12416.0,12522.0,-0.3
24062026,38.42,12522.0,12517.0,12605.0,12401.0,12448.0,-0.59
25062026,31.06,12448.0,12491.0,12580.0,12343.0,12519.0,0.57
26062026,31.06,12448.0,12491.0,12580.0,12343.0,12519.0,0.57
