Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,55.01,51.45,51.55,53.85,49.35,51.25,-0.39
03102019,62.68,51.25,51.25,59.4,50.7,57.85,12.88
04102019,61.39,57.85,58.3,58.8,56.0,57.1,-1.3
07102019,75.78,57.1,57.5,58.7,55.1,57.25,0.26
08102019,75.78,57.1,57.5,58.7,55.1,57.25,0.26
09102019,77.5,57.25,58.0,58.6,55.0,55.65,-2.79
10102019,77.49,55.65,55.35,57.75,55.0,55.45,-0.36
11102019,83.92,55.45,55.85,57.0,53.75,54.15,-2.34
14102019,70.17,54.15,54.15,58.9,54.15,57.4,6.0
15102019,51.4,57.4,58.95,63.0,57.0,61.6,7.32
16102019,54.99,61.6,62.95,63.75,57.5,61.6,0.0
17102019,48.62,61.6,61.3,64.7,61.2,63.7,3.41
18102019,56.1,63.7,63.6,67.55,62.05,63.7,0.0
21102019,56.1,63.7,63.6,67.55,62.05,63.7,0.0
22102019,72.94,63.7,65.95,65.95,64.0,65.05,2.12
23102019,85.89,65.05,65.05,65.25,63.2,64.1,-1.46
24102019,70.47,64.1,62.85,68.75,62.7,67.65,5.54
25102019,54.15,67.65,69.0,74.6,66.25,72.3,6.87
28102019,79.08,72.3,73.5,74.0,72.3,73.15,1.18
29102019,65.38,73.15,73.9,75.8,73.0,75.15,2.73
30102019,61.67,75.15,75.5,83.8,73.75,81.25,8.12
31102019,63.53,81.25,81.2,82.0,75.25,77.35,-4.8
01112019,73.72,77.35,78.65,79.8,76.2,76.85,-0.65
04112019,65.98,76.85,79.95,80.05,76.0,78.5,2.15
05112019,68.27,78.5,78.15,81.45,76.4,80.25,2.23
06112019,74.48,80.25,80.35,83.0,76.0,76.85,-4.24
07112019,78.18,76.85,79.6,79.6,74.35,76.2,-0.85
08112019,84.36,76.2,77.0,77.25,74.0,74.45,-2.3
11112019,54.95,74.45,72.5,73.9,65.0,69.0,-7.32
12112019,54.95,74.45,72.5,73.9,65.0,69.0,-7.32
13112019,77.31,69.0,66.25,68.75,66.1,66.6,-3.48
14112019,72.19,66.6,66.35,67.95,65.1,66.35,-0.38
15112019,71.81,66.35,65.95,66.0,62.55,63.3,-4.6
18112019,82.51,63.3,63.5,67.25,62.7,66.75,5.45
19112019,63.83,66.75,67.25,71.5,66.4,70.2,5.17
20112019,73.79,70.2,70.15,72.1,69.5,70.85,0.93
21112019,64.26,70.85,70.05,71.0,67.55,68.0,-4.02
22112019,70.03,68.0,68.1,68.5,66.75,67.4,-0.88
25112019,60.37,67.4,68.0,68.1,65.55,66.45,-1.41
26112019,88.71,66.45,66.5,67.0,65.05,65.5,-1.43
27112019,74.22,65.5,65.15,67.2,65.1,66.2,1.07
28112019,68.76,66.2,66.45,66.8,65.4,65.9,-0.45
29112019,73.73,65.9,66.05,66.05,63.55,64.8,-1.67
02122019,87.19,64.8,64.9,67.0,63.0,65.85,1.62
03122019,71.19,65.85,66.45,66.5,63.1,64.25,-2.43
04122019,56.93,64.25,64.65,64.7,63.2,64.4,0.23
05122019,78.37,64.4,63.95,65.3,63.5,64.7,0.47
06122019,62.76,64.7,64.8,65.6,63.5,64.1,-0.93
09122019,71.13,64.1,61.7,64.7,61.7,63.45,-1.01
10122019,83.04,63.45,63.7,63.7,62.35,62.7,-1.18
11122019,86.53,62.7,62.7,63.3,62.0,62.25,-0.72
12122019,93.23,62.25,62.0,62.45,61.55,61.85,-0.64
13122019,66.49,61.85,61.9,63.0,61.85,62.6,1.21
16122019,80.64,62.6,62.65,63.85,62.65,62.9,0.48
17122019,66.04,62.9,62.55,69.3,62.3,67.9,7.95
18122019,85.05,67.9,68.8,68.85,66.05,66.35,-2.28
19122019,88.89,66.35,66.35,66.5,65.2,66.05,-0.45
20122019,75.46,66.05,67.85,68.0,65.0,67.1,1.59
23122019,85.59,67.1,67.0,67.25,65.05,65.75,-2.01
24122019,73.72,65.75,67.95,68.0,64.8,66.4,0.99
25122019,73.72,65.75,67.95,68.0,64.8,66.4,0.99
26122019,93.04,66.4,66.45,66.65,64.8,65.0,-2.11
27122019,91.11,65.0,66.0,67.2,64.8,66.6,2.46
30122019,88.72,66.6,66.6,66.6,64.5,64.7,-2.85
31122019,83.86,64.7,66.35,66.65,63.3,64.85,0.23
01012020,88.78,64.85,63.95,65.6,62.55,63.55,-2.0
02012020,72.61,63.55,62.9,67.75,62.9,66.05,3.93
03012020,89.38,66.05,66.7,66.75,63.3,63.7,-3.56
06012020,94.4,63.7,64.0,64.0,60.3,61.1,-4.08
07012020,79.65,61.1,61.1,64.0,59.55,60.2,-1.47
08012020,78.72,60.2,60.0,61.15,56.65,57.75,-4.07
09012020,75.02,57.75,58.3,60.35,57.3,57.75,0.0
10012020,78.39,57.75,59.65,59.7,54.8,55.85,-3.29
13012020,82.92,55.85,55.9,58.2,55.2,55.95,0.18
14012020,93.33,55.95,58.8,58.8,55.9,56.9,1.7
15012020,53.91,56.9,56.7,60.85,56.25,58.0,1.93
16012020,56.59,58.0,59.4,60.7,56.15,57.05,-1.64
17012020,65.7,57.05,57.1,57.8,52.25,53.85,-5.61
20012020,69.93,53.85,53.85,55.0,52.05,53.0,-1.58
21012020,75.42,53.0,52.1,52.8,49.0,50.25,-5.19
22012020,67.66,50.25,49.05,51.85,46.95,48.95,-2.59
23012020,67.36,48.95,49.0,50.4,48.0,49.75,1.63
24012020,71.65,49.75,50.95,59.05,49.05,57.4,15.38
27012020,66.36,57.4,58.45,60.4,56.55,57.75,0.61
28012020,89.1,57.75,58.65,58.65,54.15,54.75,-5.19
29012020,74.15,54.75,56.9,57.0,54.3,56.15,2.56
30012020,68.48,56.15,54.3,56.3,53.1,55.3,-1.51
31012020,68.01,55.3,55.55,56.75,54.35,54.85,-0.81
03022020,68.81,52.15,52.5,55.6,50.95,51.5,-1.25
04022020,73.06,51.5,53.0,55.75,51.95,52.85,2.62
05022020,71.36,52.85,53.75,55.4,52.3,54.2,2.55
06022020,56.6,54.2,55.6,58.45,53.05,55.8,2.95
07022020,51.8,55.8,56.7,56.9,53.5,55.35,-0.81
10022020,81.17,55.35,55.35,57.05,53.5,55.9,0.99
11022020,78.77,55.9,56.05,58.5,55.9,56.25,0.63
12022020,59.43,56.25,56.2,58.0,55.95,56.9,1.16
13022020,72.68,56.9,56.0,63.2,55.7,61.35,7.82
14022020,70.06,61.35,61.9,62.9,60.4,61.7,0.57
17022020,73.34,61.7,61.95,62.0,57.45,57.85,-6.24
18022020,70.55,57.85,57.9,58.55,56.0,57.8,-0.09
19022020,76.1,57.8,57.8,59.0,56.95,57.7,-0.17
20022020,86.42,57.7,57.55,59.0,56.75,58.25,0.95
21022020,86.42,57.7,57.55,59.0,56.75,58.25,0.95
24022020,78.57,58.25,58.4,58.4,55.05,55.45,-4.81
25022020,72.44,55.45,56.7,56.7,55.3,55.85,0.72
26022020,93.03,55.85,55.5,56.6,54.95,55.7,-0.27
27022020,96.49,55.7,55.5,56.15,54.7,55.6,-0.18
28022020,75.27,55.6,54.0,54.5,50.75,52.4,-5.76
02032020,82.57,52.4,56.4,62.5,48.55,50.1,-4.39
03032020,74.53,50.1,51.9,53.0,48.0,49.95,-0.3
04032020,65.9,49.95,49.5,50.3,43.0,46.85,-6.21
05032020,67.5,46.85,46.15,49.45,45.9,48.1,2.67
06032020,76.16,48.1,45.6,47.95,45.55,47.2,-1.87
09032020,78.5,47.2,46.0,46.0,42.0,43.7,-7.42
