Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,89.53,195.1,195.15,197.5,185.0,186.95,-4.18
03102019,31.61,186.95,185.2,194.3,185.2,192.9,3.18
04102019,74.34,192.9,188.05,192.0,188.05,190.35,-1.32
07102019,69.45,190.35,196.95,196.95,185.0,185.85,-2.36
08102019,69.45,190.35,196.95,196.95,185.0,185.85,-2.36
09102019,58.54,185.85,196.95,196.95,169.1,181.5,-2.34
10102019,67.62,181.5,189.0,189.0,181.0,182.2,0.39
11102019,58.41,182.2,187.95,187.95,181.2,182.75,0.3
14102019,72.42,182.75,191.95,191.95,182.0,183.6,0.47
15102019,56.03,183.6,180.0,183.95,178.0,178.45,-2.81
16102019,98.49,178.45,177.0,185.7,177.0,183.15,2.63
17102019,88.36,183.15,184.35,187.2,176.0,177.25,-3.22
18102019,61.32,177.25,185.0,185.0,174.05,176.05,-0.68
21102019,61.32,177.25,185.0,185.0,174.05,176.05,-0.68
22102019,59.42,176.05,182.8,182.8,177.55,178.55,1.42
23102019,70.5,178.55,182.0,182.0,174.3,175.3,-1.82
24102019,61.86,175.3,175.85,177.3,173.0,175.25,-0.03
25102019,84.65,175.25,175.1,177.95,171.8,174.95,-0.17
28102019,62.67,174.95,172.5,180.0,172.5,174.35,-0.34
29102019,27.17,174.35,176.9,184.85,173.05,179.55,2.98
30102019,52.15,179.55,192.95,192.95,177.05,178.55,-0.56
31102019,52.11,178.55,176.0,185.9,176.0,181.25,1.51
01112019,63.24,181.25,179.05,189.95,178.5,180.65,-0.33
04112019,85.76,180.65,189.0,189.0,179.0,180.55,-0.06
05112019,66.74,180.55,179.0,182.95,179.0,180.55,0.0
06112019,83.99,180.55,178.35,180.15,178.0,178.75,-1.0
07112019,70.21,178.75,178.95,180.95,176.0,177.8,-0.53
08112019,73.07,177.8,177.6,181.05,175.95,176.1,-0.96
11112019,80.77,176.1,180.0,182.25,174.1,175.8,-0.17
12112019,80.77,176.1,180.0,182.25,174.1,175.8,-0.17
13112019,85.58,175.8,172.05,175.8,163.65,166.5,-5.29
14112019,48.74,166.5,163.0,170.0,156.6,158.05,-5.08
15112019,62.98,158.05,159.7,162.7,156.35,157.7,-0.22
18112019,64.84,157.7,158.05,161.95,157.0,157.35,-0.22
19112019,59.58,157.35,157.05,159.9,155.0,156.7,-0.41
20112019,59.1,156.7,155.2,159.15,154.0,155.4,-0.83
