Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,69.94,30.15,29.5,30.0,28.45,29.6,-1.82
03102019,76.5,29.6,29.8,30.85,28.1,29.45,-0.51
04102019,65.19,29.45,29.05,30.85,29.05,30.15,2.38
07102019,67.2,30.15,30.0,30.95,28.4,29.95,-0.66
08102019,67.2,30.15,30.0,30.95,28.4,29.95,-0.66
09102019,78.43,29.95,29.35,30.8,29.3,30.0,0.17
10102019,53.24,30.0,29.4,29.8,29.35,29.6,-1.33
11102019,86.69,29.6,30.35,30.35,29.2,29.55,-0.17
14102019,46.62,29.55,29.0,30.3,27.6,28.65,-3.05
15102019,49.8,28.65,29.15,30.0,28.6,28.95,1.05
16102019,68.59,28.95,29.05,29.2,26.7,28.35,-2.07
17102019,71.92,28.35,28.05,28.55,27.65,28.35,0.0
18102019,64.75,28.35,28.5,30.95,28.5,30.1,6.17
21102019,64.75,28.35,28.5,30.95,28.5,30.1,6.17
22102019,40.78,30.1,30.95,32.6,29.6,30.9,2.66
23102019,58.82,30.9,31.0,31.45,30.05,30.15,-2.43
24102019,60.12,30.15,30.0,31.9,29.65,31.25,3.65
25102019,34.45,31.25,30.3,34.35,29.9,33.8,8.16
28102019,58.56,33.8,34.0,34.0,31.7,32.85,-2.81
29102019,76.24,32.85,32.7,33.4,31.4,31.75,-3.35
30102019,68.48,31.75,32.0,33.8,32.0,33.35,5.04
31102019,44.41,33.35,34.0,35.2,32.65,33.0,-1.05
01112019,74.08,33.0,33.6,33.6,32.0,32.35,-1.97
04112019,51.45,32.35,32.15,32.9,31.65,32.35,0.0
05112019,80.93,32.35,32.15,32.35,30.7,31.25,-3.4
06112019,44.67,31.25,31.0,33.35,30.9,31.65,1.28
07112019,72.05,31.65,31.2,33.0,29.65,29.95,-5.37
08112019,59.36,29.95,30.5,32.35,30.3,31.2,4.17
11112019,69.35,31.2,31.75,31.85,31.0,31.0,-0.64
12112019,69.35,31.2,31.75,31.85,31.0,31.0,-0.64
13112019,62.0,31.0,31.45,32.0,30.85,31.05,0.16
14112019,74.13,31.05,31.1,31.1,30.0,30.1,-3.06
15112019,59.76,30.1,30.2,31.9,29.35,29.9,-0.66
18112019,63.09,29.9,29.7,30.5,29.15,29.5,-1.34
19112019,82.68,29.5,29.1,30.45,28.2,28.95,-1.86
20112019,84.99,28.95,29.75,29.75,29.0,29.05,0.35
21112019,75.14,29.05,29.1,29.65,28.75,28.9,-0.52
22112019,28.28,28.9,29.75,33.7,28.55,31.9,10.38
25112019,84.95,31.9,32.5,32.9,31.0,31.55,-1.1
26112019,72.43,31.55,31.35,31.8,29.3,30.0,-4.91
27112019,84.9,30.0,30.05,31.0,30.05,30.5,1.67
28112019,81.33,30.5,30.4,31.5,30.2,30.95,1.48
29112019,89.8,30.95,30.45,31.8,30.35,31.0,0.16
02122019,63.65,31.0,31.15,31.95,30.05,30.3,-2.26
03122019,54.79,30.3,30.7,31.2,30.0,30.35,0.17
04122019,21.98,30.35,31.5,33.0,31.2,31.45,3.62
05122019,44.16,31.45,30.8,31.45,30.5,30.7,-2.38
06122019,57.83,30.7,30.55,31.0,30.1,30.15,-1.79
09122019,77.17,30.15,30.05,31.55,30.05,31.1,3.15
10122019,72.45,31.1,30.3,31.45,29.0,29.25,-5.95
11122019,67.43,29.25,29.5,30.9,29.0,30.0,2.56
12122019,76.74,30.0,29.55,30.45,29.2,29.25,-2.5
13122019,33.85,29.25,29.05,31.0,29.05,30.1,2.91
16122019,86.02,30.1,29.7,30.6,29.6,30.0,-0.33
17122019,51.25,30.0,29.6,30.4,29.6,29.95,-0.17
18122019,62.72,29.95,30.0,30.25,29.65,29.8,-0.5
19122019,80.89,29.8,29.55,30.35,29.3,29.35,-1.51
20122019,68.95,29.35,29.85,30.8,29.45,30.5,3.92
23122019,49.37,30.5,30.95,32.55,30.5,31.05,1.8
