Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
30122021,64.86,173.49,174.0,178.0,172.04,176.92,1.98
31122021,74.24,176.92,177.0,179.8,175.15,178.82,1.07
03012022,90.72,178.82,179.1,181.2,179.1,180.44,0.91
04012022,99.02,180.44,181.0,182.5,180.5,181.55,0.62
05012022,78.76,181.55,183.0,183.0,179.1,181.39,-0.09
06012022,97.24,181.39,181.3,181.3,179.0,180.15,-0.68
07012022,97.71,180.15,180.1,180.25,178.1,179.35,-0.44
10012022,91.26,179.35,183.0,183.0,178.0,180.43,0.6
11012022,75.14,180.43,180.01,181.5,179.25,181.27,0.47
12012022,77.7,181.27,181.0,181.55,178.1,181.24,-0.02
13012022,91.14,181.24,181.2,183.1,181.2,182.06,0.45
14012022,90.17,182.06,182.0,183.5,181.2,182.68,0.34
17012022,85.01,182.68,185.25,185.25,182.5,183.8,0.61
18012022,63.63,183.8,186.0,186.0,181.1,181.56,-1.22
19012022,93.42,181.56,182.0,182.0,179.5,179.9,-0.91
20012022,92.47,179.9,178.02,180.89,178.02,179.96,0.03
21012022,96.55,179.96,181.0,182.0,176.9,177.88,-1.16
24012022,99.23,177.88,177.25,177.6,170.16,171.39,-3.65
25012022,99.07,171.39,170.01,173.0,169.0,172.91,0.89
27012022,98.01,172.91,172.91,172.91,168.6,169.29,-2.09
28012022,88.56,169.29,170.7,173.35,170.0,171.75,1.45
31012022,74.93,171.75,174.7,175.0,171.0,173.2,0.84
01022022,63.24,173.2,173.2,177.0,171.0,174.35,0.66
02022022,98.4,174.35,175.0,175.5,173.0,175.23,0.5
03022022,91.26,175.23,176.0,177.5,174.4,174.49,-0.42
04022022,94.34,174.49,175.5,175.5,172.25,174.08,-0.23
07022022,95.83,174.08,175.0,175.0,172.75,173.07,-0.58
08022022,97.83,173.07,172.5,173.5,170.5,171.2,-1.08
09022022,99.47,171.2,172.0,172.45,171.25,171.81,0.36
10022022,86.65,171.81,172.0,173.5,172.0,172.85,0.61
11022022,77.43,172.85,171.65,171.65,169.02,169.45,-1.97
14022022,94.24,169.45,167.0,167.25,164.1,164.98,-2.64
15022022,81.06,164.98,166.0,166.75,163.0,165.27,0.18
16022022,85.2,165.27,166.0,169.25,165.65,165.65,0.23
17022022,96.91,165.65,166.0,166.0,165.25,165.44,-0.13
18022022,49.61,165.44,165.1,166.25,164.01,165.24,-0.12
21022022,86.02,165.24,159.73,165.0,159.73,164.42,-0.5
22022022,97.57,164.42,160.0,161.5,157.63,160.82,-2.19
23022022,75.88,160.82,161.0,163.5,159.5,162.14,0.82
24022022,89.13,162.14,162.5,162.5,155.1,155.83,-3.89
25022022,95.35,155.83,159.0,161.0,156.25,159.57,2.4
28022022,84.98,159.57,162.0,162.0,157.75,161.4,1.15
01032022,84.98,159.57,162.0,162.0,157.75,161.4,1.15
02032022,94.43,161.4,161.8,163.0,160.0,161.89,0.3
03032022,91.59,161.89,159.0,163.5,157.8,161.35,-0.33
04032022,66.9,161.35,164.58,164.58,157.9,158.71,-1.64
07032022,89.23,158.71,158.71,173.45,154.0,161.61,1.83
08032022,93.63,161.61,159.0,159.8,156.1,157.78,-2.37
09032022,87.17,157.78,158.8,161.4,158.0,159.93,1.36
10032022,81.88,159.93,160.5,166.5,160.4,162.4,1.54
11032022,99.64,162.4,164.5,164.5,161.1,161.37,-0.63
14032022,82.98,161.37,164.0,164.0,161.76,162.19,0.51
15032022,81.92,162.19,162.8,162.8,159.87,160.76,-0.88
16032022,96.05,160.76,165.5,165.5,161.25,162.99,1.39
17032022,56.81,162.99,164.0,166.0,163.0,164.63,1.01
18032022,56.81,162.99,164.0,166.0,163.0,164.63,1.01
21032022,84.54,164.63,167.95,167.95,164.5,165.32,0.42
22032022,54.67,165.32,165.32,165.32,163.5,164.92,-0.24
23032022,72.56,164.92,165.8,168.8,164.5,165.04,0.07
24032022,59.73,165.04,164.5,166.4,164.3,165.21,0.1
25032022,59.0,165.21,165.21,165.5,163.75,164.22,-0.6
28032022,56.63,164.22,164.22,165.0,162.95,163.74,-0.29
29032022,92.67,163.74,163.75,164.6,163.75,164.48,0.45
30032022,93.98,164.48,170.0,170.0,165.0,166.43,1.19
31032022,81.2,166.43,171.0,171.0,166.49,167.0,0.34
01042022,69.34,167.0,167.8,169.5,166.75,167.62,0.37
04042022,51.46,167.62,172.5,172.5,167.67,171.16,2.11
05042022,78.52,171.16,174.5,174.5,169.0,172.01,0.5
06042022,52.37,172.01,168.6,173.0,168.6,171.54,-0.27
07042022,96.02,171.54,170.1,172.44,170.1,171.29,-0.15
08042022,78.97,171.29,171.3,173.0,170.75,172.75,0.85
11042022,62.36,172.75,189.0,189.0,170.0,173.7,0.55
12042022,94.64,173.7,172.3,173.0,170.35,170.95,-1.58
13042022,56.67,170.95,171.8,173.25,170.8,170.82,-0.08
14042022,56.67,170.95,171.8,173.25,170.8,170.82,-0.08
15042022,56.67,170.95,171.8,173.25,170.8,170.82,-0.08
18042022,90.56,170.82,165.33,176.2,165.33,168.93,-1.11
19042022,90.73,168.93,169.8,171.0,168.0,169.59,0.39
20042022,51.1,169.59,171.0,171.0,167.3,168.13,-0.86
21042022,88.52,168.13,169.0,169.5,168.0,168.92,0.47
22042022,84.36,168.92,168.5,170.25,167.0,169.37,0.27
25042022,69.69,169.37,172.8,172.8,166.25,166.75,-1.55
26042022,81.21,166.75,168.75,169.0,167.0,167.5,0.45
27042022,96.99,167.5,167.5,167.5,164.5,166.46,-0.62
28042022,72.47,166.46,170.85,170.85,166.0,167.22,0.46
29042022,78.4,167.22,167.25,168.0,166.0,166.12,-0.66
02052022,64.68,166.12,165.4,166.12,164.0,165.48,-0.39
03052022,64.68,166.12,165.4,166.12,164.0,165.48,-0.39
04052022,57.88,165.48,176.2,176.2,162.5,163.18,-1.39
05052022,83.13,163.18,163.7,166.7,162.0,162.84,-0.21
06052022,96.32,162.84,162.6,162.6,158.1,160.41,-1.49
09052022,82.53,160.41,160.35,160.35,156.0,157.78,-1.64
10052022,70.59,157.78,157.75,159.0,153.8,157.06,-0.46
11052022,61.08,157.06,157.0,157.0,152.5,153.77,-2.09
12052022,98.19,153.77,155.3,155.3,151.01,152.24,-0.99
