Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
27072022,64.79,139.9,143.6,146.8,136.0,136.6,-2.36
28072022,79.89,136.6,143.4,143.4,139.1,142.65,4.43
29072022,65.12,142.65,149.0,149.75,145.65,149.75,4.98
01082022,88.83,149.75,157.2,157.2,157.2,157.2,4.97
02082022,49.03,157.2,165.05,165.05,157.55,165.05,4.99
03082022,48.04,165.05,173.3,173.3,160.6,171.2,3.73
04082022,67.8,171.2,173.0,173.65,162.65,162.65,-4.99
05082022,74.66,162.65,158.2,162.65,154.55,154.55,-4.98
10082022,68.68,162.25,162.5,167.0,155.0,156.4,-3.61
11082022,74.28,156.4,151.5,155.0,148.6,148.6,-4.99
12082022,45.39,148.6,148.0,152.0,141.1,143.7,-3.3
16082022,60.55,143.7,143.9,150.85,143.55,144.35,0.45
17082022,67.71,144.35,143.0,148.8,142.6,145.75,0.97
18082022,67.48,145.75,149.9,150.0,145.05,147.65,1.3
19082022,70.7,147.65,146.0,150.0,143.3,148.85,0.81
22082022,59.77,148.85,151.0,153.4,141.45,143.1,-3.86
23082022,68.38,143.1,147.6,147.9,143.05,146.65,2.48
24082022,56.83,146.65,151.9,151.9,143.95,145.3,-0.92
25082022,73.23,145.3,146.45,149.05,143.0,144.0,-0.89
26082022,47.36,144.0,144.0,150.5,142.25,146.6,1.81
29082022,59.8,146.6,140.55,148.75,140.55,147.6,0.68
30082022,69.43,147.6,150.7,154.95,147.1,154.95,4.98
31082022,69.43,147.6,150.7,154.95,147.1,154.95,4.98
01092022,66.37,154.95,155.0,162.65,154.95,162.65,4.97
02092022,62.47,162.65,170.0,170.7,161.35,163.75,0.68
05092022,68.08,163.75,160.0,170.0,158.55,168.45,2.87
06092022,66.39,168.45,171.0,171.0,162.65,164.2,-2.52
07092022,72.65,164.2,160.9,165.0,160.9,163.55,-0.4
08092022,62.07,163.55,160.6,168.45,160.6,164.5,0.58
09092022,67.77,164.5,167.9,167.9,159.5,164.0,-0.3
12092022,65.69,164.0,164.0,167.45,160.75,161.85,-1.31
13092022,47.19,161.85,166.0,166.0,155.35,159.05,-1.73
14092022,64.07,159.05,153.0,163.2,153.0,159.65,0.38
15092022,63.59,159.65,157.25,163.0,157.05,158.85,-0.5
16092022,59.18,158.85,159.15,159.15,152.25,155.05,-2.39
19092022,63.01,155.05,155.0,162.8,155.0,161.45,4.13
20092022,64.21,161.45,167.8,168.0,159.0,161.35,-0.06
21092022,67.98,161.35,162.0,164.95,156.0,157.1,-2.63
22092022,62.59,157.1,156.75,159.5,152.25,153.6,-2.23
23092022,59.94,153.6,158.0,158.05,147.4,149.15,-2.9
26092022,59.29,149.15,144.05,148.3,141.7,143.75,-3.62
27092022,60.83,143.75,144.95,147.85,136.6,137.05,-4.66
28092022,55.76,137.05,133.0,141.45,131.55,138.8,1.28
29092022,57.43,138.8,145.45,145.45,135.9,139.75,0.68
30092022,74.12,139.75,146.5,146.7,140.0,146.7,4.97
03102022,68.43,146.7,146.7,146.7,139.4,140.7,-4.09
04102022,59.75,140.7,143.0,144.95,141.05,142.4,1.21
05102022,59.75,140.7,143.0,144.95,141.05,142.4,1.21
06102022,65.38,142.4,149.0,149.5,142.4,149.5,4.99
07102022,69.56,149.5,153.95,156.95,151.1,156.3,4.55
10102022,54.0,156.3,162.4,171.9,157.0,168.35,7.71
11102022,61.33,168.35,175.0,179.4,163.5,164.35,-2.38
12102022,61.38,164.35,172.5,172.5,157.35,163.85,-0.3
13102022,56.34,163.85,168.0,169.5,159.5,161.55,-1.4
14102022,64.63,161.55,165.0,165.95,157.0,160.5,-0.65
17102022,61.89,160.5,166.0,176.0,160.05,173.1,7.85
18102022,58.05,173.1,189.0,189.0,175.65,186.25,7.6
19102022,45.39,186.25,191.0,191.0,179.1,183.95,-1.23
20102022,48.94,183.95,186.9,186.9,175.0,176.5,-4.05
21102022,60.45,176.5,182.0,182.0,173.0,174.45,-1.16
24102022,53.24,174.45,167.35,181.95,167.35,178.2,2.15
25102022,66.07,178.2,182.0,183.95,170.1,173.85,-2.44
26102022,66.07,178.2,182.0,183.95,170.1,173.85,-2.44
27102022,62.27,173.85,177.0,184.0,174.75,182.05,4.72
28102022,65.93,182.05,183.0,185.0,177.8,179.2,-1.57
31102022,63.71,179.2,185.0,185.0,175.05,178.7,-0.28
01112022,62.05,178.7,176.5,187.0,176.5,179.95,0.7
02112022,64.78,179.95,183.95,183.95,176.0,177.25,-1.5
03112022,60.16,177.25,178.5,182.35,174.95,178.1,0.48
04112022,58.37,178.1,181.0,181.9,176.0,177.05,-0.59
07112022,58.6,177.05,181.9,183.0,175.3,177.5,0.25
08112022,58.6,177.05,181.9,183.0,175.3,177.5,0.25
09112022,62.9,177.5,180.0,182.5,177.15,178.95,0.82
10112022,56.96,178.95,182.0,184.0,176.0,178.7,-0.14
11112022,74.74,178.7,183.8,183.8,177.1,179.0,0.17
14112022,68.98,179.0,177.0,177.0,163.15,165.3,-7.65
15112022,62.79,165.3,171.85,171.85,162.4,166.0,0.42
16112022,56.74,166.0,165.65,173.0,165.65,168.15,1.3
17112022,65.31,168.15,170.9,170.9,166.1,167.2,-0.56
18112022,51.76,167.2,169.75,169.75,162.05,165.45,-1.05
21112022,67.73,165.45,162.15,166.0,161.0,162.55,-1.75
22112022,57.93,162.55,165.5,165.5,158.4,160.4,-1.32
23112022,75.23,160.4,161.85,164.95,159.5,163.2,1.75
24112022,58.31,163.2,165.0,167.7,159.15,162.85,-0.21
25112022,66.31,162.85,163.0,174.45,162.35,168.9,3.72
28112022,63.05,168.9,168.9,173.35,166.05,167.1,-1.07
29112022,62.11,167.1,166.1,169.9,163.8,164.15,-1.77
30112022,61.12,164.15,168.0,168.0,161.75,164.3,0.09
01122022,58.89,164.3,165.05,165.05,161.05,162.2,-1.28
02122022,67.57,162.2,163.0,163.9,158.0,160.35,-1.14
05122022,59.83,160.35,160.0,162.0,157.45,161.4,0.65
06122022,46.12,161.4,162.45,175.0,161.3,169.55,5.05
07122022,55.24,169.55,171.95,174.45,165.35,166.8,-1.62
08122022,50.07,166.8,169.8,170.15,161.55,163.9,-1.74
09122022,60.38,163.9,167.8,167.8,162.15,163.35,-0.34
12122022,70.12,163.35,161.6,163.3,160.3,161.9,-0.89
13122022,57.84,161.9,163.35,174.1,162.3,172.1,6.3
14122022,29.9,172.1,173.6,204.0,173.5,199.3,15.8
15122022,31.52,199.3,204.95,211.9,196.65,199.9,0.3
16122022,53.19,199.9,204.0,204.35,195.25,197.1,-1.4
19122022,53.18,197.1,198.0,204.2,194.2,198.75,0.84
20122022,46.81,198.75,200.4,200.5,192.3,196.45,-1.16
21122022,59.87,196.45,197.5,201.0,178.1,181.6,-7.56
22122022,50.82,181.6,182.0,186.7,170.0,172.8,-4.85
23122022,48.55,172.8,169.1,183.05,168.9,170.2,-1.5
26122022,53.13,170.2,176.7,181.0,173.05,177.95,4.55
27122022,30.56,177.95,180.0,194.55,177.0,189.8,6.66
28122022,47.78,189.8,193.0,193.0,185.0,188.15,-0.87
29122022,60.29,188.15,188.15,192.75,182.0,184.2,-2.1
30122022,54.74,184.2,186.95,190.7,185.0,189.05,2.63
02012023,28.18,189.05,190.2,213.5,189.7,210.45,11.32
03012023,28.15,210.45,216.0,224.9,214.0,221.25,5.13
04012023,41.69,221.25,225.0,225.0,214.05,215.2,-2.73
05012023,39.87,215.2,214.05,217.5,207.6,210.75,-2.07
06012023,34.23,210.75,208.6,215.9,206.55,213.05,1.09
09012023,48.99,213.05,215.9,216.4,203.6,205.9,-3.36
10012023,54.96,205.9,207.85,207.85,197.2,203.65,-1.09
11012023,53.19,203.65,206.7,207.25,199.05,201.6,-1.01
12012023,48.52,201.6,203.6,205.0,201.7,203.25,0.82
13012023,48.98,203.25,206.3,206.7,197.25,203.0,-0.12
16012023,63.94,203.0,204.2,205.0,201.65,202.2,-0.39
17012023,53.57,202.2,204.15,206.95,201.5,202.85,0.32
18012023,28.22,202.85,205.9,221.5,202.0,204.05,0.59
19012023,47.26,204.05,204.95,208.2,200.25,201.5,-1.25
20012023,35.58,201.5,204.5,216.25,202.45,213.4,5.91
23012023,43.96,213.4,215.9,219.85,205.2,207.6,-2.72
24012023,59.96,207.6,207.6,211.0,203.25,204.4,-1.54
25012023,47.88,204.4,205.9,209.7,199.5,207.2,1.37
27012023,56.56,207.2,205.3,207.95,198.2,202.75,-2.15
30012023,51.79,202.75,200.0,204.3,195.5,197.95,-2.37
31012023,45.49,197.95,200.8,207.85,197.2,206.35,4.24
01022023,52.43,206.35,206.05,212.0,191.65,199.25,-3.44
02022023,57.53,199.25,199.0,214.55,195.4,211.75,6.27
03022023,53.08,211.75,210.0,214.8,205.6,207.25,-2.13
06022023,56.48,207.25,210.35,210.35,202.05,203.55,-1.79
07022023,58.19,203.55,206.6,208.4,200.2,201.2,-1.15
08022023,41.2,201.2,190.0,190.0,167.6,179.8,-10.64
09022023,36.53,179.8,179.05,184.05,174.4,178.9,-0.5
10022023,47.52,178.9,179.8,180.85,176.8,177.8,-0.61
13022023,57.29,177.8,183.5,183.5,160.95,162.7,-8.49
14022023,35.05,162.7,164.7,176.0,161.15,166.6,2.4
15022023,40.47,166.6,167.65,171.9,166.6,169.65,1.83
16022023,45.35,169.65,171.7,171.95,166.25,169.0,-0.38
17022023,48.61,169.0,170.95,174.7,166.65,172.2,1.89
20022023,48.78,172.2,173.9,173.9,170.1,171.4,-0.46
21022023,55.16,171.4,173.95,174.4,170.25,172.65,0.73
22022023,67.05,172.65,172.6,172.6,169.35,170.55,-1.22
23022023,50.47,170.55,170.55,172.5,170.0,170.55,0.0
24022023,54.96,170.55,170.0,172.85,165.55,167.15,-1.99
27022023,58.65,167.15,165.5,168.0,163.0,165.45,-1.02
28022023,58.16,165.45,164.9,168.05,163.1,164.45,-0.6
