Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
27112025,96.11,84.54,86.65,88.05,85.47,87.59,3.61
28112025,99.85,87.59,87.59,87.59,86.08,86.39,-1.37
01122025,62.24,86.39,87.0,87.0,85.1,86.07,-0.37
02122025,99.83,86.07,86.74,86.74,85.76,86.39,0.37
03122025,100.0,86.39,86.06,86.11,85.49,85.63,-0.88
04122025,65.08,85.63,85.48,86.0,85.0,85.29,-0.4
05122025,100.0,85.29,85.31,86.48,85.31,86.34,1.23
08122025,83.53,86.34,85.29,85.89,85.27,85.29,-1.22
09122025,93.8,85.29,85.3,85.42,84.0,85.36,0.08
10122025,63.06,85.36,85.42,85.42,83.62,84.66,-0.82
11122025,43.93,84.66,84.81,85.32,83.93,84.97,0.37
12122025,81.61,84.97,85.2,85.63,84.75,85.42,0.53
15122025,89.1,85.42,85.84,85.84,84.1,85.55,0.15
16122025,98.01,85.55,84.89,85.02,84.44,84.89,-0.77
17122025,99.22,84.89,84.88,84.88,84.45,84.61,-0.33
18122025,97.44,84.61,84.6,84.79,84.25,84.44,-0.2
19122025,83.5,84.44,84.02,85.22,84.02,84.6,0.19
22122025,89.74,84.6,85.13,85.7,85.13,85.7,1.3
23122025,73.94,85.7,85.28,85.55,85.22,85.22,-0.56
24122025,100.0,85.22,85.4,85.48,85.4,85.4,0.21
25122025,100.0,85.22,85.4,85.48,85.4,85.4,0.21
26122025,88.82,85.4,86.9,86.9,85.1,85.13,-0.32
29122025,94.04,85.13,84.11,85.1,84.11,84.83,-0.35
30122025,100.0,84.83,84.78,84.94,84.67,84.67,-0.19
31122025,99.72,84.67,84.61,85.26,84.59,84.94,0.32
01012026,100.0,84.94,85.34,85.34,84.91,85.07,0.15
02012026,97.4,85.07,85.5,85.73,85.42,85.73,0.78
05012026,89.02,85.73,85.7,85.7,85.45,85.54,-0.22
06012026,47.76,85.54,85.96,85.96,84.74,84.74,-0.94
07012026,100.0,84.74,84.74,85.3,84.74,85.13,0.46
08012026,100.0,85.13,84.98,84.98,84.3,84.34,-0.93
09012026,100.0,84.34,84.25,84.27,83.56,83.56,-0.92
12012026,7.04,83.56,84.0,84.0,83.16,83.64,0.1
13012026,99.56,83.64,84.09,84.09,83.31,83.78,0.17
