Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
15042025,70.17,24.68,26.7,26.7,25.75,26.11,5.79
16042025,83.57,26.11,26.63,26.63,25.92,25.94,-0.65
17042025,98.25,25.94,25.94,26.76,25.72,26.38,1.7
21042025,59.95,26.38,26.5,29.22,26.0,26.97,2.24
22042025,63.96,26.97,27.6,27.97,26.8,27.03,0.22
23042025,37.82,27.03,27.57,28.0,26.97,27.56,1.96
24042025,35.98,27.56,28.11,28.11,27.4,27.49,-0.25
25042025,66.53,27.49,27.62,28.47,26.76,26.98,-1.86
28042025,89.12,26.98,27.2,27.31,26.91,27.29,1.15
29042025,60.2,27.29,27.43,27.54,27.24,27.41,0.44
30042025,59.57,27.41,27.54,27.54,27.0,27.19,-0.8
02052025,66.38,27.19,27.5,27.73,27.09,27.18,-0.04
05052025,91.0,27.18,27.72,29.0,27.19,28.12,3.46
06052025,77.6,28.12,29.27,29.27,27.33,27.43,-2.45
07052025,60.51,27.43,27.98,27.98,27.39,27.8,1.35
08052025,89.63,27.8,27.91,28.07,27.35,27.5,-1.08
09052025,84.48,27.5,27.56,27.65,27.15,27.38,-0.44
12052025,45.27,27.38,26.83,28.52,26.82,28.46,3.94
13052025,84.36,28.46,29.04,29.7,28.31,28.39,-0.25
14052025,65.65,28.39,28.53,30.2,28.28,28.74,1.23
15052025,71.98,28.74,28.88,29.97,28.65,29.2,1.6
16052025,40.92,29.2,29.5,29.98,29.01,29.44,0.82
19052025,93.28,29.44,30.0,30.0,29.35,29.54,0.34
20052025,84.89,29.54,29.79,29.79,29.0,29.01,-1.79
21052025,73.27,29.01,29.59,29.59,29.0,29.24,0.79
22052025,82.13,29.24,29.49,29.49,28.82,29.12,-0.41
23052025,77.3,29.12,29.34,29.92,28.23,28.57,-1.89
26052025,80.54,28.57,28.79,29.97,28.57,29.54,3.4
27052025,79.62,29.54,29.69,29.84,29.35,29.45,-0.3
28052025,59.03,29.45,29.74,29.75,29.25,29.29,-0.54
29052025,85.75,29.29,29.43,29.46,29.24,29.43,0.48
30052025,55.01,29.43,30.02,30.02,29.0,29.16,-0.92
02062025,79.02,29.16,29.3,29.97,28.87,29.06,-0.34
03062025,76.84,29.06,29.64,29.89,28.9,29.03,-0.1
04062025,91.13,29.03,29.17,29.34,29.03,29.18,0.52
05062025,79.17,29.18,29.38,29.43,29.19,29.31,0.45
06062025,21.76,29.31,29.45,29.99,29.21,29.59,0.96
09062025,74.97,29.59,29.45,30.67,29.45,29.79,0.68
10062025,84.88,29.79,30.09,30.87,29.78,29.88,0.3
11062025,84.86,29.88,30.0,30.05,29.79,29.98,0.33
12062025,72.94,29.98,29.98,30.29,29.0,29.44,-1.8
13062025,81.66,29.44,29.43,31.94,28.87,29.9,1.56
16062025,76.01,29.9,29.87,29.87,28.85,29.31,-1.97
17062025,79.09,29.31,29.45,29.47,29.01,29.09,-0.75
18062025,68.3,29.09,29.16,29.5,29.04,29.12,0.1
19062025,52.27,29.12,29.3,29.5,28.8,29.0,-0.41
20062025,80.92,29.0,29.47,29.47,28.85,29.18,0.62
23062025,71.57,29.18,29.76,29.76,28.75,28.98,-0.69
24062025,51.81,28.98,29.7,29.87,28.95,29.12,0.48
25062025,74.55,29.12,29.26,29.43,29.12,29.19,0.24
26062025,46.89,29.19,29.47,29.47,29.12,29.27,0.27
27062025,73.3,29.27,29.51,29.61,29.39,29.54,0.92
30062025,70.6,29.54,29.68,29.82,29.34,29.5,-0.14
01072025,85.12,29.5,30.09,30.09,29.22,29.35,-0.51
02072025,86.05,29.35,29.49,29.84,29.14,29.3,-0.17
03072025,93.57,29.3,29.44,29.68,29.15,29.52,0.75
04072025,73.72,29.52,29.69,29.85,29.35,29.51,-0.03
07072025,84.6,29.51,29.51,29.71,23.56,29.49,-0.07
08072025,90.42,29.49,29.49,29.81,29.2,29.42,-0.24
09072025,77.12,29.42,29.68,29.68,29.3,29.44,0.07
10072025,75.7,29.44,29.64,29.64,28.0,29.39,-0.17
11072025,86.45,29.39,29.34,29.52,28.99,29.02,-1.26
14072025,69.03,29.02,29.6,29.77,28.9,29.23,0.72
15072025,84.1,29.23,29.37,29.66,29.33,29.61,1.3
16072025,35.46,29.61,29.72,29.72,29.4,29.6,-0.03
17072025,66.95,29.6,29.74,29.82,29.57,29.66,0.2
18072025,77.42,29.66,30.25,30.57,29.5,29.59,-0.24
21072025,59.23,29.59,29.59,29.78,29.3,29.68,0.3
22072025,88.16,29.68,29.5,29.83,29.5,29.53,-0.51
23072025,52.4,29.53,29.67,29.76,29.5,29.69,0.54
24072025,59.18,29.69,29.88,30.2,29.39,29.65,-0.13
25072025,88.56,29.65,29.58,29.65,29.16,29.22,-1.45
28072025,81.39,29.22,29.95,29.95,28.98,29.1,-0.41
29072025,87.04,29.1,29.55,29.8,29.05,29.55,1.55
30072025,60.81,29.55,29.17,29.64,29.17,29.35,-0.68
31072025,66.06,29.35,29.47,29.48,28.8,29.08,-0.92
01082025,95.02,29.08,29.22,29.33,28.7,28.8,-0.96
04082025,68.59,28.8,28.8,29.4,28.53,29.17,1.28
05082025,62.57,29.17,29.65,29.65,29.05,29.26,0.31
06082025,71.41,29.26,29.4,29.49,28.75,29.02,-0.82
07082025,51.37,29.02,29.16,29.28,28.3,28.98,-0.14
08082025,84.83,28.98,28.99,29.55,28.65,28.72,-0.9
11082025,50.56,28.72,28.0,29.41,28.0,28.86,0.49
12082025,56.33,28.86,29.0,29.33,28.76,28.8,-0.21
13082025,46.83,28.8,29.27,29.3,28.89,29.06,0.9
14082025,89.65,29.06,29.64,29.64,28.4,29.14,0.28
18082025,84.74,29.14,29.72,29.99,29.7,29.89,2.57
19082025,41.83,29.89,30.63,30.63,29.91,30.41,1.74
20082025,78.01,30.41,29.64,31.15,29.64,30.7,0.95
21082025,75.52,30.7,30.94,30.97,30.28,30.42,-0.91
22082025,88.19,30.42,30.63,30.63,30.1,30.28,-0.46
25082025,70.67,30.28,31.03,31.03,30.2,30.45,0.56
26082025,85.82,30.45,30.69,30.69,30.07,30.19,-0.85
28082025,91.3,30.19,30.34,30.48,29.92,30.04,-0.5
29082025,81.77,30.04,30.64,30.64,29.71,29.94,-0.33
01092025,59.29,29.94,30.47,30.6,30.02,30.55,2.04
02092025,89.74,30.55,30.74,30.89,30.55,30.72,0.56
03092025,87.54,30.72,30.87,31.08,30.59,30.83,0.36
04092025,85.5,30.83,31.0,31.63,30.64,30.79,-0.13
05092025,67.01,30.79,31.09,31.09,30.71,30.98,0.62
08092025,91.99,30.98,31.29,31.94,30.99,31.67,2.23
09092025,83.09,31.67,31.69,31.98,30.83,31.65,-0.06
10092025,82.59,31.65,32.08,32.08,31.59,31.71,0.19
11092025,88.79,31.71,32.66,32.66,31.35,31.64,-0.22
12092025,89.15,31.64,31.79,31.98,31.2,31.69,0.16
15092025,94.76,31.69,31.97,31.97,31.59,31.68,-0.03
16092025,90.85,31.68,30.88,32.57,30.88,31.92,0.76
17092025,77.72,31.92,32.21,32.68,31.75,32.09,0.53
18092025,93.75,32.09,32.39,33.75,31.95,32.83,2.31
19092025,80.54,32.83,32.73,32.78,32.01,32.07,-2.31
22092025,85.48,32.07,31.26,32.97,31.26,31.78,-0.9
23092025,81.66,31.78,32.57,32.57,31.03,31.78,0.0
24092025,86.91,31.78,31.99,31.99,31.5,31.52,-0.82
25092025,78.5,31.52,31.67,31.98,31.21,31.29,-0.73
26092025,83.63,31.29,31.68,31.68,30.06,30.67,-1.98
29092025,83.0,30.67,30.97,31.35,30.63,30.87,0.65
30092025,62.69,30.87,31.19,31.44,30.56,30.73,-0.45
01102025,56.17,30.73,31.28,31.28,30.11,30.96,0.75
03102025,92.34,30.96,31.73,31.8,30.94,31.24,0.9
06102025,86.3,31.24,31.49,31.49,31.0,31.19,-0.16
07102025,94.39,31.19,31.96,31.96,31.2,31.4,0.67
08102025,53.63,31.4,31.39,31.49,30.88,31.0,-1.27
09102025,75.02,31.0,31.77,31.77,30.79,31.14,0.45
10102025,64.24,31.14,31.29,31.34,31.0,31.12,-0.06
13102025,81.29,31.12,31.89,31.89,30.83,30.97,-0.48
