Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,82.75,380.8,378.2,384.75,374.5,379.2,-0.42
03102019,60.74,379.2,381.05,387.0,378.8,380.55,0.36
04102019,66.62,380.55,384.4,384.7,379.05,380.8,0.07
07102019,82.38,380.8,381.5,383.95,376.8,379.4,-0.37
08102019,82.38,380.8,381.5,383.95,376.8,379.4,-0.37
09102019,71.68,379.4,379.4,380.7,372.1,374.55,-1.28
10102019,63.65,374.55,374.55,383.95,360.5,381.55,1.87
11102019,73.89,381.55,383.0,384.3,367.6,382.35,0.21
14102019,86.67,382.35,387.0,389.0,380.2,380.95,-0.37
15102019,81.68,380.95,380.0,384.0,370.4,380.05,-0.24
16102019,67.39,380.05,380.0,385.0,379.3,380.8,0.2
17102019,48.6,380.8,381.2,387.0,380.95,382.3,0.39
18102019,66.89,382.3,381.2,402.0,381.2,396.8,3.79
21102019,66.89,382.3,381.2,402.0,381.2,396.8,3.79
22102019,80.46,396.8,397.0,397.0,378.0,380.55,-4.1
23102019,65.24,380.55,381.0,394.95,378.0,390.1,2.51
24102019,74.44,390.1,388.0,392.0,380.0,381.25,-2.27
25102019,69.38,381.25,382.45,382.5,378.2,379.95,-0.34
28102019,64.65,379.95,383.3,404.0,377.5,397.1,4.51
29102019,60.96,397.1,396.8,396.8,380.5,381.55,-3.92
30102019,58.97,381.55,384.45,389.75,381.3,384.65,0.81
31102019,85.21,384.65,386.8,388.0,379.35,381.35,-0.86
01112019,91.19,381.35,381.5,383.65,377.5,379.35,-0.52
04112019,84.81,379.35,381.0,381.5,377.5,378.8,-0.14
05112019,86.92,378.8,379.0,379.7,373.0,375.0,-1.0
06112019,79.84,375.0,376.0,376.05,356.95,359.15,-4.23
07112019,69.25,359.15,357.0,366.0,351.65,360.35,0.33
08112019,78.0,360.35,360.4,364.0,351.65,359.5,-0.24
11112019,69.78,359.5,359.5,363.0,356.5,359.95,0.13
12112019,69.78,359.5,359.5,363.0,356.5,359.95,0.13
13112019,73.93,359.95,359.9,363.15,345.15,349.0,-3.04
14112019,65.42,349.0,350.25,352.65,341.35,344.45,-1.3
15112019,56.81,344.45,345.0,345.85,323.6,331.95,-3.63
18112019,34.86,331.95,330.0,338.1,327.05,331.7,-0.08
19112019,66.74,331.7,333.5,335.0,323.35,327.7,-1.21
20112019,87.86,327.7,329.0,334.8,324.6,328.05,0.11
21112019,70.62,328.05,329.0,334.7,327.4,333.2,1.57
22112019,70.24,333.2,332.0,334.25,327.1,332.55,-0.2
25112019,78.79,332.55,332.5,336.0,327.0,329.65,-0.87
26112019,86.26,329.65,331.4,333.0,327.3,329.4,-0.08
27112019,76.1,329.4,330.35,331.2,327.0,329.05,-0.11
28112019,78.11,329.05,328.2,330.7,325.0,328.7,-0.11
29112019,26.96,328.7,341.0,389.4,335.0,338.9,3.1
02122019,49.69,338.9,344.65,352.0,340.35,341.85,0.87
03122019,44.68,341.85,342.0,345.5,333.75,341.0,-0.25
04122019,45.04,341.0,340.0,345.25,335.75,344.35,0.98
05122019,62.9,344.35,347.8,347.8,333.6,339.65,-1.36
06122019,81.21,339.65,341.8,341.8,328.05,333.3,-1.87
09122019,55.85,333.3,335.0,339.0,325.65,337.0,1.11
10122019,49.66,337.0,338.1,342.0,332.45,338.95,0.58
11122019,40.79,338.95,342.0,342.0,332.15,335.85,-0.91
12122019,80.98,335.85,336.75,337.95,328.95,331.75,-1.22
13122019,50.04,331.75,335.0,339.0,331.1,332.25,0.15
16122019,73.48,332.25,333.0,336.95,328.5,331.05,-0.36
17122019,48.37,331.05,330.0,345.0,329.05,335.05,1.21
18122019,44.16,335.05,335.2,344.5,333.0,342.3,2.16
19122019,49.81,342.3,343.9,345.0,336.5,339.15,-0.92
20122019,63.76,339.15,339.15,340.7,328.1,330.5,-2.55
23122019,20.53,330.5,334.5,342.35,334.4,340.05,2.89
24122019,26.57,340.05,344.75,357.4,340.0,348.95,2.62
25122019,26.57,340.05,344.75,357.4,340.0,348.95,2.62
26122019,38.25,348.95,350.9,353.0,342.25,347.25,-0.49
27122019,40.05,347.25,348.9,355.5,336.7,341.0,-1.8
30122019,47.88,341.0,342.65,351.5,335.7,344.75,1.1
31122019,49.13,344.75,343.3,348.55,339.0,341.75,-0.87
01012020,46.65,341.75,343.85,344.9,339.5,340.55,-0.35
02012020,52.46,340.55,342.6,343.8,330.0,332.15,-2.47
03012020,73.57,332.15,332.6,336.0,331.1,334.1,0.59
06012020,36.85,334.1,334.9,338.0,325.6,334.95,0.25
07012020,56.4,334.95,340.0,347.0,338.5,344.85,2.96
08012020,33.79,344.85,342.4,353.75,340.0,351.5,1.93
09012020,67.98,351.5,352.4,356.0,348.5,353.9,0.68
10012020,13.66,353.9,356.0,356.4,347.0,351.05,-0.81
13012020,19.57,351.05,353.0,355.3,345.15,347.75,-0.94
14012020,46.01,347.75,348.9,357.0,347.0,349.7,0.56
15012020,53.24,349.7,351.5,353.4,343.7,344.85,-1.39
16012020,66.19,344.85,345.7,351.4,341.55,349.3,1.29
17012020,80.37,349.3,349.4,352.6,346.4,348.2,-0.31
20012020,75.43,348.2,349.95,351.3,345.15,348.6,0.11
21012020,80.67,348.6,347.05,348.6,340.0,342.55,-1.74
22012020,65.96,342.55,345.85,347.95,341.2,342.65,0.03
23012020,42.78,342.65,344.75,344.75,338.1,339.95,-0.79
24012020,57.59,339.95,342.05,342.05,323.2,334.05,-1.74
27012020,45.07,334.05,331.0,347.4,330.0,335.0,0.28
28012020,84.16,335.0,336.7,342.05,329.0,334.2,-0.24
29012020,50.05,334.2,336.25,341.3,329.5,332.05,-0.64
30012020,80.77,332.05,331.7,333.6,325.55,329.1,-0.89
31012020,71.64,329.1,330.75,333.0,323.6,329.75,0.2
03022020,38.38,331.9,327.0,331.85,325.35,329.95,-0.59
04022020,76.48,329.95,331.6,332.2,324.0,327.45,-0.76
05022020,78.2,327.45,327.1,331.5,324.1,328.45,0.31
06022020,37.45,328.45,331.0,344.0,329.15,338.4,3.03
07022020,63.66,338.4,338.0,348.9,335.3,339.5,0.33
10022020,75.38,339.5,340.0,344.8,334.6,341.0,0.44
11022020,55.55,341.0,343.25,362.7,341.3,354.5,3.96
12022020,51.17,354.5,355.4,374.0,352.35,369.95,4.36
13022020,36.48,369.95,373.0,382.3,361.4,374.9,1.34
14022020,42.12,374.9,378.0,382.0,368.6,375.2,0.08
17022020,42.11,375.2,375.0,382.0,370.0,376.15,0.25
18022020,58.51,376.15,376.1,377.2,352.15,363.65,-3.32
19022020,40.22,363.65,365.0,368.0,351.1,354.15,-2.61
20022020,46.4,354.15,352.85,365.0,340.0,343.1,-3.12
21022020,46.4,354.15,352.85,365.0,340.0,343.1,-3.12
24022020,34.63,343.1,340.85,344.7,333.1,339.5,-1.05
25022020,44.84,339.5,341.2,341.2,326.05,329.9,-2.83
26022020,28.94,329.9,328.8,329.5,316.6,321.25,-2.62
27022020,66.0,321.25,320.0,321.95,310.0,316.85,-1.37
28022020,51.3,316.85,312.0,313.2,288.35,303.55,-4.2
02032020,22.99,303.55,310.0,312.0,299.1,305.8,0.74
03032020,43.07,305.8,307.2,313.75,292.8,304.5,-0.43
04032020,64.63,304.5,306.0,310.0,294.25,304.7,0.07
05032020,58.63,304.7,309.0,309.0,271.65,294.55,-3.33
06032020,58.28,294.55,286.0,290.0,267.35,289.55,-1.7
09032020,57.54,289.55,276.15,287.45,275.8,285.35,-1.45
10032020,57.54,289.55,276.15,287.45,275.8,285.35,-1.45
11032020,46.21,285.35,285.35,290.3,228.3,265.7,-6.89
12032020,57.91,265.7,251.0,251.0,212.6,212.6,-19.98
13032020,100.0,212.6,170.1,170.1,170.1,170.1,-19.99
16032020,81.12,170.1,153.1,153.1,153.1,153.1,-9.99
17032020,100.0,153.1,137.8,137.8,137.8,137.8,-9.99
18032020,100.0,137.8,124.05,124.05,124.05,124.05,-9.98
19032020,100.0,124.05,117.85,117.85,117.85,117.85,-5.0
20032020,59.76,117.85,112.0,112.0,112.0,112.0,-4.96
23032020,99.98,112.0,106.4,106.4,106.4,106.4,-5.0
24032020,100.0,106.4,101.1,101.1,101.1,101.1,-4.98
25032020,100.0,101.1,96.05,96.05,96.05,96.05,-5.0
26032020,100.0,96.05,91.25,91.25,91.25,91.25,-5.0
27032020,100.0,91.25,86.7,86.7,86.7,86.7,-4.99
30032020,100.0,86.7,82.4,82.4,82.4,82.4,-4.96
31032020,100.0,82.4,78.3,78.3,78.3,78.3,-4.98
01042020,100.0,78.3,74.4,74.4,74.4,74.4,-4.98
02042020,100.0,78.3,74.4,74.4,74.4,74.4,-4.98
03042020,100.0,74.4,70.7,70.7,70.7,70.7,-4.97
06042020,100.0,74.4,70.7,70.7,70.7,70.7,-4.97
07042020,100.0,70.7,67.2,67.2,67.2,67.2,-4.95
08042020,100.0,67.2,63.85,63.85,63.85,63.85,-4.99
09042020,62.4,63.85,60.7,67.0,60.7,66.25,3.76
10042020,62.4,63.85,60.7,67.0,60.7,66.25,3.76
13042020,89.78,66.25,68.4,69.55,67.05,69.55,4.98
15042020,62.26,69.55,73.0,73.0,71.4,73.0,4.96
16042020,100.0,73.0,76.65,76.65,76.65,76.65,5.0
17042020,64.12,76.65,80.45,80.45,73.3,80.45,4.96
20042020,100.0,80.45,84.45,84.45,84.45,84.45,4.97
21042020,100.0,84.45,88.65,88.65,88.65,88.65,4.97
22042020,100.0,88.65,93.05,93.05,93.05,93.05,4.96
23042020,47.73,93.05,97.7,97.7,89.2,97.7,5.0
24042020,63.32,97.7,101.8,102.55,99.0,102.2,4.61
27042020,74.88,102.2,101.9,101.9,97.1,97.1,-4.99
28042020,100.0,97.1,92.25,92.25,92.25,92.25,-4.99
29042020,37.37,92.25,87.65,94.5,87.65,89.55,-2.93
30042020,58.9,89.55,90.0,92.5,85.1,85.1,-4.97
01052020,58.9,89.55,90.0,92.5,85.1,85.1,-4.97
04052020,59.8,85.1,80.95,83.0,80.85,80.85,-4.99
05052020,59.83,80.85,78.8,80.4,76.85,76.85,-4.95
06052020,52.31,76.85,73.7,74.65,73.05,73.05,-4.94
07052020,91.07,73.05,76.7,76.7,75.55,76.7,5.0
08052020,100.0,76.7,80.5,80.5,80.5,80.5,4.95
11052020,51.82,80.5,84.5,84.5,80.5,84.15,4.53
