Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
15112022,54.61,368.0,359.5,364.8,321.1,324.8,-11.74
16112022,50.25,324.8,325.0,348.65,323.5,345.45,6.36
17112022,44.62,345.45,343.0,346.4,334.3,340.45,-1.45
18112022,47.26,340.45,341.95,344.5,335.0,336.65,-1.12
21112022,61.58,336.65,336.0,347.0,327.7,342.95,1.87
22112022,66.84,342.95,340.1,347.0,339.0,341.7,-0.36
23112022,57.02,341.7,341.7,343.9,335.05,337.3,-1.29
24112022,43.7,337.3,339.9,356.0,338.0,345.65,2.48
25112022,53.29,345.65,347.2,365.9,347.2,360.25,4.22
28112022,65.73,360.25,365.0,378.55,363.65,375.35,4.19
29112022,44.44,375.35,386.0,391.0,363.85,366.15,-2.45
30112022,61.05,366.15,368.0,370.8,360.25,366.9,0.2
01122022,69.18,366.9,371.4,379.0,370.3,373.55,1.81
02122022,67.71,373.55,373.55,382.0,369.0,379.95,1.71
05122022,60.83,379.95,381.85,384.0,376.05,381.95,0.53
06122022,55.0,381.95,380.15,387.7,375.0,380.3,-0.43
07122022,34.2,380.3,379.7,403.2,379.1,389.55,2.43
08122022,62.34,389.55,392.5,394.6,385.5,387.95,-0.41
09122022,61.08,387.95,390.0,390.75,374.4,376.75,-2.89
12122022,49.77,376.75,375.95,399.5,374.45,390.0,3.52
13122022,65.62,390.0,391.95,398.2,387.3,391.05,0.27
14122022,51.65,391.05,392.2,415.8,391.05,404.3,3.39
15122022,51.38,404.3,405.0,409.7,398.5,404.7,0.1
16122022,47.74,404.7,399.0,407.45,387.1,391.25,-3.32
19122022,64.21,391.25,389.0,393.0,386.0,388.7,-0.65
20122022,63.22,388.7,388.0,393.35,380.25,385.8,-0.75
21122022,60.83,385.8,387.25,390.7,363.05,369.75,-4.16
22122022,60.68,369.75,371.7,374.15,355.3,362.35,-2.0
23122022,73.2,362.35,357.5,363.0,346.5,352.0,-2.86
26122022,67.6,352.0,353.8,363.85,348.25,351.8,-0.06
27122022,53.33,351.8,355.0,365.75,352.0,359.0,2.05
28122022,51.86,359.0,358.95,378.9,357.45,373.15,3.94
29122022,37.03,373.15,373.95,382.8,373.0,376.6,0.92
30122022,62.96,376.6,377.45,382.95,361.15,364.2,-3.29
02012023,23.35,364.2,367.15,376.95,364.25,371.25,1.94
03012023,52.91,371.25,371.4,398.0,371.4,396.0,6.67
04012023,56.54,396.0,396.0,399.5,383.8,393.15,-0.72
05012023,75.2,393.15,392.0,394.9,381.25,388.35,-1.22
06012023,57.4,388.35,390.2,394.5,376.9,385.25,-0.8
09012023,55.84,385.25,386.95,404.4,386.95,393.4,2.12
10012023,47.32,393.4,395.4,398.35,383.55,389.6,-0.97
11012023,66.21,389.6,393.9,393.9,384.0,386.7,-0.74
12012023,58.66,386.7,387.0,391.4,377.7,389.45,0.71
13012023,60.91,389.45,386.15,396.1,386.15,391.15,0.44
16012023,54.14,391.15,391.95,397.5,386.25,389.65,-0.38
17012023,45.54,389.65,391.3,418.8,387.3,404.1,3.71
18012023,64.63,404.1,406.95,421.9,402.75,409.6,1.36
19012023,42.24,409.6,408.95,416.5,401.6,403.1,-1.59
20012023,48.48,403.1,406.65,413.65,400.6,410.7,1.89
23012023,67.33,410.7,413.7,414.5,404.0,408.25,-0.6
24012023,48.83,408.25,408.3,416.25,406.05,412.8,1.11
25012023,49.42,412.8,413.9,414.0,395.05,403.0,-2.37
27012023,51.37,403.0,401.2,404.45,372.3,375.3,-6.87
30012023,43.81,375.3,375.3,390.0,370.1,375.45,0.04
31012023,45.03,375.45,385.0,414.2,385.0,406.25,8.2
01022023,50.36,406.25,412.8,429.95,405.0,412.15,1.45
02022023,49.76,412.15,414.75,421.0,406.0,409.55,-0.63
03022023,37.49,409.55,411.6,418.05,396.0,403.25,-1.54
06022023,48.45,403.25,401.25,426.95,401.1,421.6,4.55
07022023,51.28,421.6,423.75,429.95,413.05,415.15,-1.53
08022023,55.17,415.15,413.0,444.4,412.8,434.0,4.54
09022023,41.04,434.0,435.6,436.8,420.8,429.65,-1.0
10022023,51.23,429.65,429.1,436.0,404.2,415.25,-3.35
13022023,45.55,415.25,429.0,429.0,405.0,409.95,-1.28
14022023,61.71,409.95,410.0,412.6,396.7,401.6,-2.04
15022023,39.15,401.6,400.0,428.05,398.15,416.55,3.72
16022023,60.19,416.55,418.65,420.6,407.0,413.9,-0.64
17022023,47.13,413.9,414.0,419.65,408.05,416.3,0.58
20022023,67.68,416.3,418.3,418.3,406.0,410.0,-1.51
21022023,41.56,410.0,411.95,423.7,405.0,417.15,1.74
22022023,60.61,417.15,412.7,413.8,398.0,400.85,-3.91
23022023,58.21,400.85,400.1,405.9,396.7,399.05,-0.45
24022023,47.41,399.05,400.9,412.9,400.9,407.1,2.02
27022023,52.32,407.1,407.1,407.1,384.8,395.35,-2.89
28022023,47.38,395.35,395.35,403.75,388.0,395.1,-0.06
01032023,72.87,395.1,395.9,404.7,395.9,402.5,1.87
02032023,71.05,402.5,402.3,407.0,400.0,403.9,0.35
03032023,79.09,403.9,405.05,411.1,400.05,401.05,-0.71
06032023,61.86,401.05,402.0,410.85,400.0,401.95,0.22
07032023,61.86,401.05,402.0,410.85,400.0,401.95,0.22
08032023,48.86,401.95,401.0,411.8,398.35,409.2,1.8
09032023,69.63,409.2,409.2,411.4,403.6,405.8,-0.83
10032023,57.11,405.8,400.0,407.0,398.05,404.85,-0.23
13032023,46.13,404.85,396.15,404.45,388.8,392.95,-2.94
14032023,67.64,392.95,395.9,402.0,388.0,393.7,0.19
15032023,65.3,393.7,399.9,402.4,395.6,398.05,1.1
16032023,58.12,398.05,392.3,402.7,391.85,398.55,0.13
17032023,57.12,398.55,400.0,402.9,392.65,401.45,0.73
20032023,48.87,401.45,397.5,401.9,393.2,395.85,-1.39
21032023,82.44,395.85,401.95,401.95,393.15,395.95,0.03
22032023,71.85,395.95,397.4,405.0,394.1,402.5,1.65
23032023,55.6,402.5,403.0,405.0,396.7,401.1,-0.35
24032023,69.17,401.1,402.75,402.75,389.1,392.15,-2.23
27032023,62.08,392.15,392.0,392.0,375.0,382.3,-2.51
28032023,44.34,382.3,382.0,395.0,379.25,386.85,1.19
29032023,55.67,386.85,388.3,404.0,385.05,400.9,3.63
30032023,55.67,386.85,388.3,404.0,385.05,400.9,3.63
31032023,59.87,400.9,402.9,408.65,393.35,400.75,-0.04
03042023,62.57,400.75,402.0,404.2,396.05,397.45,-0.82
04042023,62.57,400.75,402.0,404.2,396.05,397.45,-0.82
05042023,28.57,397.45,395.0,408.0,395.0,402.85,1.36
06042023,32.82,402.85,401.0,419.0,400.9,412.65,2.43
07042023,32.82,402.85,401.0,419.0,400.9,412.65,2.43
10042023,44.83,412.65,412.95,416.0,401.0,403.95,-2.11
11042023,58.37,403.95,410.0,418.0,405.55,416.6,3.13
12042023,47.42,416.6,418.05,423.35,403.45,407.45,-2.2
13042023,61.26,407.45,411.5,411.8,401.1,404.25,-0.79
14042023,61.26,407.45,411.5,411.8,401.1,404.25,-0.79
17042023,51.57,404.25,404.25,404.25,395.0,398.25,-1.48
18042023,57.71,398.25,401.6,412.8,400.0,409.85,2.91
19042023,49.01,409.85,410.0,421.0,410.0,415.5,1.38
20042023,70.65,415.5,416.0,420.0,406.55,408.55,-1.67
21042023,65.69,408.55,408.9,409.75,396.1,401.35,-1.76
24042023,69.59,401.35,399.0,406.1,398.75,404.8,0.86
25042023,60.54,404.8,408.0,417.0,404.0,413.6,2.17
26042023,38.56,413.6,408.1,416.0,405.2,411.0,-0.63
27042023,64.18,411.0,410.95,418.8,410.25,415.75,1.16
28042023,61.78,415.75,416.95,417.6,410.55,415.5,-0.06
01052023,61.78,415.75,416.95,417.6,410.55,415.5,-0.06
02052023,60.86,415.5,414.9,432.35,411.35,428.2,3.06
03052023,55.63,428.2,430.0,440.45,428.9,437.5,2.17
04052023,58.19,437.5,439.0,447.0,433.25,444.25,1.54
05052023,54.87,444.25,439.5,447.0,430.3,442.4,-0.42
08052023,48.2,442.4,444.8,444.8,427.5,429.75,-2.86
09052023,52.45,429.75,429.0,433.0,421.75,424.15,-1.3
10052023,50.55,424.15,428.9,434.8,419.0,430.4,1.47
11052023,54.4,430.4,431.0,443.8,429.0,440.3,2.3
12052023,59.04,440.3,438.6,465.4,438.6,461.9,4.91
15052023,58.4,461.9,467.0,467.15,447.15,450.7,-2.42
16052023,60.71,450.7,451.95,458.8,445.55,454.8,0.91
17052023,64.65,454.8,455.45,471.0,455.45,459.55,1.04
18052023,65.79,459.55,460.05,476.0,458.8,466.3,1.47
19052023,63.4,466.3,467.85,482.65,460.15,474.65,1.79
22052023,76.41,474.65,450.0,484.65,450.0,479.6,1.04
23052023,43.4,479.6,505.25,519.8,487.65,493.35,2.87
24052023,51.53,493.35,490.0,506.7,488.05,500.65,1.48
25052023,59.06,500.65,503.25,517.35,494.15,513.8,2.63
26052023,51.74,513.8,515.6,521.3,496.8,501.2,-2.45
29052023,39.65,501.2,501.95,504.65,490.25,500.65,-0.11
30052023,54.52,500.65,503.1,505.1,489.1,501.25,0.12
31052023,59.92,501.25,503.5,525.0,498.05,519.45,3.63
01062023,49.88,519.45,515.0,519.0,507.1,514.05,-1.04
02062023,51.9,514.05,519.15,523.55,502.35,506.3,-1.51
05062023,51.5,506.3,511.4,520.0,503.45,507.85,0.31
06062023,70.87,507.85,509.0,523.8,508.95,519.55,2.3
07062023,46.44,519.55,524.0,541.7,517.3,535.85,3.14
08062023,60.6,535.85,533.0,538.3,518.0,527.25,-1.6
09062023,63.72,527.25,532.0,535.0,519.05,524.4,-0.54
12062023,87.15,524.4,529.9,539.2,522.35,533.65,1.76
13062023,47.42,533.65,534.75,547.0,531.2,534.95,0.24
14062023,61.27,534.95,536.0,540.7,525.3,530.75,-0.79
15062023,70.07,530.75,530.75,534.35,509.1,520.05,-2.02
16062023,63.35,520.05,524.5,532.3,515.35,518.45,-0.31
19062023,61.93,518.45,529.0,540.25,521.6,533.95,2.99
20062023,55.96,533.95,538.0,545.0,526.85,531.3,-0.5
21062023,66.87,531.3,532.0,539.65,524.5,531.9,0.11
22062023,43.97,531.9,525.0,549.9,525.0,548.25,3.07
23062023,41.49,548.25,554.85,565.0,540.0,543.3,-0.9
26062023,52.86,543.3,533.5,553.75,533.5,548.6,0.98
27062023,56.97,548.6,553.95,557.85,541.2,553.15,0.83
28062023,42.59,553.15,553.15,561.05,545.15,548.65,-0.81
29062023,42.59,553.15,553.15,561.05,545.15,548.65,-0.81
30062023,61.58,548.65,549.95,570.9,543.05,549.35,0.13
03072023,52.67,549.35,552.0,563.7,550.0,558.1,1.59
04072023,55.8,558.1,564.45,570.05,553.9,565.35,1.3
05072023,60.17,565.35,570.95,585.0,564.65,581.15,2.79
06072023,61.59,581.15,587.7,587.9,579.9,581.35,0.03
07072023,61.08,581.35,581.0,588.75,579.2,584.4,0.52
10072023,61.32,584.4,592.0,612.0,583.1,606.75,3.82
11072023,52.34,606.75,606.0,610.9,592.85,598.75,-1.32
12072023,50.92,598.75,603.2,606.85,584.35,593.05,-0.95
13072023,59.85,593.05,600.0,609.85,590.0,597.7,0.78
14072023,53.6,597.7,597.15,615.9,595.0,609.5,1.97
17072023,54.07,609.5,624.85,637.0,611.8,619.8,1.69
18072023,47.12,619.8,635.0,635.0,606.15,610.2,-1.55
19072023,51.99,610.2,610.2,642.9,604.15,631.8,3.54
20072023,49.62,631.8,630.0,634.95,616.0,620.15,-1.84
21072023,42.03,620.15,623.0,628.45,615.5,617.0,-0.51
24072023,69.62,617.0,624.9,634.05,617.6,628.9,1.93
25072023,53.17,628.9,625.05,640.0,625.0,629.8,0.14
26072023,56.2,629.8,612.5,656.0,612.5,651.35,3.42
27072023,42.56,651.35,655.9,665.95,641.2,658.3,1.07
28072023,52.28,658.3,662.7,681.95,655.35,658.0,-0.05
31072023,57.1,658.0,666.85,677.45,657.3,661.85,0.59
01082023,67.31,661.85,670.35,691.0,665.55,670.9,1.37
02082023,50.13,670.9,669.7,669.7,612.5,646.65,-3.61
03082023,57.05,646.65,657.8,669.0,636.55,642.8,-0.6
04082023,57.21,642.8,648.0,657.0,615.0,619.3,-3.66
07082023,60.51,619.3,614.1,620.85,588.05,591.75,-4.45
08082023,65.07,591.75,596.9,616.95,595.0,609.25,2.96
09082023,67.97,609.25,617.9,618.0,601.55,604.75,-0.74
10082023,55.12,604.75,609.05,614.6,596.95,607.35,0.43
11082023,61.52,607.35,605.7,622.4,601.05,602.25,-0.84
14082023,55.9,602.25,605.8,609.4,590.1,593.2,-1.5
16082023,65.7,593.2,600.0,600.0,562.4,565.6,-4.65
17082023,57.47,565.6,565.0,584.95,555.3,571.65,1.07
18082023,81.16,571.65,574.3,578.9,556.25,558.2,-2.35
21082023,65.14,558.2,560.95,583.8,557.7,561.65,0.62
22082023,40.66,561.65,566.65,603.4,565.0,593.25,5.63
23082023,53.76,593.25,603.0,608.7,593.4,600.3,1.19
24082023,67.53,600.3,605.9,622.0,599.35,616.15,2.64
25082023,51.72,616.15,615.0,634.9,615.0,630.85,2.39
28082023,63.5,630.85,632.25,669.0,632.25,637.7,1.09
29082023,75.34,637.7,641.0,653.6,635.0,637.85,0.02
30082023,55.93,637.85,640.0,648.0,619.0,622.9,-2.34
31082023,53.47,622.9,623.7,635.0,616.55,630.25,1.18
01092023,55.47,630.25,631.0,636.6,618.1,623.3,-1.1
04092023,49.51,623.3,623.5,634.1,616.05,620.1,-0.51
05092023,56.3,620.1,627.75,630.0,615.0,624.25,0.67
06092023,46.4,624.25,624.35,638.0,616.3,618.9,-0.86
07092023,56.12,618.9,621.0,627.0,604.1,606.5,-2.0
08092023,47.37,606.5,611.95,623.95,609.0,618.75,2.02
11092023,59.3,618.75,625.0,629.55,617.45,619.6,0.14
12092023,51.79,619.6,620.0,624.4,590.0,593.25,-4.25
13092023,45.59,593.25,593.95,607.95,581.85,596.25,0.51
14092023,41.91,596.25,607.0,622.25,605.0,617.65,3.59
15092023,49.91,617.65,619.0,626.0,611.1,616.15,-0.24
18092023,48.45,616.15,620.05,622.0,602.0,612.95,-0.52
19092023,48.45,616.15,620.05,622.0,602.0,612.95,-0.52
20092023,52.45,612.95,611.0,620.0,599.15,601.6,-1.85
21092023,55.87,601.6,602.05,613.35,587.4,589.7,-1.98
22092023,62.05,589.7,590.0,604.05,584.2,591.9,0.37
25092023,57.91,591.9,598.0,604.7,583.55,596.0,0.69
26092023,56.13,596.0,609.95,614.65,600.4,608.5,2.1
27092023,56.11,608.5,608.05,618.9,597.1,601.25,-1.19
28092023,59.93,601.25,600.0,609.0,595.9,597.5,-0.62
29092023,63.05,597.5,603.0,606.9,594.0,595.1,-0.4
03102023,74.64,595.1,595.95,602.0,586.05,588.2,-1.16
04102023,62.42,588.2,589.95,595.9,581.0,587.0,-0.2
05102023,56.74,587.0,594.0,604.55,587.35,591.85,0.83
06102023,54.5,591.85,594.7,603.0,586.1,590.65,-0.2
09102023,47.41,590.65,586.0,599.0,576.2,595.75,0.86
10102023,58.63,595.75,601.2,610.9,595.55,606.95,1.88
11102023,58.56,606.95,611.4,621.5,607.15,614.2,1.19
12102023,63.65,614.2,619.95,622.65,610.05,613.55,-0.11
13102023,64.69,613.55,613.95,616.45,604.85,613.2,-0.06
16102023,51.59,613.2,620.0,621.0,608.45,617.6,0.72
17102023,51.92,617.6,616.0,620.0,604.35,615.35,-0.36
18102023,50.43,615.35,616.9,619.35,605.85,612.8,-0.41
19102023,54.44,612.8,615.0,617.4,599.5,602.5,-1.68
