Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,82.64,280.2,280.0,284.6,278.25,281.05,0.3
03102019,77.35,281.05,279.0,284.6,273.15,280.0,-0.37
04102019,95.23,280.0,280.35,283.4,274.25,276.15,-1.38
07102019,59.81,276.15,274.05,295.0,273.0,290.8,5.31
08102019,59.81,276.15,274.05,295.0,273.0,290.8,5.31
09102019,67.11,290.8,290.8,294.95,279.0,292.85,0.7
10102019,57.93,292.85,290.05,298.0,283.05,293.95,0.38
11102019,85.13,293.95,293.5,295.0,284.55,292.15,-0.61
14102019,79.18,292.15,292.5,297.5,289.5,291.1,-0.36
15102019,91.34,291.1,289.35,294.45,287.5,289.7,-0.48
16102019,72.93,289.7,292.0,295.5,285.25,289.85,0.05
17102019,76.76,289.85,289.0,289.1,275.5,279.15,-3.69
18102019,95.92,279.15,279.0,299.0,279.0,289.95,3.87
21102019,95.92,279.15,279.0,299.0,279.0,289.95,3.87
22102019,92.55,289.95,291.0,304.95,287.55,304.25,4.93
23102019,63.59,304.25,307.7,315.0,304.95,311.0,2.22
24102019,68.59,311.0,310.0,317.0,304.0,316.05,1.62
25102019,82.46,316.05,315.1,315.1,295.0,299.5,-5.24
28102019,72.24,299.5,298.0,308.85,296.9,305.3,1.94
29102019,85.96,305.3,305.0,305.0,295.0,297.05,-2.7
30102019,75.03,297.05,297.95,301.55,292.75,293.95,-1.04
31102019,86.26,293.95,297.95,301.4,291.65,299.9,2.02
01112019,66.25,299.9,300.35,307.0,293.8,294.7,-1.73
04112019,94.89,294.7,295.0,298.0,290.25,292.4,-0.78
05112019,67.73,292.4,293.4,298.5,291.55,292.85,0.15
06112019,89.9,292.85,290.4,294.0,290.4,292.2,-0.22
07112019,86.6,292.2,292.05,299.0,286.4,292.45,0.09
08112019,17.65,292.45,293.6,307.7,291.9,299.25,2.33
11112019,80.42,299.25,299.9,305.85,296.0,302.15,0.97
12112019,80.42,299.25,299.9,305.85,296.0,302.15,0.97
13112019,84.77,302.15,298.0,306.2,298.0,303.0,0.28
14112019,89.14,303.0,300.55,302.95,300.55,301.9,-0.36
15112019,93.29,301.9,302.7,303.85,299.25,301.75,-0.05
18112019,96.33,301.75,300.25,302.5,297.0,299.9,-0.61
19112019,86.68,299.9,299.85,299.9,293.2,296.15,-1.25
20112019,94.55,296.15,295.6,301.5,294.65,299.6,1.16
21112019,72.6,299.6,301.2,310.0,297.0,297.85,-0.58
22112019,73.76,297.85,297.05,300.0,293.5,298.7,0.29
25112019,95.43,298.7,298.75,311.0,298.45,307.05,2.8
26112019,66.68,307.05,308.5,315.0,303.1,312.6,1.81
27112019,55.32,312.6,310.15,322.5,308.85,318.25,1.81
28112019,80.63,318.25,318.25,322.4,314.4,317.15,-0.35
29112019,69.03,317.15,320.0,325.0,317.85,321.55,1.39
02122019,54.37,321.55,320.5,320.5,298.45,304.0,-5.46
03122019,35.58,304.0,304.0,319.9,304.0,312.75,2.88
04122019,58.82,312.75,316.45,316.45,305.5,310.25,-0.8
05122019,95.48,310.25,312.25,316.8,303.5,306.9,-1.08
06122019,66.84,306.9,306.9,308.5,295.5,296.95,-3.24
09122019,60.18,296.95,293.1,303.45,293.1,298.75,0.61
10122019,66.08,298.75,298.8,302.5,294.35,300.15,0.47
11122019,53.9,300.15,298.95,300.05,293.5,295.6,-1.52
12122019,57.46,295.6,293.0,299.45,290.55,297.65,0.69
13122019,71.28,297.65,297.45,302.0,296.15,300.05,0.81
16122019,60.2,300.05,300.05,301.95,291.75,294.4,-1.88
17122019,69.69,294.4,295.0,301.9,295.0,299.5,1.73
18122019,84.26,299.5,300.05,302.5,296.0,300.35,0.28
19122019,59.92,300.35,298.25,300.3,292.15,294.65,-1.9
20122019,54.13,294.65,294.5,302.8,294.1,296.3,0.56
23122019,46.58,296.3,292.5,299.85,291.55,295.95,-0.12
24122019,60.14,295.95,292.1,302.0,291.65,300.3,1.47
25122019,60.14,295.95,292.1,302.0,291.65,300.3,1.47
26122019,55.23,300.3,297.65,302.75,293.4,299.7,-0.2
27122019,76.53,299.7,299.0,300.1,296.0,297.75,-0.65
30122019,59.0,297.75,297.85,306.85,297.85,305.35,2.55
31122019,72.83,305.35,305.4,307.5,297.0,298.95,-2.1
01012020,60.26,298.95,298.9,304.05,297.2,301.5,0.85
02012020,69.48,301.5,301.1,304.75,300.0,300.95,-0.18
03012020,71.88,300.95,300.75,309.9,297.5,301.75,0.27
06012020,60.03,301.75,300.0,308.0,296.0,297.95,-1.26
07012020,74.12,297.95,297.15,304.5,297.15,300.6,0.89
08012020,58.52,300.6,302.75,305.5,297.25,303.55,0.98
09012020,67.07,303.55,306.0,309.0,301.65,304.0,0.15
10012020,49.2,304.0,305.9,325.0,305.05,315.55,3.8
13012020,75.76,315.55,314.55,322.7,313.5,318.9,1.06
14012020,79.32,318.9,320.0,334.0,319.15,321.45,0.8
15012020,68.32,321.45,320.05,339.0,316.6,333.2,3.66
16012020,69.42,333.2,337.0,350.1,335.1,341.7,2.55
17012020,36.48,341.7,344.0,369.4,335.95,347.8,1.79
20012020,86.4,347.8,348.5,352.9,341.5,345.5,-0.66
21012020,91.77,345.5,345.9,348.35,340.65,344.35,-0.33
22012020,67.18,344.35,346.9,349.0,337.7,341.85,-0.73
23012020,61.4,341.85,340.0,349.0,336.4,340.55,-0.38
24012020,76.19,340.55,340.55,348.5,340.1,343.05,0.73
27012020,67.17,343.05,340.25,343.0,325.4,329.05,-4.08
28012020,60.47,329.05,328.9,329.0,319.05,320.75,-2.52
29012020,77.3,320.75,325.0,327.0,313.8,315.05,-1.78
30012020,61.62,315.05,312.0,322.2,311.55,316.45,0.44
31012020,47.04,316.45,318.45,318.5,299.8,304.3,-3.84
03022020,63.46,304.45,292.0,303.0,292.0,300.85,-1.18
04022020,53.87,300.85,298.0,308.5,296.5,301.75,0.3
05022020,65.61,301.75,304.95,310.5,301.4,307.7,1.97
06022020,64.07,307.7,308.0,324.0,307.15,320.35,4.11
07022020,78.88,320.35,319.2,327.4,317.55,320.3,-0.02
10022020,59.06,320.3,320.3,323.6,311.0,315.05,-1.64
11022020,65.53,315.05,311.95,323.5,311.95,322.65,2.41
12022020,29.8,322.65,320.05,336.9,308.25,327.7,1.57
13022020,45.37,327.7,312.05,312.05,278.95,285.0,-13.03
14022020,37.06,285.0,286.0,293.0,281.0,284.95,-0.02
