Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
24122025,90.82,26.0,26.26,26.26,25.75,26.06,0.23
25122025,90.82,26.0,26.26,26.26,25.75,26.06,0.23
26122025,87.7,26.06,26.81,26.81,25.65,26.0,-0.23
29122025,89.37,26.0,26.39,26.39,25.91,26.23,0.88
30122025,95.77,26.23,26.37,26.37,25.86,26.06,-0.65
31122025,44.9,26.06,26.81,26.81,25.87,26.16,0.38
01012026,72.19,26.16,26.16,26.36,26.02,26.08,-0.31
02012026,89.31,26.08,26.05,26.15,25.93,26.11,0.12
05012026,98.52,26.11,26.3,26.3,25.8,25.97,-0.54
06012026,94.17,25.97,25.64,26.99,25.64,25.9,-0.27
07012026,87.12,25.9,25.83,26.11,25.83,25.97,0.27
08012026,87.01,25.97,26.09,26.19,25.84,25.94,-0.12
09012026,88.7,25.94,26.34,26.34,25.91,26.12,0.69
12012026,61.82,26.12,26.25,26.33,26.05,26.11,-0.04
13012026,96.17,26.11,26.11,26.4,25.89,26.33,0.84
14012026,22.43,26.33,26.2,26.37,25.85,26.01,-1.22
15012026,22.43,26.33,26.2,26.37,25.85,26.01,-1.22
16012026,50.78,26.01,26.36,26.36,25.81,26.07,0.23
19012026,28.86,26.07,25.76,26.28,25.76,25.76,-1.19
20012026,15.15,25.76,26.29,26.29,25.77,26.17,1.59
21012026,60.68,26.17,25.87,26.3,25.87,25.96,-0.8
22012026,24.2,25.96,25.96,26.19,25.82,26.1,0.54
23012026,76.39,26.1,26.18,26.18,26.0,26.0,-0.38
27012026,49.81,26.0,25.84,26.36,25.84,26.05,0.19
28012026,43.72,26.05,25.81,26.27,25.81,26.03,-0.08
29012026,78.73,26.03,25.83,26.18,25.83,25.99,-0.15
30012026,90.48,25.99,26.1,26.11,25.79,25.84,-0.58
02022026,41.09,25.8,26.31,26.31,25.79,25.81,0.04
03022026,43.05,25.81,25.93,26.14,25.68,25.78,-0.12
04022026,92.84,25.78,26.13,26.13,25.85,25.88,0.39
05022026,77.24,25.88,26.32,26.32,25.8,26.02,0.54
06022026,90.34,26.02,26.02,26.16,25.89,26.04,0.08
09022026,85.37,26.04,25.76,26.26,25.76,25.87,-0.65
10022026,99.91,25.87,26.17,26.25,25.99,26.13,1.01
11022026,96.15,26.13,26.12,26.3,25.87,26.21,0.31
12022026,8.7,26.21,26.35,26.35,25.82,25.85,-1.37
13022026,78.72,25.85,26.05,26.1,25.87,26.03,0.7
16022026,98.06,26.03,26.07,26.07,25.73,25.88,-0.58
17022026,97.9,25.88,26.0,26.12,25.92,25.92,0.15
18022026,99.77,25.92,25.94,26.16,25.94,26.06,0.54
19022026,95.03,26.06,26.5,26.5,25.1,25.77,-1.11
20022026,15.91,25.77,25.91,26.43,25.91,26.0,0.89
23022026,65.94,26.0,25.84,26.11,25.84,25.92,-0.31
24022026,81.17,25.92,26.04,26.41,25.89,26.36,1.7
25022026,77.59,26.36,26.47,26.47,25.95,26.08,-1.06
26022026,47.89,26.08,26.39,26.39,26.02,26.04,-0.15
27022026,93.56,26.04,26.26,26.26,26.04,26.23,0.73
02032026,68.6,26.23,26.36,26.5,25.98,26.05,-0.69
03032026,68.6,26.23,26.36,26.5,25.98,26.05,-0.69
04032026,19.6,26.05,26.17,26.63,25.98,26.27,0.84
05032026,73.86,26.27,26.4,26.5,26.01,26.06,-0.8
06032026,43.71,26.06,26.19,26.57,26.04,26.06,0.0
09032026,76.82,26.06,26.06,26.17,25.97,26.0,-0.23
10032026,66.19,26.0,26.01,26.16,25.93,26.04,0.15
11032026,66.87,26.04,26.14,26.23,25.8,26.06,0.08
12032026,98.2,26.06,25.9,26.16,25.9,26.12,0.23
13032026,94.59,26.12,26.12,26.14,26.04,26.04,-0.31
16032026,99.28,26.04,26.03,26.11,25.98,26.04,0.0
17032026,61.96,26.04,26.53,26.53,26.0,26.04,0.0
18032026,94.38,26.04,26.17,26.17,25.98,26.07,0.12
19032026,88.19,26.07,26.07,26.17,25.95,26.01,-0.23
20032026,84.66,26.01,26.0,26.1,26.0,26.09,0.31
23032026,93.76,26.09,26.22,26.22,25.5,25.97,-0.46
24032026,96.52,25.97,25.98,26.07,25.79,25.84,-0.5
25032026,97.5,25.84,25.8,26.03,25.79,25.98,0.54
26032026,97.5,25.84,25.8,26.03,25.79,25.98,0.54
27032026,87.26,25.98,25.98,26.05,25.74,25.74,-0.92
30032026,60.7,25.74,25.74,26.03,25.63,25.7,-0.16
31032026,60.7,25.74,25.74,26.03,25.63,25.7,-0.16
01042026,99.0,25.7,25.82,26.02,25.5,25.99,1.13
02042026,85.42,25.99,25.99,25.99,25.5,25.97,-0.08
03042026,85.42,25.99,25.99,25.99,25.5,25.97,-0.08
06042026,57.53,25.97,25.98,25.98,25.37,25.46,-1.96
07042026,28.8,25.46,25.41,25.95,25.41,25.92,1.81
08042026,83.46,25.92,25.92,26.4,25.5,26.11,0.73
09042026,98.01,26.11,26.13,26.14,25.74,25.84,-1.03
10042026,92.32,25.84,25.82,26.17,25.66,25.97,0.5
13042026,99.03,25.97,25.96,25.96,25.75,25.8,-0.65
14042026,99.03,25.97,25.96,25.96,25.75,25.8,-0.65
15042026,99.68,25.8,25.96,25.96,25.72,25.73,-0.27
16042026,66.81,25.73,25.86,26.49,25.79,26.01,1.09
17042026,99.84,26.01,26.36,26.43,26.25,26.31,1.15
20042026,57.97,26.31,26.45,26.45,25.68,25.86,-1.71
21042026,80.18,25.86,26.38,26.38,25.7,25.93,0.27
22042026,82.14,25.93,26.05,26.48,25.81,25.82,-0.42
23042026,54.68,25.82,25.97,26.39,25.9,26.12,1.16
24042026,82.71,26.12,26.25,26.25,25.72,26.04,-0.31
27042026,76.6,26.04,26.17,26.24,25.74,26.14,0.38
28042026,69.43,26.14,25.78,26.28,25.78,26.12,-0.08
29042026,99.4,26.12,26.22,26.35,25.92,26.2,0.31
30042026,96.06,26.2,25.54,26.2,25.54,26.02,-0.69
01052026,96.06,26.2,25.54,26.2,25.54,26.02,-0.69
04052026,93.52,26.02,26.15,26.28,25.93,25.99,-0.12
05052026,90.4,25.99,26.29,26.29,25.57,26.03,0.15
06052026,98.13,26.03,26.16,26.44,25.86,26.0,-0.12
07052026,98.65,26.0,26.0,26.32,26.0,26.3,1.15
08052026,64.17,26.3,26.43,26.49,25.73,25.8,-1.9
11052026,62.98,25.8,26.27,26.4,25.85,26.39,2.29
12052026,86.18,26.39,26.32,26.32,25.7,26.15,-0.91
13052026,79.51,26.15,26.3,26.3,25.93,26.16,0.04
14052026,84.48,26.16,26.17,26.17,25.87,26.02,-0.54
15052026,55.44,26.02,26.15,26.34,25.76,26.07,0.19
18052026,66.67,26.07,26.14,26.18,25.82,26.0,-0.27
19052026,100.0,26.0,26.13,26.22,25.91,26.22,0.85
20052026,72.65,26.22,26.16,26.16,25.92,26.15,-0.27
21052026,37.03,26.15,26.15,26.5,25.95,26.17,0.08
22052026,88.46,26.17,26.15,26.15,25.5,26.13,-0.15
25052026,98.81,26.13,26.23,26.23,25.55,25.56,-2.18
26052026,52.35,25.56,25.75,26.06,25.71,25.98,1.64
27052026,98.89,25.98,26.04,26.04,25.74,25.99,0.04
28052026,98.89,25.98,26.04,26.04,25.74,25.99,0.04
29052026,93.14,25.99,25.62,25.98,25.62,25.95,-0.15
01062026,84.14,25.95,26.07,26.07,25.76,25.96,0.04
02062026,99.88,25.96,25.99,25.99,25.72,25.94,-0.08
03062026,20.41,25.94,25.96,26.08,25.84,25.97,0.12
04062026,99.4,25.97,25.99,26.04,25.81,25.95,-0.08
05062026,99.89,25.95,25.98,25.98,25.79,25.9,-0.19
08062026,100.0,25.9,25.95,25.95,25.8,25.94,0.15
09062026,82.4,25.94,26.35,26.35,25.82,26.04,0.39
10062026,54.4,26.04,26.01,26.01,25.92,25.92,-0.46
11062026,87.1,25.92,25.92,26.17,25.89,25.97,0.19
12062026,97.41,25.97,26.07,26.07,25.92,25.95,-0.08
15062026,49.18,25.95,26.2,26.48,25.96,25.99,0.15
16062026,99.29,25.99,26.03,26.55,26.03,26.09,0.38
17062026,66.0,26.09,26.22,26.56,26.04,26.04,-0.19
18062026,100.0,26.04,26.05,26.4,26.05,26.05,0.04
19062026,92.36,26.05,26.1,26.61,26.1,26.11,0.23
22062026,64.78,26.11,26.24,26.59,26.08,26.59,1.84
23062026,89.03,26.59,26.59,26.62,26.1,26.11,-1.81
24062026,100.0,26.11,26.24,26.59,26.13,26.35,0.92
25062026,91.08,26.35,26.48,26.75,26.22,26.66,1.18
26062026,91.08,26.35,26.48,26.75,26.22,26.66,1.18
29062026,74.66,26.66,26.78,26.78,26.25,26.48,-0.68
30062026,76.09,26.48,27.14,27.14,26.31,26.31,-0.64
01072026,30.62,26.31,26.35,26.8,26.35,26.5,0.72
02072026,99.72,26.5,26.63,26.83,26.34,26.56,0.23
03072026,81.59,26.56,26.69,26.89,26.38,26.43,-0.49
06072026,89.68,26.43,26.45,26.92,26.45,26.77,1.29
07072026,67.8,26.77,26.9,26.9,26.48,26.76,-0.04
08072026,100.0,26.76,27.14,27.14,26.76,27.05,1.08
09072026,88.48,27.05,26.86,26.86,26.34,26.78,-1.0
10072026,60.89,26.78,26.89,26.89,26.37,26.81,0.11
13072026,83.51,26.81,26.89,27.0,26.3,26.94,0.48
14072026,99.56,26.94,26.8,26.85,26.31,26.85,-0.33
15072026,100.0,26.85,26.82,26.82,26.76,26.79,-0.22
16072026,94.83,26.79,26.79,26.86,26.71,26.84,0.19
17072026,95.45,26.84,26.71,26.71,25.85,26.44,-1.49
20072026,57.52,26.44,26.7,26.89,26.57,26.81,1.4
21072026,86.02,26.81,26.99,26.99,26.36,26.81,0.0
22072026,77.81,26.81,26.87,26.87,26.35,26.79,-0.07
23072026,98.41,26.79,26.85,26.85,26.33,26.44,-1.31
24072026,53.17,26.44,26.57,26.72,26.27,26.69,0.95
27072026,55.1,26.69,26.82,26.82,26.32,26.32,-1.39
28072026,100.0,26.32,26.93,26.93,26.4,26.41,0.34
29072026,91.74,26.41,26.93,26.93,26.4,26.44,0.11
30072026,99.18,26.44,26.88,26.88,26.36,26.54,0.38
31072026,16.98,26.54,26.67,26.8,26.36,26.36,-0.68
03082026,99.64,26.36,26.76,26.76,26.49,26.53,0.64
04082026,93.27,26.53,26.84,26.84,26.31,26.35,-0.68
05082026,80.87,26.35,26.65,26.99,26.34,26.67,1.21
06082026,98.4,26.67,26.43,26.96,26.43,26.83,0.6
07082026,66.67,26.83,26.83,26.99,26.46,26.47,-1.34
10082026,66.86,26.47,26.85,26.85,26.65,26.7,0.87
11082026,62.52,26.7,26.96,27.01,26.49,27.01,1.16
12082026,97.71,27.01,27.14,27.14,26.52,26.89,-0.44
13082026,100.0,26.89,26.99,26.99,26.92,26.92,0.11
14082026,99.87,26.92,27.0,27.04,26.6,27.03,0.41
17082026,90.91,27.03,27.04,27.04,26.52,26.91,-0.44
18082026,64.79,26.91,26.97,26.97,26.44,26.84,-0.26
19082026,85.19,26.84,26.94,26.94,26.61,26.8,-0.15
20082026,82.99,26.8,26.93,26.94,26.41,26.87,0.26
