Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
17082026,100.0,65.0,70.0,70.0,65.0,65.0,0.0
18082026,83.57,65.0,69.0,69.0,60.46,63.03,-3.03
19082026,86.09,63.03,63.5,64.5,60.5,60.9,-3.38
20082026,100.0,60.9,61.75,61.75,61.75,61.75,1.4
21082026,100.0,61.75,65.0,65.0,65.0,65.0,5.26
24082026,99.92,65.0,65.0,65.0,60.3,63.0,-3.08
26082026,72.22,63.0,61.11,64.99,61.11,64.67,2.65
27082026,100.0,64.67,65.0,65.0,64.67,65.0,0.51
28082026,100.0,65.0,65.0,65.0,62.0,62.5,-3.85
31082026,69.99,62.5,62.81,68.75,62.01,66.09,5.74
01092026,100.0,66.09,67.44,67.44,67.0,67.0,1.38
02092026,94.12,67.0,66.33,66.99,65.8,65.8,-1.79
