Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
30102024,30.14,352.0,308.0,354.45,308.0,343.2,-2.5
31102024,38.17,343.2,360.0,360.0,345.5,351.9,2.53
01112024,56.67,351.9,355.0,360.25,352.9,355.95,1.15
04112024,45.39,355.95,353.05,354.0,338.1,348.65,-2.05
05112024,49.68,348.65,346.0,353.95,344.35,348.1,-0.16
06112024,57.97,348.1,350.0,351.5,335.1,338.2,-2.84
07112024,54.25,338.2,337.9,373.0,327.55,356.7,5.47
08112024,50.19,356.7,364.95,371.95,342.8,352.0,-1.32
11112024,49.53,352.0,349.65,349.65,327.3,331.2,-5.91
12112024,50.31,331.2,325.0,332.55,310.0,312.65,-5.6
13112024,48.83,312.65,314.65,323.3,309.0,316.3,1.17
14112024,49.76,316.3,319.0,322.85,310.35,313.05,-1.03
15112024,49.76,316.3,319.0,322.85,310.35,313.05,-1.03
18112024,39.43,313.05,312.95,315.65,303.75,307.35,-1.82
19112024,37.09,307.35,304.3,312.0,288.3,299.45,-2.57
20112024,37.09,307.35,304.3,312.0,288.3,299.45,-2.57
21112024,38.4,299.45,297.65,297.65,290.5,294.55,-1.64
22112024,52.42,294.55,295.1,299.2,274.1,277.8,-5.69
25112024,48.86,277.8,280.0,290.95,280.0,280.9,1.12
26112024,24.98,280.9,279.0,337.05,279.0,331.9,18.16
27112024,25.8,331.9,344.05,351.7,329.2,343.85,3.6
28112024,26.55,343.85,349.9,360.85,334.7,352.0,2.37
29112024,40.51,352.0,352.0,364.7,348.05,353.7,0.48
02122024,48.72,353.7,353.0,360.0,341.5,345.9,-2.21
03122024,42.83,345.9,351.75,368.0,341.8,349.15,0.94
04122024,48.29,349.15,356.95,374.5,350.05,366.4,4.94
05122024,37.37,366.4,375.0,396.0,363.0,391.85,6.95
06122024,42.91,391.85,390.75,394.0,376.05,390.2,-0.42
09122024,55.06,390.2,390.0,408.6,385.55,393.25,0.78
10122024,45.24,393.25,393.0,393.85,380.0,384.75,-2.16
11122024,48.9,384.75,385.2,388.0,367.35,369.85,-3.87
12122024,42.73,369.85,370.0,372.2,357.6,362.4,-2.01
