Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,91.13,17.2,17.3,17.55,16.5,17.15,-0.29
03102019,71.24,17.15,17.0,17.15,16.1,16.9,-1.46
04102019,71.41,16.9,17.8,18.0,16.9,16.9,0.0
07102019,92.34,16.9,16.9,17.85,16.4,17.45,3.25
08102019,92.34,16.9,16.9,17.85,16.4,17.45,3.25
09102019,79.89,17.45,17.05,17.2,16.7,17.15,-1.72
10102019,75.79,17.15,17.95,17.95,16.7,17.15,0.0
11102019,79.89,17.15,16.95,17.15,16.55,17.1,-0.29
14102019,99.31,17.1,17.1,17.1,16.95,17.0,-0.58
15102019,82.17,17.0,17.0,17.05,16.6,16.9,-0.59
16102019,77.47,16.9,16.8,17.3,16.35,17.15,1.48
17102019,67.0,17.15,17.2,17.3,16.2,16.75,-2.33
18102019,92.98,16.75,16.75,17.15,16.75,17.15,2.39
21102019,92.98,16.75,16.75,17.15,16.75,17.15,2.39
22102019,68.68,17.15,17.15,17.5,16.75,17.25,0.58
23102019,83.73,17.25,16.8,17.5,16.8,17.0,-1.45
24102019,74.71,17.0,17.0,17.45,16.8,17.45,2.65
25102019,79.85,17.45,17.45,17.95,17.25,17.75,1.72
28102019,92.44,17.75,17.35,18.0,17.25,17.9,0.85
29102019,75.88,17.9,17.9,19.0,17.8,18.7,4.47
30102019,84.16,18.7,18.0,19.45,17.85,19.05,1.87
31102019,75.05,19.05,19.15,19.95,19.1,19.65,3.15
01112019,48.82,19.65,19.75,20.75,19.3,20.05,2.04
04112019,60.4,20.05,19.5,20.8,19.5,20.25,1.0
05112019,74.48,20.25,20.25,20.3,19.4,19.7,-2.72
06112019,91.13,19.7,19.7,20.0,19.6,19.65,-0.25
07112019,63.57,19.65,19.8,21.25,19.75,20.55,4.58
08112019,72.56,20.55,20.55,21.1,20.15,20.3,-1.22
11112019,91.54,20.3,20.4,20.6,19.5,19.95,-1.72
12112019,91.54,20.3,20.4,20.6,19.5,19.95,-1.72
13112019,79.62,19.95,19.9,20.35,19.5,19.55,-2.01
14112019,78.29,19.55,19.95,19.95,18.25,18.8,-3.84
15112019,76.57,18.8,18.35,19.05,18.0,18.85,0.27
18112019,70.43,18.85,18.7,20.4,18.7,19.95,5.84
19112019,45.52,19.95,20.65,20.85,19.15,19.65,-1.5
20112019,68.43,19.65,19.65,20.2,18.5,19.2,-2.29
21112019,72.23,19.2,19.5,19.7,18.9,19.15,-0.26
