Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,97.9,7.45,7.15,7.4,7.1,7.1,-4.7
03102019,78.51,7.1,7.1,7.4,6.75,6.75,-4.93
04102019,75.09,6.75,6.65,7.05,6.55,6.85,1.48
07102019,86.51,6.85,7.1,7.15,6.55,7.1,3.65
08102019,86.51,6.85,7.1,7.15,6.55,7.1,3.65
09102019,100.0,7.1,6.8,6.8,6.4,6.45,-9.15
10102019,100.0,6.45,6.05,6.1,6.05,6.1,-5.43
11102019,100.0,6.1,6.7,6.7,6.7,6.7,9.84
14102019,93.15,6.7,6.7,7.25,6.2,6.35,-5.22
15102019,99.87,6.35,6.05,6.6,5.95,6.55,3.15
16102019,84.21,6.55,6.55,6.55,5.9,5.95,-9.16
17102019,100.0,5.95,5.95,5.95,5.95,5.95,0.0
18102019,95.61,5.95,5.55,6.35,5.55,5.75,-3.36
21102019,95.61,5.95,5.55,6.35,5.55,5.75,-3.36
22102019,82.74,5.75,5.95,6.0,5.5,6.0,4.35
23102019,91.35,6.0,6.0,6.55,5.6,6.15,2.5
24102019,83.09,6.15,5.75,5.9,5.65,5.7,-7.32
25102019,100.0,5.7,5.65,5.65,5.6,5.6,-1.75
28102019,100.0,5.6,6.15,6.15,6.15,6.15,9.82
29102019,71.43,6.15,6.0,6.0,5.55,5.75,-6.5
30102019,74.12,5.75,6.25,6.25,5.5,5.5,-4.35
31102019,85.68,5.5,6.0,6.05,5.8,5.95,8.18
01112019,94.01,5.95,5.95,6.5,5.65,5.8,-2.52
04112019,96.62,5.8,5.8,6.15,5.55,5.6,-3.45
05112019,100.0,5.6,5.75,6.0,5.75,5.75,2.68
06112019,99.0,5.75,6.25,6.25,5.65,5.8,0.87
07112019,94.99,5.8,5.8,6.1,5.65,5.7,-1.72
08112019,100.0,5.7,6.2,6.2,5.65,5.8,1.75
11112019,100.0,5.8,5.85,6.2,5.8,6.05,4.31
12112019,100.0,5.8,5.85,6.2,5.8,6.05,4.31
13112019,97.82,6.05,5.6,6.6,5.6,5.65,-6.61
14112019,69.46,5.65,5.25,5.8,5.1,5.8,2.65
15112019,98.12,5.8,5.3,5.9,5.3,5.55,-4.31
18112019,70.63,5.55,5.1,6.1,5.1,6.1,9.91
19112019,80.55,6.1,6.1,6.7,5.8,5.95,-2.46
20112019,99.95,5.95,5.95,6.2,5.7,5.75,-3.36
21112019,55.66,5.75,5.8,6.0,5.8,6.0,4.35
22112019,94.88,6.0,5.75,6.3,5.7,5.7,-5.0
25112019,96.93,5.7,5.55,5.9,5.55,5.9,3.51
26112019,95.29,5.9,5.9,6.15,5.85,5.85,-0.85
27112019,82.79,5.85,5.75,6.1,5.7,6.1,4.27
28112019,100.0,6.1,6.1,6.4,6.1,6.25,2.46
29112019,96.57,6.25,5.95,6.55,5.95,6.55,4.8
