Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,26.69,54.1,54.5,57.95,52.25,53.6,-0.92
03102019,38.98,53.6,54.05,55.5,53.1,53.6,0.0
04102019,41.18,53.6,55.0,56.0,52.85,54.2,1.12
07102019,29.56,54.2,54.85,55.4,52.45,53.25,-1.75
08102019,29.56,54.2,54.85,55.4,52.45,53.25,-1.75
09102019,62.53,53.25,53.0,55.0,52.3,52.95,-0.56
10102019,55.9,52.95,54.0,55.3,50.7,51.2,-3.31
11102019,47.57,51.2,52.0,53.0,48.7,49.2,-3.91
14102019,9.05,49.2,50.6,59.0,49.3,50.65,2.95
15102019,51.05,50.65,51.0,51.9,49.3,49.6,-2.07
16102019,70.56,49.6,50.0,50.5,47.75,48.1,-3.02
17102019,57.91,48.1,48.25,49.45,48.0,48.45,0.73
18102019,51.61,48.45,49.0,51.0,48.3,49.0,1.14
21102019,51.61,48.45,49.0,51.0,48.3,49.0,1.14
22102019,57.84,49.0,48.5,50.3,48.5,48.85,-0.31
23102019,45.16,48.85,51.25,52.0,49.2,49.7,1.74
24102019,80.86,49.7,49.25,50.15,49.1,49.4,-0.6
25102019,66.73,49.4,49.3,49.5,47.2,47.65,-3.54
28102019,70.12,47.65,48.2,48.35,47.15,47.75,0.21
29102019,69.18,47.75,48.55,49.0,47.75,47.8,0.1
30102019,52.39,47.8,47.8,49.75,47.75,48.3,1.05
31102019,47.73,48.3,47.85,49.5,47.85,48.15,-0.31
01112019,68.57,48.15,48.35,49.0,47.8,47.95,-0.42
04112019,56.43,47.95,48.15,48.9,48.0,48.2,0.52
05112019,69.6,48.2,48.5,48.8,47.8,48.0,-0.41
06112019,60.16,48.0,48.4,48.4,47.7,47.9,-0.21
07112019,53.89,47.9,48.05,48.3,47.4,48.05,0.31
08112019,34.08,48.05,47.9,50.4,47.65,48.2,0.31
11112019,53.7,48.2,48.35,49.0,47.9,48.3,0.21
12112019,53.7,48.2,48.35,49.0,47.9,48.3,0.21
13112019,69.6,48.3,49.0,50.3,48.45,48.9,1.24
14112019,69.86,48.9,48.9,49.3,48.05,48.45,-0.92
15112019,71.57,48.45,49.15,49.2,48.05,48.15,-0.62
18112019,60.17,48.15,48.5,48.6,47.8,48.0,-0.31
19112019,54.25,48.0,47.65,48.5,47.1,47.9,-0.21
20112019,65.59,47.9,48.6,49.7,47.4,48.35,0.94
21112019,40.45,48.35,48.2,49.25,47.95,48.35,0.0
22112019,44.61,48.35,48.5,49.0,47.6,48.15,-0.41
25112019,47.0,48.15,49.95,52.0,48.55,51.6,7.17
26112019,51.24,51.6,52.3,53.2,48.85,49.4,-4.26
27112019,32.15,49.4,50.3,53.0,49.75,51.75,4.76
28112019,50.14,51.75,52.2,52.5,50.4,50.95,-1.55
29112019,67.89,50.95,50.75,51.6,49.9,50.15,-1.57
02122019,56.68,50.15,50.1,50.9,49.2,49.5,-1.3
03122019,45.8,49.5,49.7,50.55,48.25,48.7,-1.62
04122019,63.31,48.7,48.5,51.3,48.2,50.4,3.49
05122019,19.55,50.4,56.05,56.8,53.05,53.6,6.35
06122019,47.48,53.6,51.8,52.75,50.3,50.6,-5.6
09122019,55.81,50.6,50.95,56.4,49.75,55.7,10.08
10122019,54.56,55.7,55.0,56.9,53.55,56.45,1.35
11122019,33.31,56.45,56.8,58.7,53.95,54.35,-3.72
12122019,58.62,54.35,54.0,56.0,53.8,55.05,1.29
13122019,36.67,55.05,54.95,58.8,54.5,58.1,5.54
16122019,33.32,58.1,59.05,61.5,58.2,61.0,4.99
17122019,29.04,61.0,62.9,63.5,59.3,60.5,-0.82
18122019,33.0,60.5,60.5,60.5,57.7,58.1,-3.97
19122019,33.66,58.1,57.9,59.7,56.4,57.2,-1.55
20122019,35.58,57.2,57.85,58.65,55.2,55.6,-2.8
23122019,15.78,55.6,56.35,58.4,55.25,55.65,0.09
24122019,27.41,55.65,55.7,57.5,54.8,55.8,0.27
25122019,27.41,55.65,55.7,57.5,54.8,55.8,0.27
26122019,25.99,55.8,55.85,56.8,55.5,55.6,-0.36
27122019,30.14,55.6,55.95,58.4,55.85,56.1,0.9
30122019,20.95,56.1,56.5,62.2,56.05,59.95,6.86
31122019,66.75,59.95,59.45,59.5,57.5,57.75,-3.67
01012020,48.58,57.75,58.0,61.45,55.4,60.2,4.24
02012020,57.96,60.2,60.8,65.85,60.8,64.75,7.56
03012020,41.51,64.75,63.5,65.7,62.45,64.85,0.15
06012020,39.3,64.85,65.2,65.35,57.0,58.2,-10.25
07012020,45.46,58.2,59.45,60.8,59.0,59.35,1.98
08012020,53.2,59.35,58.55,60.75,57.25,59.65,0.51
09012020,33.84,59.65,62.2,62.7,60.8,61.3,2.77
10012020,20.55,61.3,61.9,63.7,60.35,61.5,0.33
13012020,50.04,61.5,61.6,63.4,60.3,61.8,0.49
14012020,35.87,61.8,62.15,64.75,61.25,63.0,1.94
15012020,37.31,63.0,63.4,67.7,62.6,66.65,5.79
16012020,43.88,66.65,67.05,68.5,63.5,64.1,-3.83
17012020,27.31,64.1,66.0,68.1,65.1,65.6,2.34
20012020,56.85,65.6,67.45,68.0,63.0,63.6,-3.05
21012020,52.41,63.6,63.5,65.2,63.0,63.35,-0.39
22012020,39.78,63.35,65.4,66.2,64.1,65.1,2.76
23012020,49.38,65.1,64.95,65.8,64.0,64.25,-1.31
24012020,49.33,64.25,64.55,65.25,63.55,63.75,-0.78
27012020,61.87,63.75,63.2,64.2,62.5,62.9,-1.33
28012020,33.32,62.9,63.45,67.85,63.0,63.4,0.79
29012020,50.95,63.4,64.55,64.8,62.85,63.3,-0.16
