Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,26.02,380.35,382.2,385.0,372.9,376.25,-1.08
03102019,29.1,376.25,375.0,376.75,367.0,368.65,-2.02
04102019,19.18,368.65,368.25,371.5,363.0,363.8,-1.32
07102019,19.19,363.8,365.75,367.25,358.0,363.85,0.01
08102019,19.19,363.8,365.75,367.25,358.0,363.85,0.01
09102019,26.17,363.85,365.9,365.9,353.7,357.45,-1.76
10102019,26.78,357.45,357.0,362.8,354.5,357.15,-0.08
11102019,25.05,357.15,353.0,371.4,352.5,368.65,3.22
14102019,28.5,368.65,365.35,371.8,362.9,370.5,0.5
15102019,61.96,370.5,370.0,373.85,368.8,370.25,-0.07
16102019,41.91,370.25,370.1,378.0,368.6,376.05,1.57
17102019,47.67,376.05,376.0,379.8,366.7,369.75,-1.68
18102019,33.77,369.75,369.75,381.35,369.75,379.45,2.62
21102019,33.77,369.75,369.75,381.35,369.75,379.45,2.62
22102019,32.56,379.45,378.0,378.0,368.3,371.2,-2.17
23102019,16.43,371.2,373.0,379.25,362.25,366.15,-1.36
24102019,11.19,366.15,368.0,368.0,341.4,346.25,-5.43
25102019,15.49,346.25,342.5,342.5,334.55,339.35,-1.99
28102019,22.58,339.35,341.9,341.9,337.4,339.4,0.01
29102019,31.87,339.4,339.4,339.4,326.8,328.15,-3.31
30102019,26.89,328.15,328.15,336.35,323.2,329.45,0.4
31102019,38.03,329.45,332.3,333.8,324.1,332.75,1.0
01112019,17.14,332.75,333.0,342.95,333.0,340.7,2.39
04112019,18.21,340.7,341.95,347.45,337.45,341.45,0.22
05112019,31.35,341.45,343.0,345.0,339.1,340.0,-0.42
06112019,24.8,340.0,340.0,344.45,338.2,341.3,0.38
07112019,29.05,341.3,343.35,346.95,339.25,345.1,1.11
08112019,36.99,345.1,344.8,349.35,337.6,338.8,-1.83
11112019,30.23,338.8,338.8,341.6,336.4,339.35,0.16
12112019,30.23,338.8,338.8,341.6,336.4,339.35,0.16
13112019,44.83,339.35,342.7,342.7,327.2,330.1,-2.73
14112019,51.9,330.1,330.1,334.7,327.9,333.5,1.03
15112019,29.22,333.5,334.0,338.1,334.0,336.0,0.75
18112019,35.47,336.0,334.95,338.0,334.25,336.9,0.27
19112019,25.23,336.9,337.0,342.0,334.3,339.2,0.68
20112019,33.67,339.2,338.0,341.9,337.15,340.15,0.28
21112019,18.3,340.15,338.05,347.8,338.0,338.95,-0.35
22112019,39.89,338.95,339.0,339.8,328.9,332.65,-1.86
25112019,33.27,332.65,333.0,337.8,333.0,336.15,1.05
26112019,40.04,336.15,336.0,339.75,333.75,338.3,0.64
27112019,36.03,338.3,338.05,342.05,336.0,339.8,0.44
28112019,29.42,339.8,340.7,346.5,337.05,345.1,1.56
29112019,26.64,345.1,346.0,346.2,338.0,339.4,-1.65
02122019,35.54,339.4,339.5,339.95,333.2,336.0,-1.0
03122019,33.09,336.0,336.0,336.8,323.6,326.5,-2.83
04122019,18.21,326.5,326.25,340.95,324.4,339.05,3.84
05122019,52.85,339.05,337.0,341.1,331.05,336.35,-0.8
06122019,23.88,336.35,338.4,341.0,332.85,334.4,-0.58
09122019,18.01,334.4,334.0,341.0,331.35,338.2,1.14
10122019,30.54,338.2,338.0,340.55,330.55,334.9,-0.98
11122019,25.54,334.9,333.0,339.6,332.05,338.3,1.02
12122019,18.96,338.3,338.5,343.35,335.95,340.15,0.55
13122019,18.9,340.15,339.0,341.7,337.0,339.75,-0.12
16122019,30.23,339.75,339.85,346.4,337.05,338.1,-0.49
17122019,37.27,338.1,338.45,340.7,337.0,338.15,0.01
18122019,25.4,338.15,338.0,345.0,337.35,338.2,0.01
19122019,40.43,338.2,338.0,340.0,336.25,337.45,-0.22
20122019,31.95,337.45,338.4,339.75,332.0,333.1,-1.29
23122019,35.14,333.1,335.0,335.0,327.75,329.2,-1.17
24122019,17.55,329.2,330.0,332.9,326.25,330.8,0.49
25122019,17.55,329.2,330.0,332.9,326.25,330.8,0.49
26122019,51.11,330.8,332.0,334.4,320.0,321.6,-2.78
27122019,30.95,321.6,323.6,332.8,323.4,331.0,2.92
30122019,42.37,331.0,330.3,334.6,329.15,333.3,0.69
31122019,49.95,333.3,333.0,336.0,330.45,334.7,0.42
01012020,38.3,334.7,334.6,337.4,333.65,336.15,0.43
02012020,42.53,336.15,335.5,338.5,330.8,337.4,0.37
03012020,21.89,337.4,337.8,345.0,333.35,335.7,-0.5
06012020,35.52,335.7,334.7,338.8,330.7,334.7,-0.3
07012020,29.39,334.7,336.0,338.2,333.0,334.75,0.01
08012020,42.08,334.75,333.0,336.8,330.55,334.2,-0.16
09012020,47.33,334.2,335.0,336.6,333.2,334.1,-0.03
10012020,65.47,334.1,334.0,335.85,326.25,328.45,-1.69
13012020,86.88,328.45,330.5,332.0,325.0,325.65,-0.85
14012020,70.87,325.65,326.5,329.5,322.45,326.95,0.4
15012020,58.45,326.95,327.4,328.9,326.3,328.1,0.35
16012020,51.07,328.1,329.75,338.0,326.7,336.85,2.67
17012020,46.42,336.85,338.0,341.9,335.0,341.0,1.23
20012020,38.82,341.0,342.5,344.8,336.0,341.0,0.0
21012020,40.99,341.0,339.9,344.95,337.1,341.45,0.13
22012020,62.49,341.45,341.0,342.15,333.65,335.1,-1.86
23012020,56.98,335.1,336.65,347.55,335.55,344.15,2.7
24012020,38.86,344.15,341.0,346.9,338.5,342.65,-0.44
27012020,43.59,342.65,340.7,349.5,340.7,347.4,1.39
28012020,20.6,347.4,349.55,357.95,344.85,352.45,1.45
29012020,35.29,352.45,354.6,360.85,349.0,351.7,-0.21
30012020,32.03,351.7,353.85,366.0,353.8,363.1,3.24
31012020,47.96,363.1,362.0,367.0,358.0,364.1,0.28
03022020,33.74,352.75,352.75,365.4,349.55,363.75,3.12
04022020,27.59,363.75,366.0,375.9,359.85,371.85,2.23
05022020,39.97,371.85,373.9,378.05,367.0,371.25,-0.16
06022020,36.94,371.25,379.9,379.9,371.05,376.4,1.39
07022020,32.48,376.4,378.0,378.9,368.35,377.4,0.27
10022020,34.02,377.4,377.4,384.0,370.0,381.2,1.01
11022020,63.03,381.2,382.0,382.0,371.3,375.2,-1.57
12022020,21.75,375.2,370.0,381.45,351.25,371.9,-0.88
13022020,45.28,371.9,372.3,374.0,365.75,370.6,-0.35
14022020,41.01,370.6,370.6,381.5,362.0,371.1,0.13
17022020,28.47,371.1,371.15,373.45,366.15,371.45,0.09
18022020,32.01,371.45,365.55,394.0,365.55,386.95,4.17
19022020,31.49,386.95,385.0,390.0,365.3,369.4,-4.54
20022020,45.14,369.4,369.9,374.0,361.25,363.95,-1.48
21022020,45.14,369.4,369.9,374.0,361.25,363.95,-1.48
24022020,57.49,363.95,360.15,365.75,359.7,362.35,-0.44
25022020,36.73,362.35,363.95,369.8,360.75,365.0,0.73
26022020,57.83,365.0,360.5,367.95,360.5,365.05,0.01
27022020,55.69,365.05,365.0,367.45,360.45,364.05,-0.27
28022020,62.33,364.05,359.8,365.0,355.0,359.5,-1.25
02032020,71.52,359.5,360.2,364.0,357.05,360.0,0.14
03032020,50.73,360.0,360.25,371.9,358.6,365.8,1.61
04032020,55.56,365.8,365.2,370.3,353.0,359.25,-1.79
05032020,55.51,359.25,356.2,361.05,341.3,345.15,-3.92
06032020,35.38,345.15,340.0,352.0,337.55,347.05,0.55
09032020,74.56,347.05,352.9,352.9,337.25,348.75,0.49
10032020,74.56,347.05,352.9,352.9,337.25,348.75,0.49
11032020,15.21,348.75,340.2,348.85,327.45,337.5,-3.23
12032020,42.38,337.5,335.0,335.0,275.65,297.3,-11.91
13032020,39.78,297.3,262.0,330.0,248.95,310.2,4.34
16032020,37.65,310.2,255.0,289.0,255.0,279.2,-9.99
17032020,18.58,279.2,279.95,327.05,274.0,275.55,-1.31
18032020,56.47,275.55,280.1,289.7,230.0,235.5,-14.53
19032020,39.84,235.5,229.8,230.0,204.0,210.9,-10.45
20032020,24.15,210.9,212.55,244.0,203.0,237.05,12.4
23032020,42.23,237.05,217.9,226.0,202.25,208.25,-12.15
24032020,52.34,208.25,210.0,227.6,205.65,225.05,8.07
25032020,48.94,225.05,228.0,242.0,220.25,228.45,1.51
26032020,44.8,228.45,228.0,239.0,223.0,226.2,-0.98
27032020,52.5,226.2,230.0,238.9,213.0,215.05,-4.93
30032020,46.94,215.05,214.0,214.8,205.0,208.35,-3.12
31032020,20.02,208.35,210.5,247.9,210.5,226.7,8.81
01042020,36.29,226.7,228.0,230.0,222.0,226.4,-0.13
02042020,36.29,226.7,228.0,230.0,222.0,226.4,-0.13
03042020,42.91,226.4,227.0,229.7,216.1,220.9,-2.43
06042020,42.91,226.4,227.0,229.7,216.1,220.9,-2.43
07042020,82.84,220.9,226.0,238.75,224.15,235.7,6.7
08042020,36.26,235.7,232.0,264.8,232.0,249.35,5.79
09042020,26.67,249.35,253.0,280.0,250.4,265.05,6.3
10042020,26.67,249.35,253.0,280.0,250.4,265.05,6.3
13042020,31.34,265.05,265.05,288.0,263.25,277.75,4.79
15042020,27.77,277.75,279.0,300.0,277.8,289.8,4.34
16042020,40.14,289.8,286.5,286.5,270.0,275.2,-5.04
17042020,68.71,275.2,280.0,284.75,276.35,278.0,1.02
20042020,57.69,278.0,279.0,282.6,275.0,275.85,-0.77
21042020,77.06,275.85,274.0,274.0,264.0,265.05,-3.92
22042020,67.78,265.05,265.0,271.0,259.05,263.65,-0.53
23042020,57.95,263.65,262.6,275.0,262.6,269.35,2.16
24042020,56.4,269.35,271.0,282.5,262.0,279.9,3.92
27042020,25.83,279.9,282.5,293.0,282.0,289.2,3.32
28042020,57.02,289.2,295.0,295.0,280.0,284.9,-1.49
29042020,14.43,284.9,299.8,306.45,283.0,295.9,3.86
30042020,36.83,295.9,301.8,301.8,276.1,279.7,-5.47
01052020,36.83,295.9,301.8,301.8,276.1,279.7,-5.47
04052020,30.43,279.7,268.0,275.0,265.5,266.45,-4.74
05052020,33.19,266.45,273.0,275.95,259.85,262.95,-1.31
06052020,42.12,262.95,264.0,265.0,251.95,252.85,-3.84
07052020,35.48,252.85,254.5,259.0,242.5,244.05,-3.48
08052020,38.57,244.05,247.6,248.8,235.0,235.6,-3.46
11052020,24.28,235.6,232.0,255.9,231.1,250.5,6.32
12052020,24.85,250.5,250.0,261.5,250.0,258.7,3.27
13052020,43.45,258.7,265.0,269.35,260.15,263.75,1.95
14052020,88.1,263.75,260.0,263.0,251.3,255.0,-3.32
15052020,40.41,255.0,257.0,258.0,245.0,246.2,-3.45
18052020,40.27,246.2,251.0,251.0,235.85,238.2,-3.25
19052020,57.82,238.2,242.0,242.0,235.35,240.05,0.78
20052020,79.68,240.05,236.5,238.75,231.2,235.1,-2.06
21052020,49.39,235.1,237.45,244.45,236.2,239.0,1.66
22052020,69.52,239.0,238.0,243.45,233.4,236.2,-1.17
25052020,69.52,239.0,238.0,243.45,233.4,236.2,-1.17
26052020,50.68,236.2,238.5,240.0,235.1,237.05,0.36
27052020,45.45,237.05,238.8,243.4,234.1,238.6,0.65
28052020,45.87,238.6,241.4,251.7,237.0,248.8,4.27
29052020,39.67,248.8,248.95,255.55,248.95,253.75,1.99
01062020,25.53,253.75,256.0,272.5,256.0,269.95,6.38
02062020,40.29,269.95,274.7,279.0,265.0,266.85,-1.15
03062020,56.04,266.85,268.0,270.8,262.5,266.65,-0.07
04062020,59.74,266.65,267.0,268.95,258.1,259.5,-2.68
05062020,44.23,259.5,269.5,311.4,269.5,311.4,20.0
08062020,44.95,311.4,350.0,350.0,319.55,330.85,6.25
09062020,62.76,330.85,335.55,336.35,318.4,320.8,-3.04
10062020,53.33,320.8,321.0,329.9,311.4,321.1,0.09
11062020,45.11,321.1,321.0,325.0,316.3,320.1,-0.31
12062020,28.86,320.1,313.05,330.0,312.1,322.9,0.87
15062020,53.99,322.9,322.5,325.0,317.3,318.15,-1.47
16062020,52.35,318.15,321.0,323.75,312.1,315.75,-0.75
17062020,46.26,315.75,315.25,318.5,314.1,315.4,-0.11
18062020,35.98,315.4,316.8,325.0,316.0,323.15,2.46
19062020,70.7,323.15,324.95,326.4,314.1,315.8,-2.27
22062020,60.75,315.8,317.4,323.0,317.4,321.95,1.95
23062020,70.49,321.95,322.0,322.95,314.0,320.0,-0.61
24062020,77.65,320.0,322.0,323.5,317.5,321.15,0.36
25062020,56.79,321.15,321.05,325.8,318.55,324.0,0.89
26062020,65.98,324.0,326.0,329.8,322.35,326.95,0.91
29062020,42.62,326.95,328.95,337.9,325.1,332.65,1.74
30062020,44.42,332.65,337.0,339.9,328.0,333.3,0.2
01072020,80.59,333.3,332.9,337.8,330.75,333.85,0.17
02072020,48.69,333.85,333.85,340.8,332.25,335.95,0.63
03072020,64.19,335.95,336.95,337.0,332.1,334.0,-0.58
06072020,29.78,334.0,334.0,340.0,332.5,335.55,0.46
07072020,58.01,335.55,336.9,339.3,334.1,335.5,-0.01
08072020,48.62,335.5,335.5,348.0,335.5,338.25,0.82
09072020,40.17,338.25,340.0,344.6,340.0,342.5,1.26
10072020,50.88,342.5,342.5,344.8,338.5,342.3,-0.06
13072020,74.27,342.3,348.4,348.4,343.05,346.1,1.11
14072020,44.86,346.1,347.4,358.7,346.1,353.9,2.25
15072020,32.43,353.9,358.25,373.8,355.6,365.1,3.16
16072020,50.85,365.1,370.1,373.7,360.0,361.75,-0.92
17072020,66.66,361.75,363.9,364.0,350.1,355.9,-1.62
20072020,68.0,355.9,355.9,358.7,351.4,354.55,-0.38
21072020,73.03,354.55,357.0,359.05,353.4,355.0,0.13
22072020,55.35,355.0,356.0,358.95,351.3,356.45,0.41
23072020,60.59,356.45,357.7,358.4,354.9,356.25,-0.06
24072020,53.55,356.25,355.1,363.0,355.0,358.7,0.69
