Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,56.1,3165.83,3165.0,3243.9,3160.0,3200.0,1.08
03102019,77.78,3200.0,3199.99,3200.0,3195.0,3195.0,-0.16
04102019,75.68,3195.0,3193.0,3246.99,3193.0,3241.0,1.44
07102019,100.0,3241.0,3240.0,3240.0,3233.0,3233.0,-0.25
08102019,100.0,3241.0,3240.0,3240.0,3233.0,3233.0,-0.25
10102019,84.62,3233.0,3244.99,3245.0,3050.0,3091.0,-4.39
11102019,83.33,3091.0,3194.99,3220.0,3190.0,3220.0,4.17
14102019,100.0,3220.0,3245.0,3245.0,3240.0,3245.0,0.78
15102019,80.0,3245.0,3287.99,3287.99,3220.0,3220.0,-0.77
18102019,76.47,3220.0,3295.99,3295.99,3152.0,3200.0,-0.62
21102019,76.47,3220.0,3295.99,3295.99,3152.0,3200.0,-0.62
22102019,80.65,3200.0,3300.0,3300.0,3151.0,3246.0,1.44
23102019,69.49,3246.0,3200.01,3244.0,3151.0,3222.0,-0.74
24102019,40.0,3222.0,3295.99,3296.0,3250.01,3280.0,1.8
25102019,82.35,3280.0,3280.0,3295.0,3280.0,3291.94,0.36
28102019,69.23,3291.94,3299.99,3386.0,3299.99,3371.66,2.42
29102019,90.0,3371.66,3371.65,3399.99,3371.65,3379.0,0.22
30102019,66.67,3379.0,3376.99,3377.0,3250.0,3347.99,-0.92
31102019,68.42,3347.99,3250.0,3280.0,3200.0,3280.0,-2.03
01112019,87.5,3280.0,3339.97,3339.97,3234.0,3234.0,-1.4
04112019,88.24,3234.0,3220.0,3220.0,3131.0,3214.0,-0.62
05112019,60.0,3214.0,3218.71,3219.0,3200.0,3219.0,0.16
06112019,68.52,3219.0,3260.0,3756.89,3220.01,3602.02,11.9
07112019,93.41,3602.02,3610.0,3610.0,3385.9,3450.0,-4.22
08112019,90.91,3450.0,3446.0,3558.0,3446.0,3551.14,2.93
11112019,78.87,3551.14,3555.0,3602.02,3261.0,3337.55,-6.01
12112019,78.87,3551.14,3555.0,3602.02,3261.0,3337.55,-6.01
13112019,69.25,3337.55,3300.01,3300.01,2988.0,3130.2,-6.21
14112019,91.97,3130.2,3206.0,3355.0,3206.0,3310.0,5.74
