Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,79.84,108.43,110.01,110.01,109.0,109.0,0.53
03102019,43.81,109.0,109.0,113.0,107.25,108.0,-0.92
04102019,46.3,108.0,108.05,113.88,108.05,109.16,1.07
07102019,7.56,109.16,127.9,127.9,108.0,108.0,-1.06
08102019,7.56,109.16,127.9,127.9,108.0,108.0,-1.06
09102019,100.0,108.0,108.1,117.0,108.1,108.25,0.23
10102019,42.1,108.25,118.75,118.75,108.07,114.44,5.72
11102019,70.38,114.44,109.06,112.79,109.06,109.67,-4.17
14102019,44.98,109.67,110.0,113.95,109.53,112.45,2.53
15102019,100.0,112.45,111.1,111.1,111.1,111.1,-1.2
16102019,93.48,111.1,111.15,113.99,111.0,111.5,0.36
17102019,38.42,111.5,111.51,114.9,111.5,114.85,3.0
18102019,75.07,114.85,112.0,120.5,112.0,115.0,0.13
21102019,75.07,114.85,112.0,120.5,112.0,115.0,0.13
22102019,40.77,115.0,112.0,116.0,112.0,112.86,-1.86
23102019,33.82,112.86,119.99,119.99,113.05,114.62,1.56
24102019,51.05,114.62,118.5,118.5,113.65,114.0,-0.54
25102019,78.75,114.0,113.2,113.2,112.6,112.71,-1.13
28102019,100.0,112.71,115.65,115.65,115.65,115.65,2.61
29102019,64.08,115.65,114.9,119.9,112.01,114.01,-1.42
30102019,26.67,114.01,114.99,118.3,114.71,114.71,0.61
31102019,39.16,114.71,115.0,119.7,115.0,119.7,4.35
01112019,97.96,119.7,116.0,116.27,116.0,116.22,-2.91
04112019,35.35,116.22,118.95,120.0,116.05,116.79,0.49
05112019,45.51,116.79,115.8,118.8,115.8,118.8,1.72
06112019,42.71,118.8,118.8,119.5,115.4,119.33,0.45
07112019,34.57,119.33,115.15,140.0,115.15,119.0,-0.28
08112019,44.13,119.0,119.5,119.5,116.95,117.25,-1.47
11112019,41.1,117.25,127.99,127.99,117.25,124.08,5.83
12112019,41.1,117.25,127.99,127.99,117.25,124.08,5.83
13112019,64.57,124.08,124.08,124.08,117.0,117.49,-5.31
14112019,38.56,117.49,117.49,117.9,115.11,116.39,-0.94
15112019,47.93,116.39,116.3,118.9,116.3,117.49,0.95
18112019,51.61,117.49,117.49,118.9,116.5,116.5,-0.84
19112019,50.0,116.5,116.5,121.0,116.5,119.7,2.75
20112019,37.9,119.7,119.7,120.0,116.61,120.0,0.25
21112019,94.44,120.0,120.0,120.0,117.06,117.07,-2.44
