Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,56.64,161.95,154.45,160.0,154.45,158.95,-1.85
03102019,90.13,158.95,156.0,169.0,153.05,160.15,0.75
04102019,76.99,160.15,159.05,164.0,146.2,151.75,-5.25
07102019,79.19,151.75,151.75,159.05,151.0,151.7,-0.03
08102019,79.19,151.75,151.75,159.05,151.0,151.7,-0.03
09102019,12.98,151.7,150.0,157.95,149.8,154.9,2.11
10102019,49.45,154.9,155.0,161.6,155.0,157.85,1.9
11102019,65.52,157.85,155.0,160.1,155.0,159.3,0.92
14102019,45.03,159.3,155.3,158.95,144.2,153.7,-3.52
15102019,61.03,153.7,150.3,156.0,146.4,148.1,-3.64
16102019,62.07,148.1,148.1,154.05,136.05,138.55,-6.45
17102019,79.3,138.55,138.55,144.9,138.55,141.45,2.09
18102019,77.96,141.45,145.25,148.0,139.95,144.3,2.01
21102019,77.96,141.45,145.25,148.0,139.95,144.3,2.01
22102019,55.83,144.3,148.0,160.95,139.1,144.65,0.24
23102019,73.98,144.65,140.2,143.85,140.15,142.05,-1.8
24102019,59.4,142.05,142.15,145.1,142.1,142.65,0.42
25102019,89.51,142.65,142.7,145.65,141.25,141.3,-0.95
28102019,64.73,141.3,140.85,144.9,132.8,138.8,-1.77
29102019,49.81,138.8,141.0,150.75,140.95,148.6,7.06
30102019,81.67,148.6,147.0,157.7,147.0,150.75,1.45
31102019,59.94,150.75,159.05,159.6,150.4,156.25,3.65
01112019,65.17,156.25,154.25,168.7,154.0,158.1,1.18
04112019,64.52,158.1,154.45,161.05,154.4,155.5,-1.64
05112019,89.95,155.5,155.5,156.0,148.0,149.1,-4.12
06112019,64.8,149.1,153.2,153.95,149.1,151.15,1.37
07112019,91.32,151.15,164.05,164.05,151.0,152.6,0.96
08112019,85.84,152.6,151.15,154.75,151.0,151.05,-1.02
11112019,90.24,151.05,150.7,153.25,148.0,150.85,-0.13
12112019,90.24,151.05,150.7,153.25,148.0,150.85,-0.13
13112019,98.51,150.85,149.05,150.0,145.0,148.8,-1.36
14112019,93.01,148.8,151.55,153.5,148.25,152.45,2.45
15112019,75.59,152.45,147.0,153.6,147.0,148.65,-2.49
18112019,94.51,148.65,144.05,149.05,143.0,144.05,-3.09
19112019,82.62,144.05,146.0,146.0,143.7,144.0,-0.03
20112019,95.38,144.0,142.0,150.0,140.0,145.85,1.28
21112019,66.05,145.85,150.2,152.75,141.0,143.4,-1.68
22112019,75.62,143.4,142.0,143.4,139.0,139.5,-2.72
25112019,63.1,139.5,145.0,149.5,140.15,143.15,2.62
26112019,84.21,143.15,143.15,144.85,135.5,138.35,-3.35
27112019,66.19,138.35,144.95,163.75,140.0,141.25,2.1
28112019,97.5,141.25,140.0,144.75,139.1,139.5,-1.24
29112019,78.24,139.5,140.0,140.05,135.0,136.7,-2.01
02122019,65.03,136.7,134.5,142.0,134.5,140.25,2.6
03122019,60.2,140.25,139.0,147.7,135.1,136.2,-2.89
04122019,64.16,136.2,140.0,145.0,137.25,142.45,4.59
05122019,64.6,142.45,140.05,142.0,135.0,137.0,-3.83
06122019,92.99,137.0,137.1,143.75,134.0,135.3,-1.24
09122019,92.83,135.3,134.0,139.35,134.0,137.0,1.26
10122019,68.33,137.0,140.05,140.05,134.95,136.8,-0.15
11122019,70.22,136.8,134.0,137.9,131.7,136.1,-0.51
12122019,56.97,136.1,139.55,140.0,134.25,135.75,-0.26
13122019,19.15,135.75,134.25,139.9,134.25,138.0,1.66
16122019,49.39,138.0,138.0,138.0,130.95,134.05,-2.86
17122019,94.27,134.05,138.3,138.3,133.2,133.85,-0.15
18122019,87.9,133.85,133.7,141.75,128.35,130.45,-2.54
19122019,75.92,130.45,131.05,133.0,127.0,129.55,-0.69
20122019,66.34,129.55,134.95,139.2,127.8,134.6,3.9
23122019,76.54,134.6,140.0,141.25,131.65,133.2,-1.04
24122019,89.83,133.2,132.1,136.4,128.1,129.7,-2.63
25122019,89.83,133.2,132.1,136.4,128.1,129.7,-2.63
26122019,66.71,129.7,138.7,138.7,130.0,130.35,0.5
27122019,89.2,130.35,132.2,136.55,130.0,131.0,0.5
30122019,66.08,131.0,131.1,135.0,130.0,134.45,2.63
31122019,90.65,134.45,135.0,138.5,135.0,135.7,0.93
01012020,19.3,135.7,138.9,138.9,135.5,135.7,0.0
02012020,94.08,135.7,139.95,141.75,134.0,136.6,0.66
03012020,39.36,136.6,140.0,154.95,140.0,149.6,9.52
06012020,74.91,149.6,145.4,149.6,143.1,144.0,-3.74
07012020,73.11,144.0,152.85,153.0,145.0,145.4,0.97
08012020,62.71,145.4,136.0,147.8,136.0,144.05,-0.93
09012020,81.33,144.05,142.6,148.95,142.6,148.4,3.02
10012020,75.0,148.4,151.9,161.0,148.0,155.75,4.95
13012020,86.22,155.75,158.0,164.0,157.0,159.7,2.54
14012020,30.21,159.7,162.95,163.95,145.95,156.15,-2.22
15012020,69.64,156.15,157.0,159.9,156.0,159.55,2.18
16012020,78.49,159.55,159.9,162.55,157.15,160.8,0.78
17012020,79.4,160.8,158.25,160.0,153.6,155.4,-3.36
20012020,85.06,155.4,156.2,162.45,156.2,161.85,4.15
21012020,59.9,161.85,170.5,170.5,152.85,157.6,-2.63
22012020,59.45,157.6,159.6,159.6,150.35,155.95,-1.05
23012020,44.31,155.95,156.0,156.95,153.45,156.2,0.16
24012020,49.86,156.2,156.4,158.8,152.15,154.4,-1.15
27012020,80.31,154.4,158.9,158.95,153.6,158.05,2.36
28012020,67.31,158.05,155.1,160.0,153.0,155.1,-1.87
29012020,58.03,155.1,155.1,158.0,151.5,155.05,-0.03
30012020,67.93,155.05,155.0,155.1,151.45,153.0,-1.32
31012020,53.14,153.0,151.0,160.75,150.05,156.75,2.45
03022020,51.12,152.5,150.0,155.0,149.25,154.5,1.31
04022020,93.23,154.5,155.0,156.0,152.0,153.6,-0.58
05022020,48.34,153.6,153.6,158.8,153.6,157.65,2.64
06022020,81.19,157.65,155.0,157.95,153.5,155.35,-1.46
07022020,80.96,155.35,154.05,159.0,152.05,158.0,1.71
10022020,45.49,158.0,160.05,165.1,159.0,161.1,1.96
11022020,64.71,161.1,161.1,164.95,160.0,161.3,0.12
12022020,60.73,161.3,162.5,162.5,152.55,157.05,-2.63
13022020,85.15,157.05,157.0,162.45,156.0,161.45,2.8
14022020,80.11,161.45,162.9,162.9,159.5,159.5,-1.21
17022020,57.56,159.5,159.0,164.95,156.0,159.25,-0.16
18022020,95.0,159.25,157.5,161.7,157.5,159.9,0.41
19022020,71.33,159.9,159.0,159.0,151.4,153.0,-4.32
20022020,69.2,153.0,154.0,158.0,148.35,151.15,-1.21
21022020,69.2,153.0,154.0,158.0,148.35,151.15,-1.21
24022020,87.19,151.15,151.15,157.7,148.0,153.15,1.32
25022020,82.04,153.15,157.9,157.9,151.85,155.65,1.63
26022020,83.89,155.65,153.0,156.5,148.0,153.45,-1.41
27022020,65.15,153.45,152.1,152.1,146.15,149.0,-2.9
28022020,73.0,149.0,149.0,149.0,135.0,142.2,-4.56
02032020,94.42,142.2,143.1,149.95,140.1,143.1,0.63
03032020,83.53,143.1,144.4,149.0,135.4,140.6,-1.75
04032020,85.32,140.6,140.05,144.95,135.0,139.9,-0.5
05032020,40.9,139.9,149.7,150.9,131.55,140.1,0.14
06032020,65.49,140.1,137.0,139.95,132.05,134.0,-4.35
09032020,94.84,134.0,140.0,140.0,128.0,129.1,-3.66
