Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,45.96,159.8,160.0,160.1,152.3,153.35,-4.04
03102019,92.45,153.35,154.0,156.5,153.0,154.6,0.82
04102019,85.7,154.6,155.9,159.0,153.2,156.05,0.94
07102019,87.71,156.05,156.6,157.0,154.2,156.2,0.1
08102019,87.71,156.05,156.6,157.0,154.2,156.2,0.1
09102019,82.84,156.2,156.4,158.8,152.65,154.05,-1.38
10102019,83.69,154.05,153.55,156.3,150.3,151.85,-1.43
11102019,78.07,151.85,152.35,153.8,149.2,150.65,-0.79
14102019,79.55,150.65,151.0,153.15,150.25,152.0,0.9
15102019,82.69,152.0,152.95,153.5,148.0,149.05,-1.94
16102019,83.17,149.05,149.55,149.95,146.3,149.0,-0.03
17102019,72.9,149.0,149.95,153.2,147.35,151.85,1.91
18102019,76.59,151.85,151.85,153.45,148.0,149.4,-1.61
21102019,76.59,151.85,151.85,153.45,148.0,149.4,-1.61
22102019,66.75,149.4,149.8,153.2,148.15,152.3,1.94
23102019,52.27,152.3,152.4,155.0,149.8,150.4,-1.25
24102019,69.13,150.4,151.0,152.15,149.4,151.35,0.63
25102019,84.04,151.35,152.15,152.25,149.5,150.85,-0.33
28102019,65.52,150.85,153.3,153.8,151.0,152.15,0.86
29102019,65.79,152.15,152.75,154.7,150.75,151.25,-0.59
30102019,68.4,151.25,152.4,153.5,149.3,150.0,-0.83
31102019,73.89,150.0,150.9,153.45,149.25,152.0,1.33
01112019,64.54,152.0,152.85,154.35,150.5,151.1,-0.59
04112019,84.6,151.1,150.8,153.65,150.8,152.55,0.96
05112019,39.34,152.55,155.0,158.0,150.6,151.5,-0.69
06112019,65.62,151.5,151.35,152.15,149.5,151.3,-0.13
07112019,33.98,151.3,151.9,152.0,150.25,150.85,-0.3
08112019,60.13,150.85,150.4,151.25,149.0,149.35,-0.99
11112019,55.36,149.35,149.0,150.5,144.6,146.55,-1.87
12112019,55.36,149.35,149.0,150.5,144.6,146.55,-1.87
13112019,69.1,146.55,151.0,157.9,148.5,155.9,6.38
14112019,77.18,155.9,156.8,157.8,150.45,155.25,-0.42
15112019,56.53,155.25,155.0,157.9,152.2,154.65,-0.39
18112019,46.92,154.65,154.6,155.4,152.5,154.35,-0.19
19112019,67.55,154.35,155.0,155.1,150.7,153.3,-0.68
20112019,69.24,153.3,153.9,153.9,151.85,152.2,-0.72
21112019,62.12,152.2,151.2,153.95,150.9,151.8,-0.26
22112019,66.83,151.8,152.35,152.35,149.0,149.6,-1.45
25112019,86.06,149.6,150.0,152.8,149.1,151.8,1.47
26112019,70.17,151.8,152.8,153.0,146.5,148.1,-2.44
27112019,64.82,148.1,148.8,151.9,147.5,149.65,1.05
28112019,66.07,149.65,150.0,151.3,148.15,148.75,-0.6
29112019,67.2,148.75,148.95,151.75,147.4,149.4,0.44
02122019,66.96,149.4,149.0,149.8,148.0,148.8,-0.4
03122019,70.98,148.8,148.8,150.2,148.2,148.65,-0.1
04122019,86.58,148.65,149.0,149.4,147.75,148.65,0.0
05122019,64.41,148.65,150.0,151.0,147.2,148.15,-0.34
06122019,65.96,148.15,148.95,149.4,146.2,148.35,0.13
09122019,38.85,148.35,148.35,151.3,147.2,148.15,-0.13
10122019,60.5,148.15,148.05,148.9,145.5,146.65,-1.01
11122019,68.82,146.65,147.0,147.7,138.3,146.45,-0.14
12122019,65.63,146.45,146.1,147.0,140.8,143.5,-2.01
13122019,71.69,143.5,144.0,147.9,143.3,146.65,2.2
16122019,51.91,146.65,146.75,149.8,144.2,146.25,-0.27
17122019,70.95,146.25,147.3,150.0,145.4,149.5,2.22
18122019,79.62,149.5,150.15,150.15,144.3,145.2,-2.88
19122019,64.74,145.2,143.0,145.85,141.2,142.0,-2.2
20122019,84.76,142.0,142.15,143.5,138.15,141.0,-0.7
23122019,72.32,141.0,140.3,144.8,139.3,143.65,1.88
24122019,52.31,143.65,144.0,145.7,142.55,145.0,0.94
25122019,52.31,143.65,144.0,145.7,142.55,145.0,0.94
26122019,59.23,145.0,144.6,145.75,140.7,143.6,-0.97
27122019,69.81,143.6,144.0,149.75,143.1,148.7,3.55
30122019,72.31,148.7,147.95,150.5,142.1,143.65,-3.4
31122019,51.23,143.65,142.8,145.6,141.3,145.0,0.94
01012020,39.91,145.0,145.0,145.85,143.6,144.2,-0.55
02012020,74.15,144.2,144.6,151.0,143.55,147.6,2.36
03012020,45.8,147.6,145.5,147.3,144.1,145.9,-1.15
06012020,72.76,145.9,145.0,145.8,140.35,141.05,-3.32
07012020,81.83,141.05,142.9,143.85,140.55,140.9,-0.11
08012020,64.59,140.9,140.0,140.25,137.4,139.2,-1.21
09012020,72.61,139.2,140.4,142.25,138.8,139.7,0.36
10012020,65.37,139.7,140.2,141.35,136.5,138.1,-1.15
13012020,56.93,138.1,139.85,139.85,137.5,138.0,-0.07
14012020,80.03,138.0,138.45,140.65,136.7,140.0,1.45
15012020,64.63,140.0,140.0,141.5,136.85,137.85,-1.54
16012020,62.78,137.85,138.45,141.85,137.3,141.25,2.47
17012020,65.47,141.25,141.0,146.0,139.3,145.5,3.01
20012020,87.21,145.5,145.0,145.9,142.5,143.4,-1.44
21012020,87.56,143.4,141.55,144.5,141.55,144.1,0.49
22012020,50.96,144.1,143.65,145.75,143.5,144.2,0.07
23012020,60.03,144.2,144.45,146.1,141.8,144.2,0.0
24012020,59.72,144.2,144.0,145.5,143.8,145.1,0.62
27012020,52.71,145.1,145.0,147.75,142.8,143.25,-1.27
28012020,75.44,143.25,145.3,145.3,139.25,140.05,-2.23
29012020,62.8,140.05,139.5,142.35,139.5,140.25,0.14
30012020,82.05,140.25,141.0,142.35,139.55,140.7,0.32
31012020,62.86,140.7,142.95,143.0,138.25,142.3,1.14
03022020,80.31,138.7,138.75,141.65,137.55,140.85,1.55
04022020,86.67,140.85,141.5,142.5,139.35,140.4,-0.32
05022020,61.65,140.4,141.25,141.5,139.2,140.15,-0.18
06022020,72.8,140.15,140.2,142.0,140.2,141.55,1.0
07022020,66.63,141.55,142.0,142.8,139.4,140.15,-0.99
10022020,57.82,140.15,139.5,140.5,137.0,137.9,-1.61
11022020,75.74,137.9,140.0,140.0,138.3,139.0,0.8
12022020,56.0,139.0,139.85,139.85,137.6,137.95,-0.76
13022020,88.99,137.95,138.0,139.1,132.9,134.2,-2.72
14022020,59.83,134.2,133.9,135.0,132.9,134.05,-0.11
17022020,90.64,134.05,134.45,135.0,130.9,131.55,-1.86
18022020,70.24,131.55,131.0,132.8,126.7,130.9,-0.49
19022020,73.36,130.9,132.4,137.85,130.6,137.15,4.77
20022020,66.49,137.15,137.15,141.8,134.2,140.05,2.11
21022020,66.49,137.15,137.15,141.8,134.2,140.05,2.11
24022020,87.92,140.05,139.9,139.9,137.0,138.0,-1.46
25022020,85.34,138.0,140.0,141.0,138.3,139.9,1.38
26022020,87.93,139.9,138.75,141.2,138.0,140.3,0.29
27022020,81.42,140.3,140.3,141.35,136.55,140.95,0.46
28022020,84.41,140.95,135.25,137.5,127.15,135.0,-4.22
02032020,91.64,135.0,134.15,138.65,130.05,133.85,-0.85
03032020,77.58,133.85,134.0,135.75,128.05,133.0,-0.64
04032020,81.21,133.0,131.4,132.95,121.3,123.85,-6.88
05032020,77.75,123.85,124.5,125.85,115.0,118.95,-3.96
06032020,87.46,118.95,115.0,122.9,113.2,120.9,1.64
09032020,72.77,120.9,118.7,118.95,112.0,115.35,-4.59
10032020,72.77,120.9,118.7,118.95,112.0,115.35,-4.59
11032020,76.97,115.35,115.0,115.9,111.75,114.1,-1.08
12032020,88.72,114.1,109.35,117.4,96.4,110.1,-3.51
13032020,79.9,110.1,100.05,116.65,100.05,115.15,4.59
16032020,71.83,115.15,106.2,110.45,99.85,109.15,-5.21
17032020,74.75,109.15,106.0,109.15,99.0,99.75,-8.61
18032020,57.12,99.75,100.35,102.95,86.65,90.05,-9.72
19032020,59.81,90.05,86.5,87.8,81.0,83.55,-7.22
20032020,50.99,83.55,84.0,92.0,82.2,90.6,8.44
23032020,73.96,90.6,80.0,85.7,73.2,74.65,-17.6
24032020,74.84,74.65,75.5,80.7,73.25,77.15,3.35
25032020,49.63,77.15,74.0,81.0,72.1,75.55,-2.07
26032020,36.26,75.55,74.6,82.95,73.3,78.25,3.57
27032020,47.09,78.25,79.0,81.25,74.1,75.9,-3.0
30032020,74.47,75.9,75.9,77.6,73.25,75.2,-0.92
31032020,73.71,75.2,77.0,77.0,73.3,75.0,-0.27
01042020,88.14,75.0,74.5,76.5,70.3,72.0,-4.0
02042020,88.14,75.0,74.5,76.5,70.3,72.0,-4.0
03042020,66.13,72.0,73.8,73.8,69.0,69.35,-3.68
06042020,66.13,72.0,73.8,73.8,69.0,69.35,-3.68
07042020,72.88,69.35,75.0,75.0,69.75,73.9,6.56
08042020,65.34,73.9,74.9,80.4,72.6,75.05,1.56
09042020,70.85,75.05,76.0,77.45,74.4,75.35,0.4
10042020,70.85,75.05,76.0,77.45,74.4,75.35,0.4
13042020,79.01,75.35,75.0,75.2,72.2,72.45,-3.85
15042020,67.24,72.45,72.2,84.8,72.2,82.25,13.53
16042020,72.44,82.25,79.0,83.5,78.15,80.7,-1.88
17042020,45.65,80.7,84.0,85.0,80.1,80.5,-0.25
20042020,42.39,80.5,83.8,84.95,81.1,81.4,1.12
21042020,88.34,81.4,79.95,80.0,76.35,79.6,-2.21
22042020,77.1,79.6,81.85,83.95,76.75,77.7,-2.39
23042020,51.07,77.7,77.25,82.0,77.25,78.7,1.29
24042020,60.55,78.7,77.6,80.7,75.35,76.0,-3.43
27042020,38.39,76.0,76.35,79.8,73.8,74.2,-2.37
28042020,81.08,74.2,74.85,76.0,73.4,75.1,1.21
29042020,45.26,75.1,75.25,76.4,75.0,75.35,0.33
30042020,36.97,75.35,75.65,81.0,75.65,79.9,6.04
01052020,36.97,75.35,75.65,81.0,75.65,79.9,6.04
04052020,63.22,79.9,77.0,77.0,72.45,72.65,-9.07
05052020,90.26,72.65,74.45,74.45,72.2,73.1,0.62
