Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,46.6,343.9,342.05,344.35,314.45,321.75,-6.44
03102019,74.54,321.75,320.05,329.0,320.05,321.65,-0.03
04102019,77.65,321.65,328.95,330.05,321.35,327.95,1.96
07102019,80.77,327.95,322.6,322.6,318.95,319.95,-2.44
08102019,80.77,327.95,322.6,322.6,318.95,319.95,-2.44
09102019,70.16,319.95,322.0,328.9,320.9,322.55,0.81
10102019,79.45,322.55,326.0,328.45,312.0,320.45,-0.65
11102019,76.67,320.45,318.0,337.1,316.0,319.05,-0.44
14102019,86.05,319.05,320.05,323.0,315.8,318.8,-0.08
15102019,80.72,318.8,320.05,322.0,315.1,316.7,-0.66
16102019,57.56,316.7,314.05,320.0,313.0,314.6,-0.66
17102019,81.4,314.6,314.6,331.0,311.25,324.95,3.29
18102019,55.09,324.95,329.0,343.0,321.0,325.65,0.22
21102019,55.09,324.95,329.0,343.0,321.0,325.65,0.22
22102019,70.65,325.65,323.05,339.0,323.05,334.9,2.84
23102019,51.89,334.9,334.95,349.85,330.15,341.3,1.91
24102019,85.42,341.3,342.0,343.9,333.0,339.55,-0.51
25102019,53.51,339.55,343.95,343.95,328.25,331.0,-2.52
28102019,77.42,331.0,335.0,344.95,335.0,340.1,2.75
29102019,84.05,340.1,340.05,360.5,336.05,351.2,3.26
30102019,77.67,351.2,351.8,362.0,349.05,356.4,1.48
31102019,72.56,356.4,351.3,356.55,339.05,342.8,-3.82
01112019,81.64,342.8,342.5,343.95,336.0,340.3,-0.73
04112019,87.28,340.3,340.0,340.0,331.6,334.1,-1.82
05112019,78.19,334.1,337.0,339.65,325.55,327.05,-2.11
06112019,83.83,327.05,333.55,336.5,328.55,335.0,2.43
07112019,58.67,335.0,334.95,349.0,334.95,340.8,1.73
08112019,69.85,340.8,340.0,347.95,337.0,337.9,-0.85
11112019,93.24,337.9,349.85,349.85,330.0,334.45,-1.02
12112019,93.24,337.9,349.85,349.85,330.0,334.45,-1.02
13112019,72.43,334.45,337.95,338.8,324.0,328.45,-1.79
14112019,86.88,328.45,329.05,333.55,326.0,328.1,-0.11
15112019,68.48,328.1,325.45,335.95,325.0,325.7,-0.73
18112019,79.42,325.7,324.95,326.35,320.0,320.55,-1.58
19112019,54.55,320.55,322.5,332.95,322.5,325.2,1.45
20112019,55.53,325.2,327.55,337.95,323.85,332.4,2.21
21112019,58.65,332.4,336.95,339.95,325.1,326.9,-1.65
22112019,76.99,326.9,328.95,336.75,324.1,328.15,0.38
25112019,60.79,328.15,322.05,333.4,322.05,326.1,-0.62
26112019,77.08,326.1,330.0,330.0,322.05,323.15,-0.9
27112019,64.53,323.15,324.95,327.55,324.35,326.8,1.13
28112019,79.57,326.8,329.95,329.95,322.2,323.4,-1.04
29112019,63.69,323.4,324.6,329.5,321.85,325.15,0.54
02122019,73.17,325.15,322.7,325.1,314.4,316.45,-2.68
03122019,54.72,316.45,316.9,324.0,310.6,313.35,-0.98
