Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
29032022,49.4,133.2,132.6,150.0,132.6,147.9,11.04
30032022,49.98,147.9,150.0,159.0,147.0,149.15,0.85
31032022,58.02,149.15,149.0,151.7,142.35,143.4,-3.86
01042022,48.81,143.4,144.0,158.05,144.0,153.9,7.32
04042022,63.87,153.9,156.75,184.65,154.9,162.95,5.88
05042022,65.52,162.95,164.8,177.0,163.0,174.0,6.78
06042022,55.77,174.0,175.9,177.0,165.0,166.9,-4.08
07042022,43.76,166.9,166.6,171.2,162.0,164.75,-1.29
08042022,57.91,164.75,166.8,166.8,158.1,160.35,-2.67
11042022,60.3,160.35,164.0,166.75,160.35,162.4,1.28
12042022,64.51,162.4,161.4,164.2,155.25,160.5,-1.17
13042022,49.6,160.5,164.95,165.9,155.3,160.8,0.19
14042022,49.6,160.5,164.95,165.9,155.3,160.8,0.19
15042022,49.6,160.5,164.95,165.9,155.3,160.8,0.19
18042022,58.04,160.8,163.95,163.95,154.5,155.95,-3.02
19042022,66.45,155.95,160.0,160.0,153.7,155.3,-0.42
20042022,50.78,155.3,159.0,161.0,150.0,154.15,-0.74
21042022,60.53,154.15,151.3,158.4,151.0,154.95,0.52
22042022,28.83,154.95,152.5,165.0,152.5,158.1,2.03
25042022,68.49,158.1,158.4,158.4,152.0,152.65,-3.45
26042022,51.04,152.65,153.5,156.05,152.0,152.7,0.03
27042022,58.01,152.7,155.75,155.75,142.3,144.05,-5.66
28042022,54.42,144.05,145.0,161.35,145.0,156.15,8.4
29042022,49.88,156.15,158.7,158.75,150.85,153.4,-1.76
02052022,48.53,153.4,145.6,151.55,142.55,150.45,-1.92
03052022,48.53,153.4,145.6,151.55,142.55,150.45,-1.92
04052022,57.71,150.45,154.0,160.0,140.1,142.3,-5.42
05052022,56.06,142.3,149.0,149.0,143.4,144.45,1.51
06052022,60.61,144.45,143.5,144.5,122.3,136.1,-5.78
09052022,59.5,136.1,141.0,141.0,129.0,133.0,-2.28
10052022,52.52,133.0,130.15,139.9,115.7,125.05,-5.98
11052022,42.7,125.05,125.0,131.8,119.05,127.85,2.24
12052022,61.74,127.85,126.9,134.7,122.85,131.2,2.62
13052022,35.93,131.2,131.2,137.0,131.05,133.55,1.79
16052022,57.51,133.55,135.4,135.4,130.05,133.35,-0.15
