Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,91.97,78.85,75.25,79.85,72.95,75.65,-4.06
03102019,89.09,75.65,78.3,78.3,71.3,74.8,-1.12
04102019,81.27,74.8,75.1,77.0,73.0,75.75,1.27
07102019,74.1,75.75,75.0,76.0,70.5,71.45,-5.68
08102019,74.1,75.75,75.0,76.0,70.5,71.45,-5.68
09102019,80.71,71.45,72.55,72.55,67.55,70.0,-2.03
10102019,85.83,70.0,69.35,71.15,67.5,67.75,-3.21
11102019,83.5,67.75,68.85,78.0,68.75,72.95,7.68
14102019,93.02,72.95,74.8,76.65,72.15,74.4,1.99
15102019,76.54,74.4,73.95,75.45,69.55,71.75,-3.56
16102019,53.7,71.75,73.95,73.95,69.5,70.45,-1.81
17102019,72.69,70.45,70.05,74.0,69.7,71.9,2.06
18102019,83.22,71.9,73.3,75.4,71.3,72.85,1.32
21102019,83.22,71.9,73.3,75.4,71.3,72.85,1.32
22102019,87.94,72.85,74.55,76.45,71.2,73.05,0.27
23102019,80.9,73.05,71.15,75.8,71.15,74.85,2.46
24102019,71.54,74.85,74.8,74.8,72.0,72.1,-3.67
25102019,70.61,72.1,73.0,73.95,71.25,73.3,1.66
28102019,94.57,73.3,74.25,79.75,74.2,75.95,3.62
29102019,69.5,75.95,75.35,80.0,72.1,78.25,3.03
30102019,74.08,78.25,77.0,77.0,73.3,74.2,-5.18
31102019,71.25,74.2,75.05,77.8,74.65,75.6,1.89
01112019,70.83,75.6,75.0,76.9,73.0,74.05,-2.05
04112019,79.2,74.05,73.0,76.9,73.0,75.55,2.03
05112019,78.47,75.55,76.75,76.75,73.05,74.25,-1.72
06112019,98.58,74.25,76.05,76.05,74.0,74.9,0.88
07112019,68.74,74.9,76.75,76.85,72.5,74.35,-0.73
08112019,66.86,74.35,74.95,77.8,74.6,74.65,0.4
11112019,91.81,74.65,74.05,75.0,71.15,72.5,-2.88
12112019,91.81,74.65,74.05,75.0,71.15,72.5,-2.88
13112019,85.03,72.5,70.55,75.95,67.2,70.7,-2.48
14112019,84.45,70.7,71.95,72.0,68.55,69.0,-2.4
15112019,86.92,69.0,69.45,71.1,67.7,70.85,2.68
18112019,74.04,70.85,70.05,71.05,68.05,69.25,-2.26
19112019,99.03,69.25,69.0,70.4,67.6,67.85,-2.02
20112019,88.83,67.85,67.6,71.8,67.2,69.55,2.51
21112019,84.01,69.55,68.15,70.0,68.1,68.5,-1.51
22112019,93.59,68.5,68.05,73.65,67.2,70.0,2.19
25112019,60.94,70.0,75.8,75.8,66.5,67.2,-4.0
26112019,94.81,67.2,67.0,69.75,62.25,63.35,-5.73
27112019,75.34,63.35,63.0,73.0,62.75,69.8,10.18
28112019,29.87,69.8,69.0,71.4,66.2,69.6,-0.29
29112019,69.82,69.6,69.55,70.0,68.05,68.9,-1.01
02122019,51.47,68.9,69.75,69.85,66.2,68.5,-0.58
03122019,84.44,68.5,68.85,69.4,67.1,67.2,-1.9
04122019,91.65,67.2,67.05,68.85,66.0,66.65,-0.82
05122019,64.58,66.65,66.05,69.1,65.25,65.6,-1.58
06122019,63.76,65.6,66.75,67.8,65.05,65.85,0.38
09122019,87.1,65.85,68.4,69.45,63.15,64.4,-2.2
10122019,89.97,64.4,65.05,66.2,62.55,63.05,-2.1
11122019,88.95,63.05,62.3,67.85,57.25,58.8,-6.74
12122019,73.8,58.8,57.95,64.0,57.95,60.4,2.72
13122019,73.15,60.4,62.75,64.6,60.05,61.45,1.74
16122019,65.51,61.45,61.5,66.0,59.0,59.95,-2.44
17122019,95.21,59.95,59.9,61.5,57.55,58.75,-2.0
