Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,60.07,3.2,3.25,3.3,3.05,3.05,-4.69
03102019,81.34,3.05,3.1,3.2,3.0,3.2,4.92
04102019,77.77,3.2,3.35,3.35,3.35,3.35,4.69
07102019,100.0,3.35,3.5,3.5,3.5,3.5,4.48
08102019,100.0,3.35,3.5,3.5,3.5,3.5,4.48
09102019,92.24,3.5,3.6,3.85,3.6,3.85,10.0
10102019,80.6,3.85,4.2,4.2,4.2,4.2,9.09
11102019,54.95,4.2,4.45,4.6,3.85,4.0,-4.76
14102019,64.45,4.0,4.4,4.4,3.6,4.0,0.0
15102019,66.45,4.0,4.0,4.05,3.7,3.7,-7.5
16102019,71.8,3.7,3.75,3.85,3.4,3.55,-4.05
17102019,88.73,3.55,3.55,3.8,3.45,3.75,5.63
18102019,61.4,3.75,3.9,3.95,3.5,3.85,2.67
21102019,61.4,3.75,3.9,3.95,3.5,3.85,2.67
22102019,60.05,3.85,4.0,4.2,3.75,3.8,-1.3
23102019,65.59,3.8,4.0,4.0,3.6,3.65,-3.95
24102019,67.7,3.65,3.6,3.75,3.6,3.7,1.37
25102019,60.88,3.7,3.7,3.7,3.55,3.6,-2.7
28102019,82.88,3.6,3.6,3.8,3.5,3.6,0.0
29102019,66.41,3.6,3.65,3.8,3.55,3.7,2.78
30102019,57.83,3.7,3.8,3.8,3.35,3.45,-6.76
31102019,67.33,3.45,3.4,3.6,3.15,3.35,-2.9
01112019,54.29,3.35,3.35,3.6,3.25,3.55,5.97
04112019,63.92,3.55,3.55,3.7,3.5,3.6,1.41
05112019,49.71,3.6,3.6,3.95,3.6,3.95,9.72
06112019,73.97,3.95,4.0,4.1,3.8,3.85,-2.53
07112019,77.56,3.85,3.85,3.9,3.65,3.8,-1.3
08112019,66.29,3.8,3.65,4.0,3.65,3.85,1.32
11112019,64.23,3.85,3.95,3.95,3.6,3.75,-2.6
12112019,64.23,3.85,3.95,3.95,3.6,3.75,-2.6
13112019,64.44,3.75,3.95,4.1,3.8,3.8,1.33
14112019,75.48,3.8,3.85,3.85,3.7,3.75,-1.32
15112019,76.99,3.75,3.8,3.8,3.55,3.65,-2.67
18112019,66.64,3.65,3.5,3.8,3.5,3.65,0.0
19112019,74.86,3.65,3.7,3.75,3.55,3.7,1.37
20112019,65.61,3.7,3.8,3.8,3.55,3.7,0.0
21112019,68.8,3.7,3.6,4.0,3.6,3.85,4.05
22112019,83.62,3.85,3.85,3.85,3.7,3.8,-1.3
25112019,73.9,3.8,3.6,3.95,3.6,3.7,-2.63
26112019,68.81,3.7,3.7,3.75,3.55,3.65,-1.35
27112019,74.07,3.65,3.6,3.85,3.6,3.65,0.0
28112019,80.77,3.65,3.8,3.8,3.6,3.6,-1.37
29112019,63.67,3.6,3.75,3.75,3.6,3.65,1.39
02122019,61.22,3.65,3.75,3.75,3.55,3.6,-1.37
03122019,80.56,3.6,3.6,3.7,3.6,3.65,1.39
04122019,60.94,3.65,3.5,3.65,3.5,3.65,0.0
05122019,84.55,3.65,3.7,3.7,3.55,3.55,-2.74
06122019,61.82,3.55,3.65,3.65,3.45,3.5,-1.41
09122019,65.12,3.5,3.6,3.6,3.4,3.45,-1.43
10122019,84.76,3.45,3.4,3.45,3.35,3.35,-2.9
11122019,68.53,3.35,3.45,3.5,3.3,3.5,4.48
12122019,70.68,3.5,3.55,3.6,3.4,3.45,-1.43
13122019,81.29,3.45,3.4,3.5,3.35,3.4,-1.45
16122019,72.64,3.4,3.35,3.5,3.35,3.4,0.0
17122019,82.81,3.4,3.4,3.45,3.35,3.4,0.0
18122019,71.79,3.4,3.6,3.6,3.2,3.4,0.0
19122019,67.87,3.4,3.35,3.45,3.3,3.35,-1.47
20122019,95.48,3.35,3.35,3.4,3.3,3.4,1.49
23122019,81.36,3.4,3.35,3.45,3.3,3.3,-2.94
24122019,73.7,3.3,3.3,3.4,3.25,3.4,3.03
25122019,73.7,3.3,3.3,3.4,3.25,3.4,3.03
26122019,61.96,3.4,3.35,3.4,3.3,3.4,0.0
27122019,73.66,3.4,3.4,3.4,3.3,3.4,0.0
30122019,92.75,3.4,3.35,3.4,3.3,3.3,-2.94
31122019,83.98,3.3,3.25,3.35,3.15,3.3,0.0
01012020,80.37,3.3,3.3,3.4,3.3,3.35,1.52
02012020,57.85,3.35,3.35,4.0,3.3,4.0,19.4
03012020,52.95,4.0,4.2,4.5,4.05,4.15,3.75
06012020,51.45,4.15,4.1,4.15,3.5,3.65,-12.05
07012020,73.11,3.65,3.7,3.95,3.5,3.65,0.0
08012020,62.18,3.65,3.8,3.8,3.45,3.5,-4.11
09012020,72.48,3.5,3.7,3.7,3.4,3.45,-1.43
10012020,75.32,3.45,3.55,3.55,3.3,3.45,0.0
13012020,61.65,3.45,3.85,3.85,3.4,3.55,2.9
14012020,55.79,3.55,3.65,3.65,3.45,3.5,-1.41
15012020,78.19,3.5,3.5,3.55,3.45,3.45,-1.43
16012020,79.53,3.45,3.55,3.55,3.4,3.5,1.45
17012020,79.33,3.5,3.55,3.55,3.45,3.45,-1.43
20012020,81.57,3.45,3.45,3.5,3.35,3.4,-1.45
21012020,54.95,3.4,3.45,3.5,3.4,3.4,0.0
22012020,94.07,3.4,3.4,3.45,3.35,3.4,0.0
23012020,89.53,3.4,3.4,3.45,3.35,3.35,-1.47
24012020,78.56,3.35,3.45,3.45,3.35,3.4,1.49
27012020,77.16,3.4,3.35,3.55,3.3,3.4,0.0
28012020,42.83,3.4,3.4,3.45,3.15,3.35,-1.47
29012020,54.34,3.35,3.35,3.45,3.35,3.45,2.99
30012020,72.67,3.45,3.35,3.45,3.3,3.4,-1.45
31012020,60.76,3.4,3.4,3.4,3.25,3.35,-1.47
03022020,63.04,3.25,3.3,3.35,3.05,3.25,0.0
04022020,68.33,3.25,3.25,3.3,3.15,3.25,0.0
05022020,76.35,3.25,3.3,3.35,3.05,3.1,-4.62
06022020,64.64,3.1,3.1,3.25,3.1,3.15,1.61
07022020,61.44,3.15,3.2,3.25,3.1,3.15,0.0
10022020,66.26,3.15,3.2,3.25,3.15,3.15,0.0
11022020,71.82,3.15,3.2,3.35,3.1,3.15,0.0
12022020,88.52,3.15,3.25,3.25,3.15,3.15,0.0
