Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
21082026,99.79,57.2,57.67,57.67,57.46,57.47,0.47
24082026,94.59,57.47,57.65,57.67,57.18,57.41,-0.1
25082026,93.6,57.41,57.33,57.45,57.26,57.44,0.05
26082026,100.0,57.44,57.22,57.72,57.22,57.72,0.49
27082026,100.0,57.72,57.72,57.72,57.66,57.66,-0.1
28082026,81.52,57.66,57.39,57.54,57.26,57.35,-0.54
31082026,98.69,57.35,57.28,57.45,57.05,57.28,-0.12
01092026,87.68,57.28,57.47,57.53,57.3,57.3,0.03
02092026,94.6,57.3,58.45,58.45,56.9,57.0,-0.52
03092026,100.0,57.0,57.68,57.68,57.34,57.42,0.74
04092026,100.0,57.42,57.39,57.56,57.35,57.56,0.24
