Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,40.0,1245.0,1296.0,1296.0,1207.45,1207.45,-3.02
04102019,100.0,1207.45,1225.3,1225.3,1225.3,1225.3,1.48
07102019,91.67,1225.3,1207.1,1207.1,1190.0,1190.0,-2.88
08102019,91.67,1225.3,1207.1,1207.1,1190.0,1190.0,-2.88
09102019,100.0,1190.0,1250.0,1250.0,1250.0,1250.0,5.04
10102019,100.0,1250.0,1260.0,1260.0,1260.0,1260.0,0.8
11102019,50.0,1260.0,1208.7,1208.7,1199.0,1199.0,-4.84
14102019,83.33,1199.0,1199.0,1221.25,1199.0,1221.25,1.86
17102019,100.0,1221.25,1225.75,1225.75,1225.75,1225.75,0.37
22102019,95.83,1225.75,1225.0,1255.0,1225.0,1240.5,1.2
23102019,100.0,1240.5,1235.0,1235.0,1235.0,1235.0,-0.44
29102019,66.67,1235.0,1246.0,1266.0,1246.0,1256.0,1.7
30102019,0.0,1256.0,1246.0,1272.0,1246.0,1272.0,1.27
31102019,100.0,1272.0,1270.0,1284.0,1270.0,1270.45,-0.12
01112019,100.0,1270.45,1282.25,1282.25,1282.25,1282.25,0.93
04112019,100.0,1282.25,1289.0,1290.45,1289.0,1289.0,0.53
05112019,38.89,1289.0,1287.1,1288.2,1268.5,1268.5,-1.59
08112019,100.0,1268.5,1292.2,1292.2,1289.9,1290.7,1.75
11112019,100.0,1290.7,1283.35,1283.35,1283.35,1283.35,-0.57
12112019,100.0,1290.7,1283.35,1283.35,1283.35,1283.35,-0.57
14112019,100.0,1283.35,1276.6,1276.6,1276.6,1276.6,-0.53
15112019,100.0,1276.6,1271.65,1271.65,1270.4,1270.4,-0.49
18112019,100.0,1270.4,1264.3,1264.3,1264.3,1264.3,-0.48
20112019,100.0,1264.3,1293.65,1293.65,1293.65,1293.65,2.32
27112019,100.0,1293.65,1291.4,1299.4,1291.4,1295.4,0.14
28112019,60.0,1295.4,1287.3,1305.4,1287.3,1305.4,0.77
29112019,60.0,1305.4,1296.0,1311.4,1296.0,1299.5,-0.45
02122019,60.0,1299.5,1296.0,1306.0,1296.0,1302.35,0.22
04122019,100.0,1302.35,1298.0,1298.0,1298.0,1298.0,-0.33
05122019,100.0,1298.0,1294.45,1294.45,1294.45,1294.45,-0.27
06122019,100.0,1294.45,1279.45,1279.45,1279.45,1279.45,-1.16
09122019,100.0,1279.45,1282.7,1282.7,1282.7,1282.7,0.25
10122019,100.0,1282.7,1286.5,1286.5,1286.5,1286.5,0.3
11122019,100.0,1286.5,1264.0,1264.5,1264.0,1264.5,-1.71
13122019,100.0,1264.5,1286.65,1286.65,1286.65,1286.65,1.75
16122019,91.67,1286.65,1300.0,1301.95,1285.0,1285.0,-0.13
17122019,100.0,1285.0,1287.65,1287.65,1287.65,1287.65,0.21
18122019,100.0,1287.65,1297.35,1297.35,1297.35,1297.35,0.75
19122019,100.0,1297.35,1310.4,1310.4,1310.4,1310.4,1.01
20122019,100.0,1310.4,1322.25,1322.25,1322.25,1322.25,0.9
23122019,100.0,1322.25,1324.15,1324.15,1324.15,1324.15,0.14
30122019,100.0,1324.15,1324.4,1325.0,1324.4,1325.0,0.06
31122019,84.0,1325.0,1319.05,1319.05,1269.0,1269.0,-4.23
01012020,100.0,1269.0,1294.35,1310.0,1293.15,1294.25,1.99
06012020,100.0,1294.25,1303.75,1303.75,1300.0,1303.2,0.69
08012020,100.0,1303.2,1296.95,1296.95,1296.95,1296.95,-0.48
10012020,100.0,1296.95,1322.25,1322.8,1322.25,1322.8,1.99
13012020,100.0,1322.8,1305.55,1305.55,1305.55,1305.55,-1.3
14012020,50.0,1305.55,1326.2,1326.2,1305.3,1305.3,-0.02
15012020,100.0,1305.3,1305.9,1305.9,1305.9,1305.9,0.05
16012020,100.0,1305.9,1305.4,1305.4,1305.4,1305.4,-0.04
17012020,100.0,1305.4,1328.15,1329.85,1328.15,1329.85,1.87
20012020,75.0,1329.85,1324.15,1324.15,1300.5,1300.5,-2.21
21012020,100.0,1300.5,1290.95,1291.75,1290.95,1291.75,-0.67
23012020,100.0,1291.75,1311.45,1311.45,1311.45,1311.45,1.53
27012020,25.0,1311.45,1314.7,1314.7,1288.7,1290.35,-1.61
29012020,100.0,1290.35,1310.65,1310.65,1310.65,1310.65,1.57
30012020,0.0,1310.65,1303.45,1303.45,1275.45,1275.45,-2.69
31012020,90.0,1275.45,1278.0,1303.9,1278.0,1303.9,2.23
03022020,60.0,1330.0,1288.7,1288.7,1245.0,1250.0,-6.02
04022020,100.0,1250.0,1280.0,1280.0,1266.2,1266.2,1.3
05022020,76.92,1266.2,1296.45,1296.45,1272.15,1272.15,0.47
07022020,100.0,1272.15,1278.8,1278.8,1278.0,1278.0,0.46
10022020,100.0,1278.0,1295.45,1299.5,1295.45,1299.5,1.68
