Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,53.0,152.0,152.0,156.95,151.0,151.8,-0.13
03102019,53.81,151.8,153.65,154.45,151.2,153.2,0.92
04102019,56.79,153.2,157.7,157.7,148.15,150.45,-1.8
07102019,53.8,150.45,150.45,155.0,149.05,149.9,-0.37
08102019,53.8,150.45,150.45,155.0,149.05,149.9,-0.37
09102019,42.35,149.9,150.7,151.8,149.05,151.3,0.93
10102019,52.55,151.3,151.0,153.95,149.1,151.05,-0.17
11102019,75.29,151.05,152.1,154.0,149.0,149.4,-1.09
14102019,41.15,149.4,149.1,151.95,148.9,150.0,0.4
15102019,67.39,150.0,154.0,154.0,148.0,150.9,0.6
16102019,61.0,150.9,152.25,156.7,152.25,154.4,2.32
17102019,63.62,154.4,147.7,155.8,147.7,153.85,-0.36
18102019,78.63,153.85,154.1,158.65,154.1,157.65,2.47
21102019,78.63,153.85,154.1,158.65,154.1,157.65,2.47
22102019,47.55,157.65,157.05,160.2,155.5,157.0,-0.41
23102019,49.5,157.0,158.95,170.0,157.0,161.0,2.55
24102019,57.5,161.0,164.45,166.85,159.0,159.95,-0.65
25102019,78.0,159.95,158.05,160.3,158.0,158.65,-0.81
28102019,86.33,158.65,166.25,166.25,159.0,162.5,2.43
29102019,82.17,162.5,161.05,165.0,161.05,164.35,1.14
30102019,75.46,164.35,163.0,167.9,163.0,165.0,0.4
31102019,53.35,165.0,165.0,169.8,164.65,166.65,1.0
01112019,56.72,166.65,170.0,171.45,168.0,169.6,1.77
04112019,58.85,169.6,169.5,175.0,169.5,173.25,2.15
05112019,66.09,173.25,172.0,173.7,164.55,166.1,-4.13
06112019,28.85,166.1,167.55,179.0,159.1,162.15,-2.38
07112019,66.94,162.15,162.3,164.45,156.7,157.2,-3.05
08112019,59.32,157.2,158.9,159.2,155.2,156.8,-0.25
11112019,58.22,156.8,155.8,157.35,154.05,154.3,-1.59
12112019,58.22,156.8,155.8,157.35,154.05,154.3,-1.59
13112019,81.74,154.3,153.0,156.7,151.0,152.45,-1.2
14112019,64.78,152.45,153.95,154.0,150.1,151.55,-0.59
15112019,77.93,151.55,152.25,153.55,151.25,151.35,-0.13
18112019,72.41,151.35,151.4,155.0,151.4,153.85,1.65
19112019,52.24,153.85,155.0,155.9,153.0,153.65,-0.13
20112019,63.62,153.65,155.0,155.0,151.05,151.7,-1.27
21112019,65.67,151.7,154.0,154.0,149.05,150.15,-1.02
22112019,64.99,150.15,149.0,153.6,149.0,152.45,1.53
25112019,76.48,152.45,154.6,154.6,146.0,147.1,-3.51
26112019,67.19,147.1,149.1,151.0,145.7,146.65,-0.31
27112019,72.24,146.65,147.0,148.0,146.0,146.55,-0.07
28112019,46.5,146.55,150.9,150.9,146.0,148.35,1.23
29112019,85.9,148.35,151.55,151.55,148.3,149.6,0.84
02122019,70.77,149.6,151.0,151.0,147.0,147.65,-1.3
