Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
24122019,100.0,13.5,14.15,14.15,14.15,14.15,4.81
25122019,100.0,13.5,14.15,14.15,14.15,14.15,4.81
31122019,100.0,14.15,14.15,14.15,14.15,14.15,0.0
08012020,100.0,14.15,13.45,13.45,13.45,13.45,-4.95
13012020,100.0,13.45,13.45,13.45,13.45,13.45,0.0
20012020,100.0,13.45,13.5,14.05,13.5,14.05,4.46
28012020,100.0,14.05,14.0,14.0,14.0,14.0,-0.36
03022020,100.0,14.0,14.0,14.0,14.0,14.0,0.0
18022020,100.0,14.0,13.9,13.9,13.9,13.9,-0.71
11032020,100.0,13.9,13.9,13.9,13.9,13.9,0.0
26032020,50.0,13.9,13.25,13.25,13.25,13.25,-4.68
01042020,100.0,13.25,12.9,12.9,12.8,12.8,-3.4
02042020,100.0,13.25,12.9,12.9,12.8,12.8,-3.4
03042020,100.0,12.8,12.5,12.5,12.5,12.5,-2.34
06042020,100.0,12.8,12.5,12.5,12.5,12.5,-2.34
07042020,100.0,12.5,12.0,12.0,12.0,12.0,-4.0
08042020,100.0,12.0,11.5,11.5,11.5,11.5,-4.17
09042020,100.0,11.5,11.0,11.0,10.95,10.95,-4.78
10042020,100.0,11.5,11.0,11.0,10.95,10.95,-4.78
13042020,100.0,10.95,10.95,11.3,10.95,11.3,3.2
15042020,100.0,11.3,11.3,11.3,11.3,11.3,0.0
16042020,100.0,11.3,11.25,11.6,11.25,11.6,2.65
17042020,100.0,11.6,11.6,11.6,11.05,11.05,-4.74
20042020,100.0,11.05,11.05,11.05,10.5,11.05,0.0
21042020,99.87,11.05,11.0,11.45,10.5,11.35,2.71
22042020,67.0,11.35,11.35,11.35,11.35,11.35,0.0
23042020,100.0,11.35,11.35,11.35,11.35,11.35,0.0
24042020,100.0,11.35,11.35,11.35,11.35,11.35,0.0
27042020,100.0,11.35,11.35,11.35,11.0,11.0,-3.08
06052020,81.82,11.0,11.35,11.35,10.5,11.35,3.18
07052020,100.0,11.35,11.35,11.35,11.35,11.35,0.0
11052020,100.0,11.35,10.8,10.8,10.8,10.8,-4.85
15052020,100.0,10.8,10.8,10.8,10.3,10.3,-4.63
18052020,80.0,10.3,10.0,10.55,10.0,10.55,2.43
20052020,100.0,10.55,10.05,10.05,10.05,10.05,-4.74
22052020,100.0,10.05,10.05,10.05,10.05,10.05,0.0
25052020,100.0,10.05,10.05,10.05,10.05,10.05,0.0
26052020,100.0,10.05,10.05,10.05,10.05,10.05,0.0
01062020,80.08,10.05,10.05,10.1,10.0,10.0,-0.5
02062020,88.89,10.0,9.5,10.5,9.5,10.5,5.0
03062020,100.0,10.5,10.75,10.75,10.55,10.55,0.48
04062020,100.0,10.55,10.55,10.55,10.1,10.3,-2.37
05062020,60.71,10.3,9.85,10.8,9.8,10.8,4.85
08062020,100.0,10.8,10.8,10.8,10.3,10.3,-4.63
09062020,100.0,10.3,9.8,10.1,9.8,10.05,-2.43
10062020,99.85,10.05,10.2,10.5,10.0,10.25,1.99
11062020,89.77,10.25,9.95,10.45,9.9,10.35,0.98
12062020,98.72,10.35,9.9,10.8,9.85,10.45,0.97
15062020,63.2,10.45,10.9,10.95,9.95,10.0,-4.31
16062020,73.74,10.0,9.5,10.45,9.5,10.1,1.0
17062020,90.62,10.1,10.6,10.6,9.6,10.3,1.98
18062020,58.95,10.3,10.05,10.4,9.8,9.85,-4.37
19062020,84.62,9.85,10.3,10.3,9.4,10.3,4.57
22062020,99.86,10.3,10.7,10.8,10.45,10.8,4.85
23062020,91.85,10.8,11.25,11.3,10.75,11.3,4.63
24062020,84.35,11.3,10.9,11.35,10.75,10.85,-3.98
25062020,91.9,10.85,11.1,11.1,10.35,10.85,0.0
26062020,43.39,10.85,10.4,11.0,10.35,10.45,-3.69
29062020,77.32,10.45,10.05,10.75,10.0,10.75,2.87
30062020,45.28,10.75,11.05,11.05,10.25,10.4,-3.26
01072020,33.29,10.4,10.05,10.85,10.0,10.65,2.4
02072020,66.58,10.65,10.15,10.6,10.15,10.2,-4.23
03072020,94.05,10.2,10.5,10.55,10.45,10.5,2.94
06072020,79.72,10.5,10.55,10.55,10.0,10.3,-1.9
07072020,94.96,10.3,9.8,10.8,9.8,10.7,3.88
08072020,56.24,10.7,10.7,11.2,10.2,10.4,-2.8
09072020,76.43,10.4,9.95,10.4,9.9,9.95,-4.33
10072020,64.14,9.95,9.65,10.3,9.5,10.05,1.01
13072020,99.46,10.05,10.0,10.1,9.8,10.05,0.0
