Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,67.07,10.7,10.7,11.15,9.85,10.2,-4.67
03102019,83.3,10.2,10.0,10.5,9.95,10.0,-1.96
04102019,96.97,10.0,10.3,10.3,9.9,10.0,0.0
07102019,90.86,10.0,10.05,10.15,9.6,9.8,-2.0
08102019,90.86,10.0,10.05,10.15,9.6,9.8,-2.0
09102019,64.06,9.8,10.65,10.65,9.6,10.0,2.04
10102019,49.11,10.0,9.8,10.25,9.7,10.15,1.5
11102019,76.86,10.15,10.1,10.65,9.8,10.1,-0.49
14102019,61.78,10.1,10.1,10.5,9.65,10.15,0.5
15102019,85.82,10.15,10.0,10.0,9.8,9.85,-2.96
16102019,80.36,9.85,9.75,9.75,9.55,9.55,-3.05
17102019,73.45,9.55,9.55,10.0,9.55,9.9,3.66
18102019,60.21,9.9,10.35,10.35,9.6,9.75,-1.52
21102019,60.21,9.9,10.35,10.35,9.6,9.75,-1.52
22102019,59.48,9.75,9.75,10.4,9.6,9.85,1.03
23102019,67.98,9.85,9.7,10.75,9.7,10.0,1.52
24102019,65.77,10.0,10.0,10.1,9.9,10.0,0.0
25102019,65.54,10.0,10.05,10.4,9.85,10.2,2.0
28102019,75.36,10.2,10.05,10.3,9.85,9.95,-2.45
29102019,91.43,9.95,9.8,10.2,9.8,10.1,1.51
30102019,73.72,10.1,10.1,10.5,9.9,10.15,0.5
31102019,71.08,10.15,10.45,10.45,10.0,10.3,1.48
01112019,67.84,10.3,10.4,10.8,10.15,10.45,1.46
04112019,95.27,10.45,10.65,10.65,10.3,10.45,0.0
05112019,97.87,10.45,10.45,10.45,10.2,10.35,-0.96
06112019,55.04,10.35,10.5,10.65,10.2,10.45,0.97
07112019,90.25,10.45,10.5,10.5,10.05,10.2,-2.39
08112019,76.46,10.2,10.2,10.3,10.15,10.2,0.0
11112019,85.76,10.2,10.25,11.0,10.2,10.9,6.86
12112019,85.76,10.2,10.25,11.0,10.2,10.9,6.86
13112019,62.77,10.9,10.9,11.9,10.5,10.75,-1.38
14112019,72.22,10.75,11.2,11.2,10.3,10.5,-2.33
15112019,79.2,10.5,10.3,10.7,10.15,10.55,0.48
18112019,66.05,10.55,10.5,10.7,10.05,10.3,-2.37
19112019,79.36,10.3,10.25,10.6,10.2,10.25,-0.49
20112019,69.4,10.25,10.15,10.65,10.1,10.4,1.46
21112019,86.37,10.4,10.55,10.55,10.2,10.35,-0.48
22112019,81.94,10.35,10.05,10.45,9.9,10.0,-3.38
25112019,70.75,10.0,10.45,10.45,9.75,9.9,-1.0
26112019,96.56,9.9,9.8,10.2,9.75,10.05,1.52
27112019,75.05,10.05,10.2,10.3,9.95,10.05,0.0
28112019,89.87,10.05,10.0,10.15,9.95,10.0,-0.5
29112019,90.24,10.0,9.9,10.1,9.9,9.9,-1.0
02122019,73.45,9.9,9.7,10.25,9.7,10.0,1.01
03122019,93.63,10.0,10.0,10.1,9.85,9.9,-1.0
04122019,57.88,9.9,9.9,10.05,9.65,10.0,1.01
05122019,65.5,10.0,10.35,10.35,9.85,9.95,-0.5
06122019,69.09,9.95,10.25,10.25,9.8,9.85,-1.01
09122019,47.33,9.85,10.15,10.15,9.7,9.85,0.0
10122019,58.39,9.85,9.65,10.0,9.65,9.8,-0.51
11122019,90.96,9.8,9.75,9.75,9.4,9.6,-2.04
12122019,80.04,9.6,9.65,9.75,9.25,9.45,-1.56
13122019,71.28,9.45,9.4,9.7,9.3,9.55,1.06
16122019,57.21,9.55,9.55,10.1,9.55,9.85,3.14
17122019,77.7,9.85,9.8,10.1,9.65,9.65,-2.03
18122019,70.79,9.65,9.7,9.85,9.65,9.75,1.04
19122019,77.29,9.75,9.35,10.25,9.35,10.1,3.59
20122019,77.17,10.1,10.1,10.25,9.75,9.85,-2.48
23122019,61.95,9.85,9.85,10.05,9.5,9.8,-0.51
24122019,99.79,9.8,9.7,9.95,9.65,9.75,-0.51
25122019,99.79,9.8,9.7,9.95,9.65,9.75,-0.51
26122019,60.85,9.75,9.9,10.35,9.65,10.15,4.1
27122019,59.58,10.15,10.2,10.4,10.05,10.05,-0.99
30122019,59.85,10.05,10.05,10.25,10.0,10.05,0.0
31122019,50.52,10.05,9.7,10.4,9.7,10.0,-0.5
01012020,52.49,10.0,9.9,11.2,9.9,10.7,7.0
02012020,64.85,10.7,10.9,11.0,10.35,10.7,0.0
03012020,65.79,10.7,10.7,10.85,10.4,10.5,-1.87
06012020,83.06,10.5,10.45,10.45,9.6,10.0,-4.76
07012020,42.34,10.0,10.1,11.8,9.9,11.5,15.0
08012020,67.98,11.5,11.5,11.7,10.6,10.9,-5.22
09012020,71.41,10.9,11.05,11.3,10.9,11.1,1.83
10012020,66.26,11.1,10.8,11.2,10.5,10.55,-4.95
13012020,57.8,10.55,11.0,11.9,10.6,11.3,7.11
14012020,51.69,11.3,11.3,11.45,10.4,10.75,-4.87
