Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
02042026,42.24,1.02,1.02,1.06,0.98,1.03,0.98
03042026,42.24,1.02,1.02,1.06,0.98,1.03,0.98
06042026,59.03,1.03,1.05,1.05,0.99,1.0,-2.91
07042026,74.27,1.0,1.01,1.02,0.99,0.99,-1.0
08042026,68.33,0.99,1.0,1.04,1.0,1.02,3.03
09042026,59.14,1.02,1.02,1.05,1.02,1.02,0.0
10042026,66.61,1.02,1.02,1.17,1.02,1.11,8.82
13042026,44.73,1.11,1.11,1.11,1.05,1.06,-4.5
14042026,44.73,1.11,1.11,1.11,1.05,1.06,-4.5
15042026,65.96,1.06,1.07,1.11,1.07,1.08,1.89
16042026,49.54,1.08,1.1,1.14,1.06,1.08,0.0
17042026,73.26,1.08,1.08,1.1,1.07,1.09,0.93
20042026,66.29,1.09,1.09,1.09,1.02,1.05,-3.67
21042026,75.64,1.05,1.03,1.05,0.99,0.99,-5.71
