Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,82.13,2.55,2.65,2.65,2.55,2.6,1.96
03102019,98.19,2.6,2.7,2.7,2.5,2.55,-1.92
04102019,100.0,2.55,2.45,2.55,2.45,2.45,-3.92
07102019,85.17,2.45,2.45,2.55,2.35,2.35,-4.08
08102019,85.17,2.45,2.45,2.55,2.35,2.35,-4.08
09102019,95.53,2.35,2.5,2.55,2.35,2.55,8.51
10102019,77.0,2.55,2.8,2.8,2.55,2.8,9.8
11102019,75.14,2.8,2.9,2.9,2.6,2.65,-5.36
14102019,58.4,2.65,2.7,2.8,2.5,2.8,5.66
15102019,92.65,2.8,2.8,2.8,2.55,2.65,-5.36
16102019,93.59,2.65,2.65,2.65,2.5,2.5,-5.66
17102019,96.36,2.5,2.45,2.6,2.45,2.55,2.0
18102019,93.49,2.55,2.55,2.55,2.4,2.45,-3.92
21102019,93.49,2.55,2.55,2.55,2.4,2.45,-3.92
22102019,94.22,2.45,2.25,2.45,2.25,2.3,-6.12
23102019,99.9,2.3,2.45,2.45,2.35,2.4,4.35
24102019,80.03,2.4,2.45,2.6,2.35,2.55,6.25
25102019,59.66,2.55,2.55,2.65,2.4,2.6,1.96
28102019,59.59,2.6,2.4,2.8,2.4,2.6,0.0
29102019,86.52,2.6,2.45,2.65,2.45,2.5,-3.85
30102019,84.89,2.5,2.45,2.6,2.45,2.5,0.0
31102019,72.08,2.5,2.4,2.55,2.4,2.55,2.0
01112019,90.57,2.55,2.55,2.65,2.4,2.6,1.96
04112019,75.42,2.6,2.85,2.85,2.45,2.5,-3.85
05112019,85.81,2.5,2.5,2.75,2.4,2.45,-2.0
06112019,68.37,2.45,2.4,2.5,2.35,2.45,0.0
07112019,77.0,2.45,2.5,2.5,2.35,2.4,-2.04
08112019,88.31,2.4,2.4,2.45,2.3,2.4,0.0
11112019,84.9,2.4,2.35,2.5,2.3,2.4,0.0
12112019,84.9,2.4,2.35,2.5,2.3,2.4,0.0
13112019,88.85,2.4,2.25,2.4,2.25,2.3,-4.17
14112019,77.58,2.3,2.35,2.45,2.3,2.35,2.17
15112019,70.2,2.35,2.4,2.4,2.25,2.25,-4.26
18112019,65.02,2.25,2.4,2.45,2.25,2.4,6.67
19112019,89.68,2.4,2.3,2.4,2.25,2.4,0.0
20112019,77.72,2.4,2.3,2.35,2.3,2.35,-2.08
21112019,67.38,2.35,2.25,2.35,2.25,2.3,-2.13
22112019,73.91,2.3,2.35,2.35,2.25,2.25,-2.17
25112019,50.27,2.25,2.3,2.35,2.2,2.25,0.0
26112019,85.35,2.25,2.3,2.35,2.2,2.35,4.44
27112019,58.62,2.35,2.35,2.35,2.2,2.25,-4.26
28112019,91.91,2.25,2.25,2.35,2.2,2.35,4.44
29112019,75.32,2.35,2.25,2.35,2.25,2.3,-2.13
02122019,77.48,2.3,2.3,2.5,2.25,2.5,8.7
03122019,65.35,2.5,2.5,2.75,2.35,2.65,6.0
04122019,83.79,2.65,2.65,2.7,2.55,2.55,-3.77
05122019,74.85,2.55,2.65,2.65,2.5,2.6,1.96
06122019,72.05,2.6,2.5,2.65,2.45,2.6,0.0
09122019,80.05,2.6,2.4,2.7,2.4,2.55,-1.92
10122019,39.88,2.55,2.55,2.6,2.3,2.5,-1.96
11122019,84.71,2.5,2.55,2.55,2.2,2.2,-12.0
12122019,59.57,2.2,2.3,2.35,2.1,2.25,2.27
13122019,90.27,2.25,2.35,2.35,2.2,2.25,0.0
16122019,67.82,2.25,2.25,2.25,2.2,2.2,-2.22
17122019,64.72,2.2,2.2,2.35,2.15,2.25,2.27
18122019,77.2,2.25,2.3,2.35,2.2,2.35,4.44
19122019,50.53,2.35,2.25,2.8,2.15,2.35,0.0
20122019,54.55,2.35,2.4,2.55,2.3,2.4,2.13
23122019,70.03,2.4,2.3,2.6,2.3,2.45,2.08
24122019,98.28,2.45,2.4,2.6,2.4,2.55,4.08
25122019,98.28,2.45,2.4,2.6,2.4,2.55,4.08
26122019,66.85,2.55,2.55,2.55,2.4,2.45,-3.92
27122019,71.08,2.45,2.55,2.55,2.4,2.5,2.04
30122019,61.37,2.5,2.4,2.5,2.35,2.45,-2.0
31122019,84.69,2.45,2.5,2.5,2.35,2.4,-2.04
01012020,41.1,2.4,2.5,2.85,2.5,2.85,18.75
02012020,59.63,2.85,3.0,3.4,2.95,3.4,19.3
03012020,88.63,3.4,3.6,3.7,3.6,3.7,8.82
06012020,59.2,3.7,4.05,4.05,3.4,4.05,9.46
07012020,52.22,4.05,4.25,4.25,3.7,3.95,-2.47
08012020,60.84,3.95,4.0,4.1,3.75,3.9,-1.27
09012020,65.38,3.9,3.55,3.9,3.55,3.6,-7.69
10012020,62.05,3.6,3.7,3.7,3.25,3.25,-9.72
13012020,69.63,3.25,3.45,3.55,3.15,3.55,9.23
14012020,59.58,3.55,3.9,3.9,3.5,3.9,9.86
15012020,72.83,3.9,3.8,3.9,3.55,3.6,-7.69
04032020,56.34,2.25,2.15,2.35,2.15,2.3,2.22
05032020,82.79,2.3,2.3,2.3,2.2,2.2,-4.35
06032020,85.14,2.2,2.3,2.3,2.1,2.1,-4.55
09032020,92.97,2.1,2.0,2.2,2.0,2.15,2.38
10032020,92.97,2.1,2.0,2.2,2.0,2.15,2.38
11032020,63.34,2.15,2.15,2.25,2.05,2.15,0.0
12032020,94.15,2.15,2.1,2.15,2.05,2.05,-4.65
13032020,92.47,2.05,1.95,2.15,1.95,2.0,-2.44
16032020,76.63,2.0,1.9,2.1,1.9,1.9,-5.0
17032020,87.44,1.9,1.85,1.95,1.85,1.85,-2.63
18032020,100.0,1.85,1.85,1.85,1.8,1.8,-2.7
19032020,98.01,1.8,1.8,1.8,1.75,1.75,-2.78
20032020,99.99,1.75,1.7,1.8,1.7,1.8,2.86
23032020,98.93,1.8,1.8,1.85,1.75,1.75,-2.78
24032020,97.18,1.75,1.8,1.8,1.7,1.75,0.0
25032020,100.0,1.75,1.7,1.7,1.7,1.7,-2.86
26032020,100.0,1.7,1.7,1.75,1.65,1.7,0.0
27032020,86.43,1.7,1.7,1.75,1.7,1.75,2.94
30032020,80.64,1.75,1.7,1.7,1.7,1.7,-2.86
31032020,100.0,1.7,1.7,1.7,1.65,1.7,0.0
01042020,100.0,1.7,1.7,1.75,1.65,1.75,2.94
02042020,100.0,1.7,1.7,1.75,1.65,1.75,2.94
03042020,80.32,1.75,1.75,1.75,1.7,1.7,-2.86
06042020,80.32,1.75,1.75,1.75,1.7,1.7,-2.86
07042020,82.94,1.7,1.65,1.75,1.65,1.75,2.94
08042020,74.04,1.75,1.8,1.8,1.7,1.8,2.86
09042020,99.26,1.8,1.8,1.95,1.8,1.95,8.33
10042020,99.26,1.8,1.8,1.95,1.8,1.95,8.33
13042020,81.16,1.95,1.95,2.1,1.9,2.0,2.56
15042020,31.38,2.0,2.0,2.2,1.8,2.0,0.0
16042020,74.63,2.0,2.0,2.05,1.9,1.95,-2.5
17042020,99.92,1.95,2.05,2.05,1.95,2.0,2.56
20042020,69.52,2.0,2.1,2.1,1.9,2.0,0.0
21042020,75.1,2.0,2.2,2.2,2.05,2.1,5.0
22042020,85.76,2.1,2.3,2.3,2.0,2.0,-4.76
23042020,35.51,2.0,2.1,2.2,1.9,2.1,5.0
24042020,69.24,2.1,1.95,2.1,1.95,1.95,-7.14
27042020,88.92,1.95,2.0,2.0,1.9,2.0,2.56
