Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
31012024,88.89,197.5,197.5,197.5,190.15,192.25,-2.66
01022024,100.0,192.25,192.9,192.9,192.0,192.0,-0.13
02022024,81.62,192.0,192.0,201.0,182.95,195.9,2.03
05022024,66.0,195.9,195.95,205.0,186.5,190.0,-3.01
06022024,98.0,190.0,189.95,190.0,181.0,181.0,-4.74
07022024,100.0,181.0,181.4,181.5,181.0,181.5,0.28
08022024,100.0,181.5,181.5,181.5,181.5,181.5,0.0
09022024,100.0,181.5,181.5,181.5,181.0,181.0,-0.28
12022024,100.0,181.0,181.0,181.0,181.0,181.0,0.0
13022024,100.0,181.0,181.0,181.0,180.0,180.0,-0.55
14022024,100.0,180.0,179.95,180.0,179.95,180.0,0.0
15022024,100.0,180.0,176.4,186.0,171.0,180.0,0.0
16022024,100.0,180.0,176.4,180.0,171.0,171.45,-4.75
19022024,96.67,171.45,174.9,178.0,164.45,178.0,3.82
20022024,100.0,178.0,178.0,182.0,178.0,182.0,2.25
21022024,100.0,182.0,185.65,191.1,185.65,191.1,5.0
22022024,98.06,191.1,200.0,200.65,192.6,200.65,5.0
23022024,100.0,200.65,210.65,210.65,210.65,210.65,4.98
26022024,98.92,210.65,221.15,221.15,210.0,220.25,4.56
27022024,78.47,220.25,215.0,231.25,211.4,231.25,4.99
28022024,85.24,231.25,242.8,242.8,219.7,229.25,-0.86
29022024,59.0,229.25,240.7,240.7,229.25,240.7,4.99
01032024,91.44,240.7,252.7,252.7,245.0,252.7,4.99
04032024,87.17,265.3,278.55,278.55,278.55,278.55,4.99
05032024,100.0,278.55,292.45,292.45,292.45,292.45,4.99
06032024,100.0,292.45,307.05,307.05,307.05,307.05,4.99
07032024,78.98,307.05,322.4,322.4,314.8,322.4,5.0
08032024,78.98,307.05,322.4,322.4,314.8,322.4,5.0
11032024,86.78,322.4,338.5,338.5,338.5,338.5,4.99
12032024,95.12,338.5,355.4,355.4,321.6,348.4,2.92
13032024,94.79,348.4,336.1,336.1,331.0,331.0,-4.99
14032024,100.0,331.0,314.45,314.45,314.45,314.45,-5.0
15032024,100.0,314.45,298.75,298.75,298.75,298.75,-4.99
18032024,95.92,298.75,283.85,313.65,283.85,312.75,4.69
19032024,84.04,312.75,328.35,328.35,313.05,328.35,4.99
