Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
19042021,60.11,486.0,436.0,478.0,422.6,465.25,-4.27
20042021,41.71,465.25,468.0,513.85,457.35,503.1,8.14
21042021,41.71,465.25,468.0,513.85,457.35,503.1,8.14
22042021,39.08,503.1,498.0,542.75,491.6,523.75,4.1
23042021,44.8,523.75,522.8,536.9,517.7,530.7,1.33
26042021,34.72,530.7,532.0,586.0,532.0,580.1,9.31
27042021,34.24,580.1,576.0,612.75,571.05,604.4,4.19
28042021,19.72,604.4,604.8,620.0,596.2,615.65,1.86
29042021,64.2,615.65,618.75,619.0,581.15,601.65,-2.27
30042021,40.11,601.65,592.0,621.9,588.1,593.7,-1.32
03052021,46.76,593.7,590.0,605.0,570.2,599.3,0.94
04052021,53.63,599.3,601.25,608.0,582.7,597.7,-0.27
05052021,45.91,597.7,591.0,612.0,587.5,606.0,1.39
06052021,51.26,606.0,606.0,612.25,595.55,601.95,-0.67
07052021,50.72,601.95,603.0,638.0,603.0,631.75,4.95
10052021,34.8,631.75,630.0,758.1,629.85,691.75,9.5
11052021,33.35,691.75,684.8,702.7,675.15,691.7,-0.01
12052021,38.72,691.7,700.0,710.25,634.95,646.65,-6.51
13052021,38.72,691.7,700.0,710.25,634.95,646.65,-6.51
14052021,42.4,646.65,664.9,671.45,614.5,647.9,0.19
17052021,67.26,647.9,648.0,657.0,627.6,647.4,-0.08
18052021,42.19,647.4,647.85,647.85,614.5,632.85,-2.25
19052021,50.01,632.85,623.5,642.0,623.5,634.3,0.23
20052021,58.51,634.3,634.3,645.15,616.05,628.55,-0.91
21052021,56.28,628.55,636.9,656.9,628.5,644.35,2.51
24052021,60.03,644.35,648.95,652.0,638.0,644.2,-0.02
25052021,82.82,644.2,643.0,650.0,628.0,632.65,-1.79
26052021,74.07,632.65,620.0,629.7,618.0,625.1,-1.19
27052021,69.15,625.1,620.15,625.0,610.0,614.95,-1.62
28052021,63.42,614.95,616.0,643.0,615.0,635.15,3.28
31052021,57.26,635.15,634.85,641.5,621.95,631.15,-0.63
01062021,82.66,631.15,636.0,636.8,618.05,626.3,-0.77
02062021,58.81,626.3,630.0,637.7,617.0,618.0,-1.33
03062021,64.82,618.0,620.55,635.95,619.3,622.7,0.76
04062021,51.36,622.7,628.0,634.0,621.0,627.7,0.8
07062021,56.17,627.7,633.7,689.0,631.55,670.05,6.75
08062021,46.26,670.05,663.0,710.0,663.0,690.75,3.09
09062021,44.11,690.75,696.0,702.65,651.55,666.2,-3.55
10062021,44.03,666.2,669.75,700.4,666.3,694.25,4.21
11062021,43.94,694.25,694.0,699.15,661.45,672.9,-3.08
14062021,41.25,672.9,670.25,705.0,651.8,685.1,1.81
15062021,51.4,685.1,691.75,715.0,690.0,708.85,3.47
16062021,48.16,708.85,710.0,718.05,674.0,681.8,-3.82
17062021,43.99,681.8,678.9,693.0,662.0,670.65,-1.64
18062021,42.86,670.65,675.8,686.2,632.1,681.0,1.54
21062021,53.44,681.0,675.0,708.0,666.8,704.05,3.38
22062021,46.59,704.05,708.0,713.1,696.0,699.8,-0.6
23062021,45.46,699.8,702.7,704.55,680.0,682.05,-2.54
24062021,28.98,682.05,681.0,697.0,676.1,688.0,0.87
25062021,36.63,688.0,687.0,687.75,673.05,676.25,-1.71
28062021,58.32,676.25,674.0,693.0,672.05,687.25,1.63
29062021,34.27,687.25,688.0,689.5,673.0,675.65,-1.69
30062021,39.93,675.65,692.6,704.4,680.0,683.65,1.18
01072021,41.16,683.65,689.75,694.85,678.0,681.55,-0.31
02072021,40.19,681.55,687.75,687.75,668.5,676.2,-0.78
05072021,34.6,676.2,684.9,688.0,665.35,670.95,-0.78
06072021,59.51,670.95,673.0,676.75,645.0,650.85,-3.0
07072021,44.23,650.85,655.0,672.45,655.0,664.25,2.06
08072021,48.77,664.25,671.9,702.0,668.05,687.85,3.55
09072021,31.83,687.85,684.25,789.0,677.05,772.65,12.33
12072021,38.28,772.65,790.0,815.8,775.65,790.45,2.3
13072021,36.13,790.45,798.0,798.0,769.65,778.35,-1.53
14072021,39.54,778.35,775.05,826.95,775.05,791.1,1.64
15072021,41.31,791.1,790.15,839.0,772.0,829.45,4.85
16072021,33.03,829.45,837.1,872.5,825.25,852.6,2.79
19072021,41.52,852.6,824.0,847.7,821.0,831.8,-2.44
20072021,34.35,831.8,831.5,835.55,788.0,793.2,-4.64
21072021,34.35,831.8,831.5,835.55,788.0,793.2,-4.64
22072021,35.19,793.2,805.9,867.0,801.95,856.25,7.95
23072021,23.72,856.25,849.0,853.95,831.1,844.85,-1.33
26072021,49.36,844.85,841.95,854.8,832.2,843.45,-0.17
27072021,44.29,843.45,847.7,885.0,835.95,877.0,3.98
28072021,47.0,877.0,879.0,879.0,816.05,853.15,-2.72
29072021,35.01,853.15,860.0,885.35,851.0,855.8,0.31
30072021,41.36,855.8,856.0,865.0,841.45,853.8,-0.23
02082021,48.29,853.8,860.0,928.1,852.8,918.85,7.62
03082021,50.23,918.85,925.0,944.9,913.6,921.45,0.28
04082021,46.37,921.45,920.9,929.45,876.0,883.0,-4.17
05082021,34.55,883.0,884.7,886.55,835.2,868.0,-1.7
06082021,54.32,868.0,874.0,884.9,862.0,874.1,0.7
09082021,72.09,874.1,879.15,884.7,850.3,858.45,-1.79
10082021,53.88,858.45,855.4,866.5,787.0,804.55,-6.28
11082021,36.11,804.55,810.3,845.9,761.35,835.7,3.87
12082021,47.47,835.7,840.0,869.9,825.45,852.15,1.97
13082021,44.98,852.15,857.5,877.4,839.45,871.6,2.28
16082021,47.74,871.6,870.0,883.0,855.0,870.05,-0.18
17082021,44.11,870.05,870.05,870.05,842.35,850.85,-2.21
18082021,45.9,850.85,849.85,877.0,837.7,861.35,1.23
19082021,45.9,850.85,849.85,877.0,837.7,861.35,1.23
20082021,43.65,861.35,846.05,882.25,845.0,852.85,-0.99
23082021,40.42,852.85,853.0,869.7,801.0,809.6,-5.07
24082021,41.94,809.6,807.95,846.1,806.05,839.7,3.72
25082021,36.84,839.7,848.95,859.0,844.15,851.35,1.39
26082021,48.71,851.35,853.8,880.0,847.85,866.65,1.8
27082021,41.92,866.65,871.95,906.95,871.95,891.3,2.84
30082021,43.05,891.3,890.0,947.3,890.0,933.8,4.77
31082021,47.54,933.8,938.8,973.25,922.25,958.5,2.65
01092021,22.22,958.5,968.9,1025.0,965.0,994.4,3.75
02092021,37.69,994.4,989.85,1050.0,986.3,1038.0,4.38
03092021,32.98,1038.0,1049.0,1100.0,1042.0,1088.55,4.87
06092021,35.95,1088.55,1089.5,1102.0,1046.4,1089.15,0.06
07092021,43.16,1089.15,1084.0,1085.0,1016.0,1028.1,-5.61
08092021,41.07,1028.1,1040.0,1056.0,1025.5,1052.45,2.37
09092021,32.85,1052.45,1045.0,1060.2,1026.1,1035.85,-1.58
10092021,32.85,1052.45,1045.0,1060.2,1026.1,1035.85,-1.58
13092021,39.52,1035.85,1043.95,1073.4,1040.4,1062.75,2.6
14092021,65.27,1062.75,1069.9,1069.9,1045.0,1048.6,-1.33
15092021,56.61,1048.6,1050.0,1058.0,1008.0,1021.65,-2.57
16092021,70.13,1021.65,1031.9,1039.9,999.0,1014.9,-0.66
17092021,71.41,1014.9,1005.0,1042.7,990.0,1005.3,-0.95
20092021,51.11,1005.3,996.05,1024.0,971.05,982.75,-2.24
21092021,31.89,982.75,973.1,1025.0,936.15,1018.15,3.6
22092021,44.55,1018.15,1028.7,1074.5,1016.25,1054.8,3.6
23092021,35.82,1054.8,1074.0,1152.0,1056.55,1106.45,4.9
24092021,44.71,1106.45,1115.7,1122.0,1033.0,1062.0,-4.02
27092021,37.17,1062.0,1071.0,1107.0,1058.0,1101.9,3.76
28092021,50.12,1101.9,1103.95,1103.95,1043.0,1053.15,-4.42
29092021,50.57,1053.15,1048.0,1084.0,1040.0,1069.6,1.56
30092021,51.02,1069.6,1074.9,1079.0,1052.55,1057.5,-1.13
01102021,43.05,1057.5,1061.0,1074.0,1050.55,1055.15,-0.22
04102021,50.2,1055.15,1087.8,1099.8,1050.55,1059.1,0.37
05102021,80.1,1059.1,1060.0,1099.7,1038.0,1082.35,2.2
06102021,61.64,1082.35,1095.15,1100.0,1050.0,1052.7,-2.74
07102021,53.0,1052.7,1095.0,1145.0,1072.65,1123.05,6.68
08102021,49.92,1123.05,1144.0,1182.15,1115.6,1163.7,3.62
11102021,29.11,1163.7,1180.0,1210.0,1170.0,1189.75,2.24
12102021,63.34,1189.75,1194.2,1202.0,1162.8,1193.6,0.32
13102021,66.61,1193.6,1187.0,1195.0,1167.2,1180.6,-1.09
14102021,32.03,1180.6,1189.8,1225.0,1178.6,1197.1,1.4
15102021,32.03,1180.6,1189.8,1225.0,1178.6,1197.1,1.4
18102021,44.9,1197.1,1204.8,1217.3,1176.05,1184.1,-1.09
19102021,57.55,1184.1,1195.0,1203.0,1091.2,1106.05,-6.59
20102021,47.28,1106.05,1113.1,1133.0,1031.05,1051.8,-4.9
21102021,42.35,1051.8,1059.0,1089.95,1001.0,1027.15,-2.34
22102021,37.12,1027.15,1059.0,1083.0,1030.25,1052.25,2.44
25102021,53.64,1052.25,1056.9,1060.0,950.0,967.05,-8.1
26102021,56.78,967.05,960.0,1070.0,955.05,1058.65,9.47
27102021,57.32,1058.65,1063.0,1107.55,1048.85,1070.95,1.16
28102021,32.97,1070.95,1077.5,1081.2,1035.0,1046.65,-2.27
29102021,53.59,1046.65,1045.0,1097.55,1010.2,1064.2,1.68
01112021,56.34,1064.2,1049.8,1159.8,1046.5,1150.05,8.07
02112021,21.36,1150.05,1148.0,1190.0,1123.0,1178.1,2.44
03112021,27.87,1178.1,1181.75,1198.6,1100.35,1181.9,0.32
04112021,27.87,1178.1,1181.75,1198.6,1100.35,1181.9,0.32
05112021,43.88,1181.9,1193.8,1193.8,1154.2,1169.95,-1.01
08112021,48.56,1169.95,1170.0,1176.95,1143.0,1153.25,-1.43
09112021,38.0,1153.25,1165.8,1220.0,1160.65,1183.7,2.64
10112021,46.62,1183.7,1178.0,1240.0,1165.85,1233.6,4.22
11112021,74.03,1233.6,1253.0,1266.0,1215.0,1236.35,0.22
12112021,71.17,1236.35,1235.0,1275.0,1218.15,1253.6,1.4
15112021,63.74,1253.6,1274.0,1306.7,1257.85,1284.6,2.47
16112021,43.64,1284.6,1290.0,1458.65,1285.0,1416.45,10.26
17112021,48.3,1416.45,1409.9,1462.0,1392.6,1428.8,0.87
18112021,74.6,1428.8,1398.0,1400.0,1349.0,1376.65,-3.65
19112021,74.6,1428.8,1398.0,1400.0,1349.0,1376.65,-3.65
22112021,75.61,1376.65,1393.9,1481.8,1360.0,1375.05,-0.12
23112021,64.9,1375.05,1376.9,1380.65,1332.1,1357.65,-1.27
24112021,83.01,1357.65,1364.45,1397.25,1350.0,1391.1,2.46
25112021,52.74,1391.1,1405.8,1440.9,1391.15,1414.25,1.66
26112021,76.89,1414.25,1408.0,1408.0,1331.0,1359.45,-3.87
29112021,50.82,1359.45,1313.1,1480.0,1164.0,1405.8,3.41
30112021,61.75,1405.8,1440.0,1518.0,1355.0,1417.8,0.85
01122021,70.74,1417.8,1414.3,1539.0,1391.65,1490.4,5.12
02122021,59.54,1490.4,1507.45,1507.45,1425.0,1434.5,-3.75
03122021,47.39,1434.5,1448.6,1464.0,1404.85,1429.35,-0.36
06122021,53.6,1429.35,1437.7,1454.95,1413.9,1432.7,0.23
07122021,68.57,1432.7,1450.0,1461.45,1426.0,1430.0,-0.19
08122021,59.23,1430.0,1440.0,1469.0,1425.0,1441.15,0.78
09122021,70.76,1441.15,1455.75,1460.0,1428.0,1437.35,-0.26
10122021,69.81,1437.35,1449.0,1450.05,1400.0,1408.8,-1.99
13122021,58.41,1408.8,1423.7,1427.6,1360.25,1371.05,-2.68
14122021,49.81,1371.05,1379.0,1379.8,1261.4,1305.95,-4.75
15122021,60.47,1305.95,1307.95,1309.0,1262.4,1278.15,-2.13
16122021,55.8,1278.15,1265.35,1340.35,1252.4,1262.9,-1.19
17122021,74.52,1262.9,1274.95,1283.25,1162.4,1184.15,-6.24
20122021,54.35,1184.15,1130.0,1145.85,1062.25,1075.0,-9.22
