Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,98.33,4.55,4.4,4.65,4.35,4.35,-4.4
03102019,79.21,4.35,4.15,4.55,4.15,4.4,1.15
04102019,78.49,4.4,4.55,4.6,4.2,4.2,-4.55
07102019,78.59,4.2,4.4,4.4,4.05,4.35,3.57
08102019,78.59,4.2,4.4,4.4,4.05,4.35,3.57
09102019,98.48,4.35,4.5,4.5,4.3,4.3,-1.15
10102019,91.47,4.3,4.5,4.5,4.1,4.15,-3.49
11102019,95.4,4.15,4.55,4.55,3.95,4.25,2.41
14102019,95.44,4.25,4.25,4.4,4.05,4.2,-1.18
15102019,83.76,4.2,3.9,4.55,3.9,4.3,2.38
16102019,97.01,4.3,4.6,4.6,4.2,4.3,0.0
17102019,70.47,4.3,4.4,4.4,4.1,4.2,-2.33
18102019,96.21,4.2,4.5,4.5,4.1,4.2,0.0
21102019,96.21,4.2,4.5,4.5,4.1,4.2,0.0
22102019,90.71,4.2,4.6,4.6,4.05,4.35,3.57
23102019,96.22,4.35,4.05,4.4,4.05,4.3,-1.15
24102019,92.37,4.3,4.5,4.5,4.0,4.25,-1.16
25102019,98.85,4.25,4.25,4.25,3.9,4.15,-2.35
28102019,95.21,4.15,4.5,4.5,4.0,4.25,2.41
29102019,69.84,4.25,4.05,4.35,3.95,4.2,-1.18
30102019,69.59,4.2,4.4,4.4,4.0,4.25,1.19
31102019,81.62,4.25,4.25,4.35,4.05,4.25,0.0
01112019,78.12,4.25,4.25,4.5,4.15,4.35,2.35
04112019,95.34,4.35,4.35,4.7,4.05,4.25,-2.3
05112019,65.13,4.25,4.4,4.4,4.15,4.2,-1.18
06112019,60.21,4.2,4.3,4.4,4.05,4.25,1.19
07112019,69.94,4.25,4.4,4.5,4.2,4.4,3.53
08112019,68.67,4.4,4.75,4.75,4.2,4.45,1.14
11112019,63.86,4.45,4.15,4.8,4.15,4.45,0.0
12112019,63.86,4.45,4.15,4.8,4.15,4.45,0.0
13112019,84.29,4.45,4.65,4.85,4.15,4.45,0.0
14112019,90.82,4.45,4.4,4.5,4.05,4.25,-4.49
15112019,83.62,4.25,4.2,4.2,3.85,3.95,-7.06
18112019,100.0,3.95,4.15,4.15,3.8,3.85,-2.53
19112019,99.7,3.85,3.85,4.0,3.85,3.95,2.6
20112019,84.75,3.95,4.1,4.3,3.85,4.0,1.27
21112019,69.61,4.0,4.3,4.3,3.75,3.9,-2.5
22112019,26.59,3.9,3.6,4.25,3.6,4.1,5.13
25112019,66.25,4.1,4.0,4.5,3.9,4.05,-1.22
26112019,76.79,4.05,4.05,4.35,3.9,4.1,1.23
27112019,90.48,4.1,4.1,4.4,3.95,4.15,1.22
28112019,84.39,4.15,4.45,4.45,4.0,4.1,-1.2
29112019,98.88,4.1,4.1,4.35,4.05,4.15,1.22
02122019,94.42,4.15,4.15,4.4,4.05,4.05,-2.41
03122019,82.91,4.05,4.05,4.35,4.0,4.2,3.7
04122019,67.69,4.2,4.05,4.2,3.85,4.05,-3.57
05122019,58.95,4.05,4.4,4.4,3.9,4.2,3.7
06122019,60.71,4.2,4.25,4.4,3.9,4.05,-3.57
09122019,68.87,4.05,3.9,4.25,3.35,3.85,-4.94
10122019,82.31,3.85,3.95,4.15,3.65,4.0,3.9
11122019,88.59,4.0,4.15,4.15,3.75,3.85,-3.75
