Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,20.29,547.15,551.0,566.1,536.6,556.7,1.75
03102019,22.53,556.7,558.0,564.95,547.1,562.7,1.08
04102019,27.39,562.7,565.05,575.0,555.45,564.25,0.28
07102019,15.7,564.25,561.1,562.9,546.5,552.95,-2.0
08102019,15.7,564.25,561.1,562.9,546.5,552.95,-2.0
09102019,32.9,552.95,556.0,578.8,550.95,576.55,4.27
10102019,16.27,576.55,576.0,576.0,559.25,566.05,-1.82
11102019,32.67,566.05,568.55,574.3,554.1,560.1,-1.05
14102019,27.2,560.1,562.9,572.35,554.55,568.65,1.53
15102019,28.98,568.65,568.0,586.55,565.2,583.4,2.59
16102019,21.91,583.4,582.5,586.9,575.35,584.25,0.15
17102019,38.1,584.25,581.1,596.35,578.75,593.3,1.55
18102019,32.61,593.3,589.0,595.5,583.6,593.3,0.0
21102019,32.61,593.3,589.0,595.5,583.6,593.3,0.0
22102019,40.51,593.3,593.4,601.2,587.45,595.8,0.42
23102019,44.25,595.8,596.9,599.65,587.15,591.85,-0.66
24102019,29.74,591.85,592.0,595.5,578.6,581.05,-1.82
25102019,31.52,581.05,585.7,585.7,570.25,577.7,-0.58
28102019,18.19,577.7,584.45,595.0,580.0,591.5,2.39
29102019,43.4,591.5,595.45,618.0,592.5,611.8,3.43
30102019,50.39,611.8,617.2,619.9,605.0,616.55,0.78
31102019,48.47,616.55,617.6,621.65,603.75,606.45,-1.64
01112019,45.56,606.45,609.0,609.75,581.0,589.75,-2.75
04112019,37.36,589.75,591.0,594.55,581.9,586.4,-0.57
05112019,36.72,586.4,583.3,590.6,577.1,580.15,-1.07
06112019,25.7,580.15,590.25,590.3,577.1,579.8,-0.06
07112019,40.63,579.8,579.8,583.5,572.0,580.35,0.09
08112019,13.68,580.35,578.0,596.5,576.85,580.0,-0.06
11112019,24.73,580.0,581.7,586.95,570.0,575.0,-0.86
12112019,24.73,580.0,581.7,586.95,570.0,575.0,-0.86
13112019,47.12,575.0,574.0,580.9,572.0,574.7,-0.05
14112019,38.83,574.7,575.2,579.65,567.75,578.45,0.65
15112019,39.31,578.45,583.75,590.85,579.75,583.05,0.8
18112019,55.33,583.05,580.1,582.6,571.8,573.7,-1.6
19112019,46.57,573.7,573.75,575.0,559.65,560.65,-2.27
20112019,33.61,560.65,562.25,568.45,557.5,560.45,-0.04
21112019,51.08,560.45,560.5,562.65,550.2,551.8,-1.54
22112019,37.17,551.8,554.75,555.0,539.2,546.0,-1.05
25112019,45.02,546.0,547.5,552.85,546.25,547.8,0.33
26112019,64.92,547.8,550.0,552.9,536.95,538.6,-1.68
27112019,35.38,538.6,542.0,554.5,535.0,539.95,0.25
28112019,32.21,539.95,541.9,543.3,536.25,541.95,0.37
