Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
05082026,62.66,590.0,652.0,675.8,635.0,666.95,13.04
06082026,45.68,666.95,657.55,663.9,625.45,650.5,-2.47
07082026,34.77,650.5,651.35,691.8,650.0,677.95,4.22
10082026,44.23,677.95,676.0,693.4,666.0,686.35,1.24
11082026,47.21,686.35,688.6,717.0,681.2,701.45,2.2
12082026,59.63,701.45,701.45,708.35,685.15,692.45,-1.28
13082026,44.46,692.45,689.05,700.0,675.75,695.3,0.41
14082026,49.74,695.3,695.3,715.0,690.5,706.95,1.68
17082026,53.1,706.95,714.95,730.0,700.15,722.9,2.26
18082026,36.69,722.9,723.05,738.35,712.95,724.8,0.26
19082026,44.95,724.8,728.95,753.95,720.2,744.8,2.76
20082026,52.26,744.8,754.0,757.7,719.0,724.35,-2.75
21082026,32.51,724.35,708.05,728.0,699.0,715.3,-1.25
24082026,38.68,715.3,717.95,744.0,712.6,741.05,3.6
25082026,53.41,741.05,743.05,768.5,743.0,762.8,2.94
26082026,46.23,762.8,772.0,801.0,764.1,795.0,4.22
