Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
20042026,92.31,692.1,690.0,690.0,676.0,676.0,-2.33
21042026,100.0,676.0,710.0,710.0,685.0,685.0,1.33
22042026,98.48,685.0,690.0,690.0,670.0,679.25,-0.84
23042026,100.0,679.25,690.0,690.0,670.0,673.75,-0.81
24042026,100.0,673.75,687.95,690.0,687.95,690.0,2.41
27042026,97.24,690.0,740.0,740.0,660.0,689.6,-0.06
28042026,94.12,689.6,689.95,690.0,625.05,678.35,-1.63
29042026,100.0,678.35,690.0,690.0,685.0,685.0,0.98
30042026,96.0,685.0,730.0,730.0,654.3,682.35,-0.39
01052026,96.0,685.0,730.0,730.0,654.3,682.35,-0.39
04052026,86.49,682.35,779.95,779.95,665.05,685.1,0.4
05052026,100.0,685.1,690.0,690.0,665.0,685.0,-0.01
06052026,100.0,685.0,690.0,690.0,675.0,690.0,0.73
07052026,100.0,690.0,690.0,690.0,689.9,690.0,0.0
08052026,84.8,690.0,690.0,690.0,630.0,687.65,-0.34
11052026,76.3,687.65,700.0,709.25,635.0,669.75,-2.6
12052026,100.0,669.75,690.0,690.0,640.0,680.0,1.53
13052026,94.91,680.0,680.0,680.0,649.4,674.5,-0.81
14052026,100.0,674.5,679.1,690.0,677.0,681.35,1.02
15052026,75.84,681.35,700.0,700.0,591.0,673.1,-1.21
18052026,58.67,673.1,642.8,688.8,642.8,670.95,-0.32
19052026,100.0,670.95,690.0,690.0,672.0,672.0,0.16
20052026,78.73,672.0,689.8,689.8,620.0,663.7,-1.24
21052026,67.06,663.7,710.0,710.0,655.0,670.25,0.99
22052026,94.74,670.25,687.0,687.0,640.1,678.35,1.21
25052026,96.3,678.35,702.1,702.1,647.8,676.75,-0.24
26052026,100.0,676.75,690.0,709.0,673.0,702.05,3.74
27052026,98.81,702.05,710.0,710.0,685.1,695.7,-0.9
28052026,98.81,702.05,710.0,710.0,685.1,695.7,-0.9
29052026,79.08,695.7,725.0,725.0,653.95,682.05,-1.96
01062026,98.59,682.05,715.0,715.0,675.0,691.3,1.36
02062026,95.83,691.3,705.0,705.0,656.0,681.5,-1.42
03062026,97.78,681.5,710.0,710.0,650.05,690.2,1.28
04062026,74.11,690.2,719.5,719.5,654.95,682.45,-1.12
05062026,100.0,682.45,705.0,705.0,680.0,700.0,2.57
08062026,56.78,700.0,703.5,703.5,660.05,678.55,-3.06
09062026,71.11,678.55,702.0,702.0,580.0,690.95,1.83
10062026,95.19,690.95,714.9,714.9,662.05,690.1,-0.12
11062026,100.0,690.1,697.95,697.95,697.95,697.95,1.14
12062026,100.0,697.95,718.0,718.0,670.0,680.15,-2.55
15062026,98.9,680.15,676.75,704.0,665.0,669.1,-1.62
16062026,95.45,669.1,692.5,692.5,660.0,690.0,3.12
17062026,89.66,690.0,666.0,700.0,666.0,688.45,-0.22
18062026,100.0,688.45,705.0,705.0,670.0,690.0,0.23
19062026,100.0,690.0,705.0,705.0,705.0,705.0,2.17
22062026,100.0,705.0,685.0,699.0,670.0,692.6,-1.76
23062026,75.72,692.6,719.4,719.5,672.0,698.2,0.81
24062026,100.0,698.2,698.2,698.2,680.0,697.95,-0.04
25062026,93.31,697.95,666.5,719.3,640.0,700.7,0.39
26062026,93.31,697.95,666.5,719.3,640.0,700.7,0.39
29062026,98.23,700.7,715.0,715.0,670.0,690.0,-1.53
