Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
05022024,89.76,22.44,27.0,27.16,23.2,27.14,20.94
06022024,54.36,27.14,27.19,27.19,24.0,26.8,-1.25
07022024,100.0,26.8,26.8,26.8,26.8,26.8,0.0
12022024,99.49,26.8,23.2,27.16,23.2,27.15,1.31
13022024,100.0,27.15,27.12,27.12,27.1,27.1,-0.18
14022024,98.33,27.1,27.15,27.15,22.51,22.51,-16.94
15022024,60.49,22.51,22.51,27.0,21.6,26.14,16.13
16022024,99.4,26.14,26.79,27.14,25.9,27.13,3.79
19022024,68.68,27.13,27.13,27.19,25.1,25.85,-4.72
20022024,91.43,25.85,26.49,26.98,25.05,26.9,4.06
21022024,98.43,26.9,26.9,27.0,26.0,26.52,-1.41
22022024,98.77,26.52,27.18,27.18,27.07,27.07,2.07
23022024,76.18,27.07,27.3,27.3,25.0,25.01,-7.61
26022024,47.92,25.01,25.63,26.27,22.7,22.8,-8.84
27022024,30.17,22.8,23.37,24.0,22.75,23.0,0.88
28022024,81.4,23.0,23.49,23.49,22.51,22.61,-1.7
29022024,50.38,22.61,23.17,23.17,22.11,22.85,1.06
01032024,62.57,22.85,22.85,23.4,22.19,22.7,-0.66
04032024,58.12,23.21,23.4,23.4,22.61,22.84,-1.59
05032024,55.46,22.84,23.39,23.39,22.52,22.74,-0.44
06032024,77.85,22.74,23.3,23.3,22.48,23.11,1.63
07032024,64.51,23.11,23.1,23.1,22.5,22.93,-0.78
08032024,64.51,23.11,23.1,23.1,22.5,22.93,-0.78
11032024,45.49,22.93,23.2,23.2,22.5,22.89,-0.17
12032024,65.15,22.89,23.19,23.19,22.56,22.96,0.31
13032024,60.92,22.96,23.19,23.19,22.51,22.63,-1.44
14032024,83.4,22.63,23.19,23.19,22.5,22.72,0.4
15032024,90.35,22.72,23.0,23.0,22.51,22.84,0.53
18032024,25.1,22.84,22.99,22.99,22.51,22.93,0.39
19032024,66.88,22.93,22.99,22.99,22.24,22.69,-1.05
20032024,66.92,22.69,22.6,22.74,22.51,22.57,-0.53
21032024,73.95,22.57,22.88,22.94,22.53,22.91,1.51
22032024,52.09,22.91,22.85,22.9,22.51,22.77,-0.61
25032024,52.09,22.91,22.85,22.9,22.51,22.77,-0.61
26032024,99.99,22.77,22.99,22.99,22.5,22.88,0.48
27032024,9.28,22.88,22.87,22.93,22.56,22.81,-0.31
28032024,14.12,22.81,22.99,23.34,22.55,23.14,1.45
29032024,14.12,22.81,22.99,23.34,22.55,23.14,1.45
01042024,19.15,23.14,23.14,23.32,22.68,23.01,-0.56
02042024,73.54,23.01,23.04,23.04,22.56,22.98,-0.13
03042024,76.12,22.98,22.9,23.18,22.56,22.83,-0.65
04042024,81.26,22.83,22.85,22.85,22.53,22.76,-0.31
05042024,79.91,22.76,22.77,23.18,22.75,23.05,1.27
08042024,96.97,23.05,23.4,23.4,22.75,22.91,-0.61
09042024,68.38,22.91,22.95,23.24,22.7,23.18,1.18
10042024,53.07,23.18,23.18,23.18,22.74,22.95,-0.99
11042024,53.07,23.18,23.18,23.18,22.74,22.95,-0.99
12042024,98.61,22.95,22.9,23.19,22.8,22.96,0.04
15042024,99.6,22.96,22.96,23.19,22.4,22.96,0.0
16042024,59.23,22.96,22.96,23.17,22.51,22.98,0.09
17042024,59.23,22.96,22.96,23.17,22.51,22.98,0.09
18042024,73.68,22.98,22.98,23.13,22.46,23.09,0.48
19042024,71.35,23.09,23.08,23.08,22.52,22.86,-1.0
22042024,68.11,22.86,22.9,22.99,22.51,22.97,0.48
23042024,67.51,22.97,23.0,23.14,22.55,23.04,0.3
24042024,90.27,23.04,22.95,23.0,22.64,22.98,-0.26
25042024,73.13,22.98,22.75,23.14,22.6,22.71,-1.17
26042024,78.86,22.71,22.73,23.0,22.73,22.98,1.19
29042024,47.24,22.98,23.1,23.16,22.1,22.78,-0.87
30042024,71.71,22.78,23.05,23.2,22.6,22.92,0.61
01052024,71.71,22.78,23.05,23.2,22.6,22.92,0.61
02052024,93.48,22.92,22.65,23.05,22.65,23.04,0.52
03052024,50.0,23.04,22.99,22.99,22.99,22.99,-0.22
06052024,90.23,22.99,22.7,23.35,22.65,23.09,0.43
07052024,83.24,23.09,23.3,23.3,22.75,22.75,-1.47
08052024,97.88,22.75,22.75,23.18,22.75,23.01,1.14
09052024,64.33,23.01,22.99,23.01,22.78,22.99,-0.09
10052024,73.97,22.99,22.99,22.99,22.76,22.96,-0.13
13052024,64.84,22.96,23.15,23.15,22.76,22.86,-0.44
14052024,100.0,22.86,23.17,23.17,23.0,23.06,0.87
15052024,100.0,23.06,22.75,23.06,22.75,22.99,-0.3
16052024,68.77,22.99,22.99,23.06,22.76,23.04,0.22
17052024,87.07,23.04,23.04,23.2,22.75,23.14,0.43
20052024,12.45,23.14,23.19,23.25,22.78,23.21,0.3
21052024,11.66,23.21,23.02,23.21,22.76,23.19,-0.09
22052024,95.4,23.19,23.19,23.19,22.77,23.05,-0.6
23052024,85.99,23.05,23.05,23.39,22.75,23.0,-0.22
24052024,61.94,23.0,23.0,23.37,22.76,23.16,0.7
27052024,59.64,23.16,23.39,23.39,22.76,23.27,0.47
28052024,81.38,23.27,23.25,23.26,22.8,23.23,-0.17
29052024,89.05,23.23,23.23,23.23,22.76,23.1,-0.56
30052024,99.82,23.1,23.09,23.39,22.8,22.82,-1.21
31052024,80.2,22.82,23.0,23.0,22.84,22.85,0.13
03062024,53.97,22.85,23.42,23.42,22.8,22.81,-0.18
04062024,89.6,22.81,23.22,23.49,22.8,23.14,1.45
05062024,51.64,23.14,22.85,23.38,22.81,22.86,-1.21
06062024,68.99,22.86,22.86,23.36,22.83,23.25,1.71
07062024,74.39,23.25,23.0,23.26,22.81,23.08,-0.73
10062024,55.26,23.08,23.28,23.28,22.81,23.05,-0.13
11062024,98.26,23.05,23.0,23.27,22.81,23.1,0.22
12062024,98.64,23.1,23.1,23.28,23.0,23.27,0.74
13062024,68.86,23.27,23.4,23.4,22.83,23.15,-0.52
14062024,57.99,23.15,23.0,23.39,22.91,23.27,0.52
17062024,57.99,23.15,23.0,23.39,22.91,23.27,0.52
18062024,71.3,23.27,23.4,23.4,22.95,23.21,-0.26
19062024,87.9,23.21,23.12,23.34,23.08,23.16,-0.22
20062024,69.18,23.16,23.45,23.45,23.04,23.09,-0.3
24062024,86.99,23.09,23.39,23.39,23.09,23.36,1.17
25062024,77.77,23.36,23.36,23.49,23.12,23.37,0.04
26062024,91.25,23.37,23.37,23.37,23.11,23.16,-0.9
27062024,92.94,23.16,23.34,23.34,23.17,23.29,0.56
28062024,60.26,23.29,23.29,23.44,23.16,23.22,-0.3
01072024,85.46,23.22,23.23,23.28,23.12,23.22,0.0
02072024,98.45,23.22,23.39,23.45,23.23,23.32,0.43
03072024,29.02,23.32,23.56,23.56,23.17,23.36,0.17
04072024,88.79,23.36,23.36,23.96,23.15,23.2,-0.68
05072024,72.92,23.2,23.21,23.65,23.21,23.53,1.42
08072024,89.98,23.53,23.29,23.61,23.28,23.61,0.34
09072024,86.89,23.61,23.4,23.62,23.29,23.61,0.0
10072024,88.31,23.61,23.32,23.96,23.32,23.33,-1.19
11072024,97.17,23.33,23.69,23.92,23.34,23.64,1.33
12072024,97.72,23.64,23.64,23.64,23.39,23.44,-0.85
15072024,90.56,23.44,23.59,23.68,23.34,23.38,-0.26
16072024,84.97,23.38,23.81,23.81,23.31,23.73,1.5
17072024,84.97,23.38,23.81,23.81,23.31,23.73,1.5
