Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,90.25,317.4,322.5,323.85,318.25,319.4,0.63
03102019,88.25,319.4,320.8,323.6,315.55,319.4,0.0
04102019,89.53,319.4,319.6,323.5,314.75,318.5,-0.28
07102019,79.9,318.5,316.0,321.0,311.5,318.85,0.11
08102019,79.9,318.5,316.0,321.0,311.5,318.85,0.11
09102019,76.35,318.85,323.45,323.45,314.0,316.15,-0.85
10102019,69.69,316.15,313.0,316.7,308.85,312.55,-1.14
11102019,71.89,312.55,314.8,314.8,308.35,310.7,-0.59
14102019,74.95,310.7,310.95,313.65,306.05,311.95,0.4
15102019,79.01,311.95,312.05,313.95,310.5,311.4,-0.18
16102019,76.38,311.4,309.95,313.95,309.5,310.95,-0.14
17102019,61.81,310.95,308.0,312.0,306.75,310.85,-0.03
18102019,70.8,310.85,308.0,326.0,308.0,313.65,0.9
21102019,70.8,310.85,308.0,326.0,308.0,313.65,0.9
22102019,73.46,313.65,308.8,322.3,306.7,315.65,0.64
23102019,71.77,315.65,320.8,320.8,308.0,311.35,-1.36
24102019,63.88,311.35,314.7,322.9,302.7,304.3,-2.26
25102019,63.79,304.3,305.3,309.85,301.0,303.95,-0.12
28102019,69.31,303.95,299.0,309.85,299.0,306.0,0.67
29102019,63.25,306.0,306.0,309.65,302.0,304.4,-0.52
30102019,73.75,304.4,303.15,314.5,303.1,304.6,0.07
31102019,67.98,304.6,306.45,307.95,301.25,304.45,-0.05
01112019,58.36,304.45,308.25,308.25,302.45,303.55,-0.3
04112019,72.93,303.55,301.0,312.0,301.0,308.3,1.56
05112019,60.36,308.3,314.5,314.5,304.0,305.6,-0.88
06112019,79.32,305.6,305.6,306.95,302.2,303.85,-0.57
07112019,42.65,303.85,302.5,308.5,302.45,304.9,0.35
08112019,69.14,304.9,304.9,312.0,300.1,308.45,1.16
11112019,60.37,308.45,308.45,308.45,301.0,304.15,-1.39
12112019,60.37,308.45,308.45,308.45,301.0,304.15,-1.39
13112019,67.96,304.15,298.55,306.7,298.55,301.1,-1.0
14112019,91.0,301.1,299.05,302.0,298.05,299.65,-0.48
15112019,78.25,299.65,300.05,302.35,298.0,299.15,-0.17
18112019,73.26,299.15,299.2,307.95,299.2,302.1,0.99
19112019,76.34,302.1,302.15,307.15,298.3,301.15,-0.31
20112019,76.52,301.15,300.05,305.0,299.65,304.5,1.11
21112019,46.94,304.5,302.1,307.95,300.6,304.6,0.03
22112019,72.59,304.6,302.1,307.3,300.7,304.25,-0.11
25112019,58.86,304.25,305.0,305.55,300.7,302.3,-0.64
26112019,78.87,302.3,306.9,306.9,301.0,301.4,-0.3
27112019,52.83,301.4,306.1,306.1,301.0,303.3,0.63
28112019,79.45,303.3,300.4,305.15,300.4,303.15,-0.05
29112019,79.81,303.15,301.7,304.7,300.0,300.4,-0.91
02122019,62.51,300.4,301.25,303.6,298.0,300.7,0.1
03122019,76.24,300.7,299.05,300.0,293.05,293.8,-2.29
04122019,83.91,293.8,294.0,296.35,291.6,294.65,0.29
05122019,63.07,294.65,295.75,296.0,290.65,293.5,-0.39
06122019,67.1,293.5,291.15,295.2,288.75,291.2,-0.78
09122019,51.97,291.2,291.2,295.0,289.65,294.75,1.22
10122019,56.35,294.75,292.0,295.0,285.0,293.4,-0.46
11122019,55.22,293.4,292.0,293.95,287.35,289.7,-1.26
12122019,55.02,289.7,288.65,293.55,282.7,285.6,-1.42
13122019,46.71,285.6,292.0,293.55,285.7,288.6,1.05
