Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
19052023,69.68,22.65,22.9,23.0,22.25,22.5,-0.66
22052023,81.64,22.5,22.6,22.8,21.8,22.25,-1.11
23052023,74.09,22.25,22.1,22.65,22.1,22.25,0.0
24052023,80.83,22.25,22.05,22.45,22.05,22.2,-0.22
25052023,47.25,22.2,22.5,22.75,22.0,22.2,0.0
26052023,77.46,22.2,22.4,22.4,21.45,21.6,-2.7
29052023,72.02,21.6,21.55,21.8,20.15,21.45,-0.69
30052023,65.52,21.45,21.65,21.85,21.3,21.65,0.93
31052023,82.91,21.65,21.85,21.85,20.85,21.15,-2.31
01062023,71.87,21.15,21.05,21.55,21.05,21.25,0.47
02062023,66.63,21.25,21.3,21.75,21.3,21.45,0.94
05062023,82.06,21.45,21.75,22.0,21.3,21.55,0.47
06062023,57.32,21.55,21.55,21.7,21.1,21.5,-0.23
07062023,78.7,21.5,21.7,21.9,21.55,21.75,1.16
08062023,63.0,21.75,21.9,22.6,21.75,21.95,0.92
09062023,59.71,21.95,22.25,22.35,21.85,22.0,0.23
12062023,64.14,22.0,22.0,22.4,21.8,22.1,0.45
13062023,71.23,22.1,22.1,22.4,21.95,22.0,-0.45
14062023,73.83,22.0,22.25,22.35,21.65,21.85,-0.68
15062023,69.2,21.85,21.9,22.2,21.6,21.75,-0.46
16062023,78.13,21.75,21.95,22.25,21.8,22.05,1.38
19062023,77.45,22.05,22.1,22.25,21.9,22.05,0.0
20062023,73.15,22.05,22.2,22.35,21.85,22.0,-0.23
21062023,75.42,22.0,22.05,22.3,21.6,21.8,-0.91
22062023,77.1,21.8,22.0,22.0,21.6,21.65,-0.69
23062023,76.95,21.65,21.7,21.7,21.3,21.4,-1.15
26062023,71.13,21.4,21.4,22.8,21.35,22.0,2.8
27062023,62.98,22.0,22.2,22.45,21.65,21.8,-0.91
28062023,71.45,21.8,22.1,22.25,21.5,21.8,0.0
29062023,71.45,21.8,22.1,22.25,21.5,21.8,0.0
30062023,70.58,21.8,21.8,22.15,21.55,21.8,0.0
03072023,56.57,21.8,21.95,22.6,21.85,22.15,1.61
04072023,59.17,22.15,22.25,23.2,22.0,22.75,2.71
05072023,67.49,22.75,23.0,23.45,22.6,23.25,2.2
06072023,67.35,23.25,23.5,24.4,23.1,24.05,3.44
07072023,62.93,24.05,24.4,24.55,23.5,23.95,-0.42
10072023,70.38,23.95,24.3,24.45,23.75,23.9,-0.21
11072023,76.12,23.9,24.35,24.35,23.65,24.0,0.42
12072023,60.54,24.0,24.25,24.25,23.3,23.7,-1.25
13072023,68.03,23.7,23.95,24.1,23.25,23.6,-0.42
14072023,65.3,23.6,23.45,23.8,23.2,23.35,-1.06
17072023,58.92,23.35,23.75,23.85,23.2,23.3,-0.21
18072023,72.98,23.3,23.3,23.5,22.85,23.3,0.0
19072023,66.7,23.3,23.45,23.5,22.9,23.0,-1.29
20072023,83.83,23.0,23.4,23.4,22.85,22.95,-0.22
21072023,70.82,22.95,23.4,23.4,22.75,22.8,-0.65
24072023,65.24,22.8,23.25,23.25,22.7,22.9,0.44
25072023,66.18,22.9,23.4,23.5,22.85,22.9,0.0
26072023,71.1,22.9,23.3,23.3,22.6,22.9,0.0
27072023,65.71,22.9,23.3,23.4,22.9,23.1,0.87
28072023,58.08,23.1,23.4,24.3,22.95,23.5,1.73
31072023,55.72,23.5,23.95,23.95,23.45,23.65,0.64
01082023,56.6,23.65,23.65,24.25,23.6,23.85,0.85
02082023,61.31,23.85,23.85,24.1,22.85,23.1,-3.14
03082023,71.31,23.1,23.4,23.45,22.8,22.9,-0.87
04082023,45.91,22.9,23.15,23.5,22.75,23.1,0.87
07082023,72.71,23.1,23.45,23.5,22.85,22.95,-0.65
08082023,65.73,22.95,23.0,23.4,22.75,22.9,-0.22
09082023,56.11,22.9,23.0,23.2,22.75,22.95,0.22
10082023,66.02,22.95,22.6,24.3,22.6,23.85,3.92
11082023,54.28,23.85,24.2,26.0,23.7,24.85,4.19
14082023,61.44,24.85,24.95,25.35,24.25,25.1,1.01
16082023,53.69,25.1,25.1,25.7,24.8,25.45,1.39
17082023,50.52,25.45,25.5,28.3,25.0,26.55,4.32
18082023,59.66,26.55,26.8,28.8,26.6,28.4,6.97
21082023,47.17,28.4,29.1,30.15,28.55,29.7,4.58
22082023,52.98,29.7,29.9,29.95,27.4,27.65,-6.9
23082023,62.04,27.65,27.75,28.2,26.85,27.55,-0.36
24082023,60.83,27.55,27.65,28.75,27.05,27.45,-0.36
25082023,65.88,27.45,27.6,27.95,26.4,27.25,-0.73
28082023,76.4,27.25,27.6,27.65,26.3,26.5,-2.75
29082023,62.2,26.5,26.8,26.8,25.85,26.0,-1.89
30082023,57.63,26.0,26.25,26.65,25.8,26.35,1.35
31082023,61.95,26.35,26.8,27.35,26.0,26.4,0.19
01092023,60.78,26.4,26.2,27.45,26.2,26.8,1.52
04092023,71.25,26.8,26.95,27.25,25.6,25.8,-3.73
05092023,76.46,25.8,26.0,26.4,23.7,24.05,-6.78
06092023,62.06,24.05,24.4,24.9,23.35,23.55,-2.08
07092023,65.26,23.55,23.65,24.3,23.1,23.95,1.7
08092023,75.07,23.95,24.3,25.2,24.15,24.8,3.55
11092023,58.48,24.8,25.2,25.2,24.5,24.7,-0.4
12092023,56.43,24.7,24.9,24.9,23.35,23.65,-4.25
13092023,48.7,23.65,23.75,24.15,23.2,23.7,0.21
14092023,46.51,23.7,24.0,24.6,23.9,24.35,2.74
15092023,53.73,24.35,24.55,25.2,24.45,24.75,1.64
18092023,60.93,24.75,24.85,25.3,24.25,24.6,-0.61
19092023,60.93,24.75,24.85,25.3,24.25,24.6,-0.61
20092023,63.26,24.6,24.5,25.2,24.15,24.4,-0.81
21092023,53.01,24.4,24.6,24.8,23.9,24.05,-1.43
22092023,32.95,24.05,24.2,25.15,23.85,24.55,2.08
25092023,53.91,24.55,24.75,26.7,24.75,26.25,6.92
26092023,62.4,26.25,26.4,26.45,25.5,25.65,-2.29
27092023,47.45,25.65,25.75,25.85,25.2,25.45,-0.78
28092023,63.98,25.45,25.7,25.75,24.9,25.05,-1.57
29092023,54.96,25.05,25.1,25.4,24.6,24.8,-1.0
03102023,67.26,24.8,24.7,25.3,24.6,24.7,-0.4
04102023,70.77,24.7,24.55,25.0,24.4,24.65,-0.2
05102023,49.1,24.65,24.55,27.55,24.55,27.3,10.75
06102023,51.13,27.3,27.75,27.95,26.85,27.2,-0.37
09102023,45.3,27.2,26.5,28.85,26.25,27.15,-0.18
10102023,48.44,27.15,27.15,27.9,26.8,27.05,-0.37
11102023,30.62,27.05,30.05,30.05,27.05,27.4,1.29
12102023,58.0,27.4,27.4,27.65,27.0,27.15,-0.91
13102023,63.86,27.15,27.05,28.15,27.0,27.25,0.37
16102023,41.38,27.25,27.35,29.7,26.9,28.7,5.32
17102023,55.28,28.7,29.0,29.9,28.5,28.8,0.35
18102023,59.35,28.8,29.0,29.15,27.6,28.05,-2.6
