Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
19102021,50.0,55.0,57.75,57.75,57.75,57.75,5.0
21102021,100.0,57.75,60.6,60.6,60.6,60.6,4.94
22102021,100.0,60.6,63.6,63.6,63.6,63.6,4.95
25102021,100.0,63.6,66.75,66.75,66.75,66.75,4.95
28102021,100.0,66.75,70.05,70.05,70.05,70.05,4.94
29102021,100.0,70.05,73.55,73.55,73.55,73.55,5.0
02112021,100.0,73.55,77.2,77.2,77.2,77.2,4.96
05112021,100.0,77.2,81.05,81.05,81.05,81.05,4.99
08112021,100.0,81.05,85.1,85.1,85.1,85.1,5.0
09112021,100.0,85.1,89.35,89.35,89.35,89.35,4.99
11112021,100.0,89.35,93.8,93.8,93.8,93.8,4.98
12112021,100.0,93.8,98.45,98.45,98.45,98.45,4.96
15112021,100.0,98.45,103.35,103.35,103.35,103.35,4.98
16112021,100.0,103.35,108.5,108.5,108.5,108.5,4.98
17112021,100.0,108.5,113.9,113.9,113.9,113.9,4.98
18112021,99.8,113.9,119.55,119.55,119.55,119.55,4.96
19112021,99.8,113.9,119.55,119.55,119.55,119.55,4.96
22112021,100.0,119.55,125.5,125.5,125.5,125.5,4.98
23112021,99.97,125.5,131.75,131.75,131.75,131.75,4.98
24112021,100.0,131.75,138.3,138.3,138.3,138.3,4.97
25112021,100.0,138.3,145.2,145.2,145.2,145.2,4.99
26112021,100.0,145.2,152.45,152.45,152.45,152.45,4.99
29112021,46.24,152.45,160.05,160.05,144.85,160.05,4.99
30112021,82.69,160.05,168.05,168.05,168.05,168.05,5.0
01122021,80.38,168.05,176.45,176.45,175.0,176.45,5.0
04012022,95.99,125.75,125.75,125.75,119.5,119.5,-4.97
05012022,69.87,119.5,113.55,119.5,113.55,113.8,-4.77
06012022,55.87,113.8,108.5,119.45,108.5,119.45,4.96
07012022,99.84,119.45,122.95,125.4,122.95,125.4,4.98
10012022,61.54,125.4,126.05,131.65,120.05,131.65,4.98
11012022,59.82,131.65,138.0,138.2,132.2,135.8,3.15
12012022,64.66,135.8,135.8,139.9,129.05,129.05,-4.97
13012022,54.2,129.05,122.6,135.45,122.6,126.45,-2.01
14012022,54.01,126.45,126.45,132.75,120.55,128.65,1.74
17012022,81.4,128.65,127.0,135.05,127.0,134.2,4.31
18012022,58.95,134.2,140.0,140.0,127.5,130.55,-2.72
19012022,19.83,130.55,125.2,132.95,125.2,129.55,-0.77
20012022,78.68,129.55,127.0,136.0,126.95,128.8,-0.58
21012022,88.11,128.8,135.0,135.0,127.5,127.5,-1.01
24012022,74.13,127.5,121.2,127.05,121.15,121.15,-4.98
25012022,29.58,121.15,117.45,127.2,115.1,120.45,-0.58
27012022,48.48,120.45,120.45,123.1,114.45,117.95,-2.08
28012022,30.69,117.95,123.75,123.75,112.3,118.75,0.68
31012022,45.84,118.75,124.25,124.45,120.1,121.0,1.89
01022022,77.49,121.0,126.0,126.0,115.1,116.35,-3.84
02022022,49.2,116.35,118.7,122.15,115.2,120.25,3.35
03022022,22.67,120.25,118.0,123.15,115.0,117.3,-2.45
04022022,20.54,117.3,120.4,123.0,112.55,121.95,3.96
07022022,39.96,121.95,122.95,129.0,112.05,119.0,-2.42
08022022,14.07,119.0,116.0,129.0,115.15,122.0,2.52
09022022,66.61,122.0,118.3,128.0,110.0,116.9,-4.18
10022022,47.53,116.9,119.0,121.1,105.25,108.3,-7.36
11022022,46.89,108.3,105.05,119.1,103.1,119.1,9.97
14022022,36.67,119.1,129.0,129.0,108.05,118.35,-0.63
15022022,40.05,118.35,124.5,127.95,114.0,117.85,-0.42
16022022,43.27,117.85,115.5,125.0,115.0,115.35,-2.12
17022022,50.97,115.35,121.95,121.95,116.1,116.15,0.69
18022022,38.81,116.15,119.05,119.8,111.75,114.05,-1.81
21022022,83.73,114.05,110.8,114.0,109.05,111.7,-2.06
