Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
17082026,79.84,832.4,832.0,832.0,800.0,813.6,-2.26
18082026,76.75,813.6,821.0,821.0,784.05,804.75,-1.09
19082026,48.37,804.75,821.0,929.0,821.0,882.2,9.62
20082026,68.18,882.2,882.2,905.0,855.0,881.55,-0.07
21082026,50.91,881.55,864.25,882.4,841.65,864.45,-1.94
24082026,50.75,864.45,884.95,898.0,851.05,863.9,-0.06
25082026,54.4,863.9,863.25,880.0,850.95,854.0,-1.15
26082026,68.8,854.0,865.0,928.95,865.0,900.55,5.45
27082026,62.6,900.55,900.55,900.55,864.0,869.45,-3.45
28082026,63.69,869.45,875.0,907.4,870.05,893.95,2.82
31082026,51.54,893.95,890.0,904.0,870.1,882.95,-1.23
01092026,68.33,882.95,873.6,900.0,872.05,895.1,1.38
