Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
18112025,30.17,109.0,145.0,161.99,137.35,155.24,42.42
19112025,21.47,155.24,156.5,161.0,138.54,143.28,-7.7
20112025,8.5,143.28,140.76,151.75,121.22,141.93,-0.94
21112025,8.71,141.93,143.0,149.59,128.55,134.31,-5.37
24112025,8.72,134.31,133.0,135.64,127.05,129.52,-3.57
25112025,7.11,129.52,130.0,138.19,129.5,135.59,4.69
26112025,11.94,135.59,136.5,137.7,130.6,131.89,-2.73
27112025,17.16,131.89,132.0,133.39,125.0,126.99,-3.72
28112025,12.92,126.99,126.99,127.78,123.25,124.89,-1.65
01122025,7.45,124.89,125.97,144.2,123.3,134.69,7.85
02122025,6.15,134.69,134.75,138.44,132.6,136.76,1.54
03122025,14.51,136.76,136.21,139.0,130.51,134.94,-1.33
04122025,10.07,134.94,136.29,138.88,133.91,135.86,0.68
05122025,18.99,135.86,135.85,137.0,134.52,135.9,0.03
08122025,10.89,135.9,135.39,141.33,134.51,138.44,1.87
09122025,12.11,138.44,142.75,145.6,135.0,137.89,-0.4
10122025,16.09,137.89,137.0,137.84,129.37,131.83,-4.39
11122025,14.42,131.83,130.11,131.25,128.0,129.92,-1.45
12122025,18.63,129.92,130.5,137.16,129.5,135.99,4.67
15122025,23.47,135.99,134.59,137.47,129.5,132.06,-2.89
16122025,20.25,132.06,132.2,139.08,132.01,137.4,4.04
17122025,23.63,137.4,135.09,138.5,132.5,133.81,-2.61
18122025,28.28,133.81,134.6,135.2,129.47,130.88,-2.19
19122025,20.28,130.88,132.23,134.81,130.05,132.29,1.08
22122025,25.99,132.29,133.9,139.99,132.83,137.17,3.69
23122025,25.09,137.17,136.49,136.74,133.63,134.51,-1.94
24122025,33.97,134.51,134.5,134.5,131.92,132.45,-1.53
25122025,33.97,134.51,134.5,134.5,131.92,132.45,-1.53
26122025,24.3,132.45,133.1,133.75,130.74,131.78,-0.51
29122025,22.52,131.78,132.0,132.79,129.2,130.79,-0.75
30122025,32.08,130.79,131.39,131.82,127.88,129.39,-1.07
31122025,27.95,129.39,129.01,133.5,128.1,132.81,2.64
01012026,31.05,132.81,132.1,134.3,131.7,132.63,-0.14
02012026,26.61,132.63,132.5,136.08,130.51,131.12,-1.14
