Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
29052025,73.58,128.35,131.0,133.7,129.15,132.82,3.48
30052025,61.74,132.82,134.27,136.33,130.0,131.76,-0.8
02062025,66.96,131.76,131.49,131.49,126.0,126.53,-3.97
03062025,62.25,126.53,125.98,126.49,124.0,124.88,-1.3
04062025,60.76,124.88,125.0,126.75,119.0,121.78,-2.48
05062025,34.61,121.78,122.6,127.25,122.19,122.77,0.81
06062025,45.6,122.77,126.79,132.38,124.2,127.6,3.93
09062025,61.42,127.6,128.15,131.95,126.0,126.99,-0.48
10062025,60.28,126.99,128.81,128.81,125.46,126.31,-0.54
11062025,58.32,126.31,126.31,128.19,125.8,126.06,-0.2
12062025,57.59,126.06,125.3,126.83,123.6,124.52,-1.22
13062025,47.86,124.52,121.66,124.74,121.66,122.96,-1.25
16062025,46.93,122.96,121.01,122.44,115.26,119.3,-2.98
17062025,29.34,119.3,121.55,122.77,117.02,120.37,0.9
18062025,56.76,120.37,121.79,121.79,117.08,119.05,-1.1
19062025,12.33,119.05,118.46,129.05,109.85,117.1,-1.64
20062025,29.14,117.1,118.22,120.0,115.0,117.11,0.01
23062025,48.17,117.11,114.7,116.79,114.7,115.72,-1.19
24062025,54.47,115.72,115.72,117.48,113.5,114.24,-1.28
25062025,55.26,114.24,114.25,117.32,113.9,116.39,1.88
26062025,58.92,116.39,116.98,117.5,115.0,115.84,-0.47
27062025,31.56,115.84,115.85,125.0,115.71,120.82,4.3
30062025,55.94,120.82,123.0,123.0,108.73,109.18,-9.63
01072025,40.6,109.18,109.74,113.51,107.43,109.9,0.66
02072025,51.29,109.9,111.5,111.5,105.32,107.8,-1.91
03072025,42.35,107.8,107.8,109.5,106.42,108.18,0.35
04072025,53.33,108.18,109.49,109.6,107.0,108.22,0.04
07072025,56.84,108.22,108.06,108.93,106.2,106.88,-1.24
08072025,52.51,106.88,106.3,110.5,106.05,109.74,2.68
09072025,46.84,109.74,110.79,120.71,110.29,120.71,10.0
10072025,33.98,120.71,124.45,128.16,121.1,124.62,3.24
11072025,38.69,124.62,126.0,127.4,120.0,124.06,-0.45
14072025,32.86,124.06,128.49,135.9,125.01,131.15,5.71
15072025,31.32,131.15,137.0,144.26,136.2,143.33,9.29
16072025,45.65,143.33,144.26,145.88,136.16,136.46,-4.79
17072025,65.22,136.46,133.2,134.48,129.63,130.05,-4.7
18072025,54.9,130.05,130.0,136.55,127.45,136.55,5.0
21072025,56.99,136.55,137.0,143.37,135.35,138.95,1.76
22072025,42.74,138.95,136.11,137.67,132.0,133.54,-3.89
23072025,64.3,133.54,135.0,135.89,126.86,126.86,-5.0
24072025,100.0,126.86,120.51,120.51,120.51,120.51,-5.01
25072025,100.0,120.51,114.48,114.48,114.48,114.48,-5.0
28072025,28.29,114.48,108.75,113.13,108.75,108.75,-5.01
29072025,50.23,108.75,108.75,111.44,106.51,109.54,0.73
