Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
17122021,52.64,425.0,360.0,383.0,333.85,340.05,-19.99
20122021,36.08,340.05,320.0,359.8,313.15,335.15,-1.44
21122021,31.71,335.15,338.35,374.85,338.35,364.4,8.73
22122021,30.43,364.4,361.85,401.85,361.45,396.95,8.93
23122021,33.13,396.95,403.0,411.0,376.1,382.7,-3.59
24122021,35.9,382.7,380.25,381.85,361.3,371.7,-2.87
27122021,32.15,371.7,365.0,385.0,297.4,375.45,1.01
28122021,32.6,375.45,377.0,387.55,375.5,378.65,0.85
29122021,18.64,378.65,375.0,401.0,371.05,383.5,1.28
30122021,32.62,383.5,380.2,399.75,368.1,372.85,-2.78
31122021,32.97,372.85,375.0,383.75,370.75,372.35,-0.13
03012022,35.07,372.35,372.65,381.45,372.3,374.4,0.55
04012022,29.15,374.4,374.9,396.0,372.0,389.05,3.91
05012022,34.36,389.05,385.9,388.9,376.45,384.6,-1.14
06012022,39.61,384.6,378.0,388.0,375.4,379.8,-1.25
07012022,41.08,379.8,383.4,385.65,376.35,381.4,0.42
10012022,33.56,381.4,383.0,429.0,381.0,423.5,11.04
11012022,36.56,423.5,430.0,434.5,416.4,428.0,1.06
12012022,32.47,428.0,431.6,436.0,411.15,414.05,-3.26
13012022,37.17,414.05,416.9,447.0,412.0,443.3,7.06
14012022,28.52,443.3,438.3,503.3,431.1,475.95,7.37
17012022,25.5,475.95,472.0,503.0,472.0,493.9,3.77
18012022,23.71,493.9,496.0,525.0,485.2,515.2,4.31
19012022,35.56,515.2,508.0,511.6,482.7,488.1,-5.26
20012022,39.75,488.1,486.95,489.6,462.0,465.9,-4.55
21012022,33.53,465.9,466.1,475.0,418.5,431.75,-7.33
24012022,48.71,431.75,430.0,434.25,385.75,401.2,-7.08
25012022,42.21,401.2,397.95,397.95,367.55,374.9,-6.56
27012022,40.41,374.9,366.0,377.9,355.5,365.45,-2.52
28012022,46.19,365.45,368.35,385.0,360.0,372.7,1.98
31012022,46.24,372.7,375.1,389.1,368.0,371.9,-0.21
01022022,48.63,371.9,374.9,392.0,374.9,389.7,4.79
02022022,47.74,389.7,393.0,404.8,390.5,395.95,1.6
03022022,50.77,395.95,392.0,395.0,382.25,391.25,-1.19
04022022,53.98,391.25,385.0,389.75,380.1,382.2,-2.31
07022022,49.14,382.2,382.35,388.35,369.0,379.55,-0.69
08022022,53.72,379.55,384.8,385.55,363.15,365.85,-3.61
09022022,48.57,365.85,369.0,390.0,364.75,383.65,4.87
10022022,34.91,383.65,383.65,386.7,375.55,379.95,-0.96
11022022,34.28,379.95,376.2,381.0,370.0,373.75,-1.63
14022022,46.65,373.75,363.4,369.55,339.0,341.75,-8.56
15022022,46.27,341.75,345.0,353.8,326.95,349.7,2.33
16022022,38.85,349.7,353.7,356.4,338.0,341.0,-2.49
17022022,37.03,341.0,342.0,370.2,338.15,361.75,6.09
18022022,28.98,361.75,359.0,371.65,353.0,355.5,-1.73
21022022,64.91,355.5,354.0,354.6,330.35,335.9,-5.51
22022022,51.32,335.9,325.0,329.9,306.35,311.75,-7.19
23022022,54.97,311.75,319.0,325.45,316.2,319.8,2.58
24022022,44.44,319.8,299.8,315.45,280.0,292.25,-8.61
25022022,37.79,292.25,310.0,315.0,298.05,299.7,2.55
28022022,49.75,299.7,294.0,304.2,290.85,299.55,-0.05
01032022,49.75,299.7,294.0,304.2,290.85,299.55,-0.05
02032022,53.6,299.55,299.0,305.0,286.45,288.65,-3.64
03032022,66.81,288.65,292.95,297.6,286.45,294.05,1.87
04032022,48.73,294.05,293.2,295.15,284.4,287.0,-2.4
07032022,65.06,287.0,281.95,284.0,275.2,280.65,-2.21
08032022,56.37,280.65,284.0,291.75,282.05,284.65,1.43
09032022,43.45,284.65,289.75,316.0,287.0,303.5,6.62
10032022,43.41,303.5,313.05,314.9,305.65,308.15,1.53
11032022,48.42,308.15,308.0,312.95,303.05,305.35,-0.91
14032022,63.21,305.35,308.0,309.35,290.0,292.25,-4.29
15032022,76.31,292.25,295.9,297.7,282.05,288.05,-1.44
16032022,52.0,288.05,293.0,297.9,282.85,292.9,1.68
17032022,19.99,292.9,297.0,351.45,294.95,334.15,14.08
18032022,19.99,292.9,297.0,351.45,294.95,334.15,14.08
21032022,24.94,334.15,335.0,354.8,322.4,347.1,3.88
22032022,29.05,347.1,346.75,358.4,342.1,349.45,0.68
23032022,38.19,349.45,352.25,355.3,345.05,349.95,0.14
24032022,28.88,349.95,354.0,361.7,347.0,349.8,-0.04
25032022,39.59,349.8,350.0,354.65,335.15,337.1,-3.63
28032022,31.38,337.1,339.0,348.9,328.5,332.05,-1.5
29032022,40.94,332.05,335.3,348.0,333.75,342.25,3.07
30032022,40.44,342.25,347.0,353.95,338.2,341.95,-0.09
31032022,48.17,341.95,344.9,344.9,332.5,334.1,-2.3
01042022,36.41,334.1,335.6,348.4,335.35,343.95,2.95
04042022,48.39,343.95,347.2,357.5,343.1,351.25,2.12
05042022,29.81,351.25,356.4,395.0,356.4,383.05,9.05
06042022,45.87,383.05,383.9,395.0,374.35,381.0,-0.54
07042022,40.96,381.0,383.9,418.0,369.3,400.0,4.99
08042022,39.09,400.0,403.9,406.7,387.1,392.05,-1.99
11042022,42.07,392.05,391.0,392.05,381.5,383.3,-2.23
12042022,51.38,383.3,384.9,385.0,363.95,369.9,-3.5
13042022,23.87,369.9,372.0,397.7,371.25,387.95,4.88
14042022,23.87,369.9,372.0,397.7,371.25,387.95,4.88
15042022,23.87,369.9,372.0,397.7,371.25,387.95,4.88
18042022,25.67,387.95,386.0,394.0,375.6,381.6,-1.64
19042022,30.86,381.6,384.9,392.9,360.0,368.7,-3.38
20042022,43.67,368.7,371.4,374.8,362.2,364.5,-1.14
21042022,35.45,364.5,368.75,382.75,363.3,364.7,0.05
22042022,37.02,364.7,362.0,377.45,362.0,371.6,1.89
25042022,41.22,371.6,373.75,373.95,354.35,355.7,-4.28
26042022,61.04,355.7,361.7,369.8,356.65,361.0,1.49
27042022,38.05,361.0,358.0,359.45,346.85,351.3,-2.69
28042022,36.5,351.3,354.7,364.9,343.5,362.05,3.06
29042022,35.01,362.05,364.7,365.8,350.6,354.45,-2.1
02052022,35.16,354.45,349.35,353.75,341.45,344.05,-2.93
03052022,35.16,354.45,349.35,353.75,341.45,344.05,-2.93
04052022,44.75,344.05,350.0,372.0,345.0,353.5,2.75
05052022,46.27,353.5,355.05,361.8,342.5,344.15,-2.64
06052022,58.89,344.15,338.0,344.3,331.2,338.7,-1.58
09052022,43.12,338.7,332.7,339.2,324.95,333.35,-1.58
10052022,59.5,333.35,330.05,339.5,302.6,309.85,-7.05
11052022,34.38,309.85,308.5,326.8,291.7,317.2,2.37
12052022,42.04,317.2,310.6,322.0,299.65,304.9,-3.88
13052022,31.5,304.9,306.0,317.5,305.3,307.4,0.82
16052022,42.48,307.4,317.0,341.0,309.75,333.75,8.57
17052022,29.84,333.75,340.0,341.0,313.6,317.05,-5.0
18052022,38.42,317.05,320.1,332.75,315.1,316.45,-0.19
19052022,41.5,316.45,309.8,309.8,300.0,302.25,-4.49
20052022,45.47,302.25,307.0,321.0,307.0,310.7,2.8
23052022,33.89,310.7,312.0,317.0,287.1,302.5,-2.64
