Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,54.45,3.85,3.7,3.85,3.7,3.7,-3.9
03102019,93.33,3.7,3.55,3.55,3.55,3.55,-4.05
04102019,100.0,3.55,3.4,3.4,3.4,3.4,-4.23
07102019,99.61,3.4,3.25,3.25,3.25,3.25,-4.41
08102019,99.61,3.4,3.25,3.25,3.25,3.25,-4.41
09102019,72.15,3.25,3.1,3.4,3.1,3.4,4.62
10102019,49.97,3.4,3.55,3.55,3.25,3.25,-4.41
11102019,57.44,3.25,3.2,3.4,3.1,3.25,0.0
14102019,73.98,3.25,3.25,3.4,3.2,3.4,4.62
15102019,63.76,3.4,3.45,3.55,3.25,3.25,-4.41
16102019,63.48,3.25,3.25,3.3,3.1,3.15,-3.08
17102019,71.03,3.15,3.15,3.3,3.05,3.25,3.17
18102019,65.32,3.25,3.3,3.4,3.15,3.4,4.62
21102019,65.32,3.25,3.3,3.4,3.15,3.4,4.62
22102019,81.51,3.4,3.55,3.55,3.55,3.55,4.41
23102019,84.75,3.55,3.7,3.7,3.6,3.7,4.23
24102019,100.0,3.7,3.85,3.85,3.85,3.85,4.05
25102019,100.0,3.85,4.0,4.0,4.0,4.0,3.9
28102019,100.0,4.0,4.2,4.2,4.2,4.2,5.0
29102019,97.87,4.2,4.4,4.4,4.4,4.4,4.76
30102019,100.0,4.4,4.6,4.6,4.6,4.6,4.55
31102019,100.0,4.6,4.8,4.8,4.8,4.8,4.35
01112019,100.0,4.8,5.0,5.0,5.0,5.0,4.17
04112019,100.0,5.0,5.25,5.25,5.25,5.25,5.0
05112019,80.36,5.25,5.5,5.5,5.25,5.5,4.76
06112019,100.0,5.5,5.75,5.75,5.75,5.75,4.55
07112019,100.0,5.75,6.0,6.0,6.0,6.0,4.35
08112019,63.91,6.0,6.3,6.3,5.7,6.2,3.33
11112019,72.43,6.2,6.2,6.5,5.9,5.9,-4.84
12112019,72.43,6.2,6.2,6.5,5.9,5.9,-4.84
13112019,94.98,5.9,5.65,5.65,5.65,5.65,-4.24
14112019,100.0,5.65,5.4,5.4,5.4,5.4,-4.42
15112019,100.0,5.4,5.15,5.15,5.15,5.15,-4.63
18112019,100.0,5.15,4.9,4.9,4.9,4.9,-4.85
19112019,100.0,4.9,4.7,4.7,4.7,4.7,-4.08
20112019,98.52,4.7,4.5,4.5,4.5,4.5,-4.26
21112019,65.81,4.5,4.3,4.7,4.3,4.3,-4.44
22112019,100.0,4.3,4.1,4.1,4.1,4.1,-4.65
25112019,61.51,4.1,3.9,4.1,3.9,3.9,-4.88
26112019,58.52,3.9,3.95,4.05,3.85,4.05,3.85
27112019,75.84,4.05,4.15,4.25,4.1,4.25,4.94
28112019,49.78,4.25,4.45,4.45,4.05,4.15,-2.35
29112019,62.13,4.15,4.3,4.3,3.95,3.95,-4.82
02122019,80.02,3.95,3.95,3.95,3.8,3.8,-3.8
03122019,57.56,3.8,3.75,3.8,3.65,3.65,-3.95
04122019,75.51,3.65,3.55,3.6,3.5,3.5,-4.11
05122019,64.89,3.5,3.4,3.6,3.35,3.4,-2.86
