Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
23122024,68.28,493.0,500.0,514.0,454.55,469.1,-4.85
24122024,75.37,469.1,488.0,488.0,465.4,472.05,0.63
25122024,75.37,469.1,488.0,488.0,465.4,472.05,0.63
26122024,69.3,472.05,471.0,477.4,444.05,464.05,-1.69
27122024,48.97,464.05,460.0,477.0,454.0,459.95,-0.88
30122024,38.85,459.95,455.6,475.0,434.95,460.05,0.02
31122024,52.72,460.05,465.0,465.0,442.35,458.85,-0.26
01012025,65.99,458.85,463.1,471.0,450.1,464.45,1.22
02012025,66.7,464.45,460.1,487.0,454.5,478.75,3.08
03012025,60.79,478.75,480.0,498.8,469.95,492.05,2.78
06012025,61.78,492.05,484.65,497.7,461.0,475.05,-3.45
07012025,66.83,475.05,467.3,485.0,461.3,472.8,-0.47
08012025,61.9,472.8,479.3,479.3,461.3,469.4,-0.72
09012025,53.39,469.4,465.25,476.75,456.0,466.95,-0.52
10012025,61.38,466.95,466.65,477.0,450.0,455.95,-2.36
13012025,62.26,455.95,450.9,451.0,424.0,431.25,-5.42
14012025,56.69,431.25,437.1,473.8,425.2,463.0,7.36
15012025,54.12,463.0,469.9,473.7,455.0,468.4,1.17
16012025,63.79,468.4,466.95,477.0,456.35,465.7,-0.58
17012025,65.87,465.7,465.7,468.0,445.5,450.6,-3.24
20012025,81.28,450.6,447.05,470.0,443.0,465.95,3.41
21012025,59.25,465.95,475.0,475.0,442.0,453.9,-2.59
22012025,46.29,453.9,448.3,450.25,425.1,444.25,-2.13
23012025,60.27,444.25,439.95,441.05,421.1,434.8,-2.13
24012025,67.35,434.8,432.35,448.4,424.0,432.4,-0.55
27012025,65.56,432.4,432.4,433.5,395.2,402.7,-6.87
28012025,67.64,402.7,420.6,420.95,390.0,409.35,1.65
29012025,64.18,409.35,411.0,427.4,377.3,409.25,-0.02
30012025,57.17,409.25,413.65,414.0,397.55,402.6,-1.62
31012025,75.84,402.6,409.4,409.9,389.95,395.6,-1.74
03022025,49.46,399.15,396.0,398.8,370.0,380.95,-4.56
04022025,50.69,380.95,384.0,396.6,374.9,388.9,2.09
05022025,56.31,388.9,392.4,397.0,381.15,387.15,-0.45
06022025,58.1,387.15,381.1,405.0,381.1,390.8,0.94
07022025,53.7,390.8,419.0,419.0,353.05,367.15,-6.05
10022025,56.0,367.15,369.7,369.7,322.0,331.4,-9.74
11022025,55.37,331.4,335.45,339.0,317.4,325.4,-1.81
12022025,53.95,325.4,334.7,344.0,305.1,333.35,2.44
13022025,71.7,333.35,335.05,336.2,317.0,319.0,-4.3
14022025,63.04,319.0,321.2,330.95,286.15,304.85,-4.44
17022025,57.5,304.85,298.0,312.0,285.85,300.8,-1.33
