Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,95.93,19.96,19.95,20.03,19.92,20.02,0.3
03102019,88.91,20.02,20.09,20.12,20.05,20.08,0.3
04102019,25.25,20.08,20.08,20.14,20.04,20.09,0.05
07102019,74.22,20.09,24.0,24.0,20.0,20.05,-0.2
08102019,74.22,20.09,24.0,24.0,20.0,20.05,-0.2
09102019,79.9,20.05,20.12,20.12,19.99,20.07,0.1
10102019,73.26,20.07,20.07,20.07,19.99,19.99,-0.4
11102019,91.05,19.99,20.03,20.03,19.95,20.01,0.1
14102019,79.03,20.01,20.0,20.0,16.6,19.99,-0.1
15102019,64.2,19.99,20.0,20.06,20.0,20.06,0.35
16102019,98.93,20.06,20.01,20.06,20.01,20.04,-0.1
17102019,87.2,20.04,20.05,20.06,20.0,20.03,-0.05
18102019,99.93,20.03,20.01,20.03,19.98,20.01,-0.1
21102019,99.93,20.03,20.01,20.03,19.98,20.01,-0.1
22102019,96.73,20.01,20.04,20.05,19.99,20.01,0.0
23102019,99.33,20.01,20.05,20.05,20.0,20.03,0.1
24102019,77.69,20.03,20.02,20.07,20.0,20.01,-0.1
25102019,99.98,20.01,20.02,20.06,20.02,20.04,0.15
28102019,48.02,20.04,20.04,22.0,20.04,20.12,0.4
29102019,100.0,20.12,20.12,20.12,20.04,20.06,-0.3
