Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,98.86,1.85,1.8,1.8,1.8,1.8,-2.7
03102019,98.93,1.8,1.75,1.75,1.75,1.75,-2.78
04102019,62.61,1.75,1.7,1.8,1.7,1.7,-2.86
07102019,99.0,1.7,1.7,1.7,1.65,1.65,-2.94
08102019,99.0,1.7,1.7,1.7,1.65,1.65,-2.94
09102019,100.0,1.65,1.65,1.65,1.6,1.6,-3.03
10102019,100.0,1.6,1.55,1.55,1.55,1.55,-3.13
11102019,77.09,1.55,1.5,1.6,1.5,1.5,-3.23
14102019,95.37,1.5,1.5,1.55,1.45,1.55,3.33
15102019,100.0,1.55,1.6,1.6,1.6,1.6,3.23
16102019,65.05,1.6,1.65,1.65,1.55,1.55,-3.13
17102019,82.25,1.55,1.55,1.55,1.5,1.5,-3.23
18102019,86.27,1.5,1.45,1.55,1.45,1.45,-3.33
21102019,86.27,1.5,1.45,1.55,1.45,1.45,-3.33
22102019,69.23,1.45,1.45,1.5,1.4,1.4,-3.45
23102019,73.13,1.4,1.35,1.4,1.35,1.35,-3.57
24102019,61.22,1.35,1.3,1.35,1.3,1.3,-3.7
25102019,56.41,1.3,1.25,1.35,1.25,1.35,3.85
28102019,100.0,1.35,1.4,1.4,1.4,1.4,3.7
29102019,75.41,1.4,1.45,1.45,1.35,1.35,-3.57
30102019,79.39,1.35,1.35,1.35,1.3,1.3,-3.7
31102019,71.68,1.3,1.25,1.35,1.25,1.3,0.0
01112019,85.43,1.3,1.35,1.35,1.3,1.35,3.85
04112019,100.0,1.35,1.4,1.4,1.4,1.4,3.7
05112019,78.23,1.4,1.45,1.45,1.4,1.45,3.57
06112019,100.0,1.45,1.5,1.5,1.5,1.5,3.45
07112019,99.64,1.5,1.55,1.55,1.55,1.55,3.33
08112019,96.6,1.55,1.6,1.6,1.6,1.6,3.23
11112019,89.31,1.6,1.65,1.65,1.65,1.65,3.12
12112019,89.31,1.6,1.65,1.65,1.65,1.65,3.12
13112019,99.94,1.65,1.7,1.7,1.7,1.7,3.03
14112019,69.18,1.7,1.75,1.75,1.65,1.65,-2.94
15112019,84.06,1.65,1.6,1.7,1.6,1.6,-3.03
18112019,79.64,1.6,1.65,1.65,1.55,1.55,-3.13
19112019,66.26,1.55,1.5,1.6,1.5,1.5,-3.23
20112019,94.42,1.5,1.45,1.55,1.45,1.55,3.33
21112019,83.17,1.55,1.55,1.6,1.5,1.5,-3.23
22112019,99.91,1.5,1.5,1.55,1.5,1.55,3.33
25112019,87.84,1.55,1.6,1.6,1.55,1.6,3.23
26112019,99.97,1.6,1.65,1.65,1.65,1.65,3.12
27112019,95.5,1.65,1.7,1.7,1.7,1.7,3.03
28112019,99.97,1.7,1.75,1.75,1.75,1.75,2.94
29112019,82.38,1.75,1.8,1.8,1.7,1.8,2.86
02122019,46.88,1.8,1.85,1.85,1.75,1.85,2.78
03122019,83.61,1.85,1.9,1.9,1.8,1.9,2.7
04122019,67.74,1.9,1.95,1.95,1.85,1.85,-2.63
05122019,76.33,1.85,1.85,1.9,1.8,1.85,0.0
06122019,53.07,1.85,1.8,1.9,1.8,1.8,-2.7
09122019,76.88,1.8,1.8,1.85,1.75,1.75,-2.78
27052020,89.59,1.6,1.6,1.65,1.55,1.65,3.12
28052020,68.7,1.65,1.65,1.7,1.65,1.7,3.03
29052020,95.47,1.7,1.7,1.75,1.7,1.75,2.94
01062020,100.0,1.75,1.75,1.8,1.75,1.8,2.86
02062020,100.0,1.8,1.85,1.85,1.85,1.85,2.78
03062020,100.0,1.85,1.9,1.9,1.9,1.9,2.7
