Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
30102023,64.15,16.4,16.85,16.9,15.6,16.05,-2.13
31102023,64.71,16.05,16.05,16.4,15.25,15.35,-4.36
01112023,81.82,15.35,15.5,16.1,15.3,16.1,4.89
02112023,57.9,16.1,16.8,16.8,15.6,15.85,-1.55
03112023,47.34,15.85,16.0,16.6,15.9,16.25,2.52
06112023,74.17,16.25,16.45,16.45,15.5,16.0,-1.54
07112023,66.96,16.0,16.5,16.8,16.1,16.7,4.37
08112023,64.29,16.7,17.4,17.4,16.6,17.1,2.4
09112023,59.85,17.1,17.35,17.95,16.5,17.75,3.8
10112023,58.75,17.75,17.8,18.25,16.9,17.1,-3.66
13112023,32.27,17.35,17.75,17.75,16.75,17.45,0.58
14112023,32.27,17.35,17.75,17.75,16.75,17.45,0.58
15112023,27.13,17.45,17.05,17.95,16.8,17.15,-1.72
16112023,46.95,17.15,17.85,18.0,17.2,17.45,1.75
17112023,76.86,17.45,17.85,17.85,17.2,17.5,0.29
20112023,58.36,17.5,17.8,18.35,17.65,18.3,4.57
21112023,47.8,18.3,18.3,19.2,18.2,19.2,4.92
22112023,51.1,19.2,19.95,20.15,18.25,18.35,-4.43
23112023,25.4,18.35,18.35,19.15,18.1,19.05,3.81
24112023,6.07,19.05,19.45,19.85,18.9,19.5,2.36
27112023,6.07,19.05,19.45,19.85,18.9,19.5,2.36
28112023,32.44,19.5,19.95,20.1,19.55,19.95,2.31
29112023,23.7,19.95,20.25,20.8,19.95,20.05,0.5
30112023,27.85,20.05,20.15,21.05,19.7,21.05,4.99
01122023,70.46,21.05,21.35,22.1,21.35,22.1,4.99
04122023,90.23,22.1,23.2,23.2,23.0,23.2,4.98
05122023,61.62,23.2,24.15,24.35,22.05,22.05,-4.96
06122023,70.92,22.05,20.95,22.0,20.95,21.15,-4.08
07122023,90.83,21.15,21.15,21.15,20.1,20.1,-4.96
08122023,59.1,20.1,19.1,20.0,19.1,19.1,-4.98
11122023,87.87,19.1,18.6,20.05,18.6,20.05,4.97
12122023,72.58,20.05,21.05,21.05,20.0,21.05,4.99
13122023,65.38,21.05,21.8,21.8,20.0,20.25,-3.8
14122023,57.43,20.25,20.35,20.95,20.0,20.0,-1.23
15122023,74.55,20.0,19.5,20.65,19.5,20.0,0.0
18122023,70.23,20.0,20.05,21.0,20.0,20.35,1.75
19122023,97.69,20.35,20.4,20.75,19.65,19.8,-2.7
20122023,96.93,19.8,20.65,20.65,18.85,18.95,-4.29
21122023,79.09,18.95,19.45,19.85,19.45,19.85,4.75
22122023,75.07,19.85,20.8,20.8,20.25,20.8,4.79
25122023,75.07,19.85,20.8,20.8,20.25,20.8,4.79
26122023,99.99,20.8,21.8,21.8,21.8,21.8,4.81
27122023,100.0,21.8,22.85,22.85,22.85,22.85,4.82
28122023,100.0,22.85,23.95,23.95,23.95,23.95,4.81
29122023,100.0,23.95,25.1,25.1,25.1,25.1,4.8
01012024,100.0,25.1,26.35,26.35,26.35,26.35,4.98
02012024,100.0,26.35,27.65,27.65,27.65,27.65,4.93
03012024,100.0,27.65,29.0,29.0,29.0,29.0,4.88
