Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
19032026,64.11,76.47,74.75,75.79,69.01,70.42,-7.91
20032026,42.72,70.42,79.29,79.3,69.11,70.06,-0.51
23032026,61.77,70.06,70.06,70.62,66.0,68.15,-2.73
24032026,52.97,68.15,69.64,70.89,66.65,68.24,0.13
25032026,58.12,68.24,68.24,70.09,67.07,68.34,0.15
26032026,58.12,68.24,68.24,70.09,67.07,68.34,0.15
27032026,57.62,68.34,69.6,69.8,64.12,65.66,-3.92
30032026,61.38,65.66,62.35,65.51,57.15,60.92,-7.22
31032026,61.38,65.66,62.35,65.51,57.15,60.92,-7.22
01042026,48.2,60.92,62.15,67.6,62.15,66.86,9.75
02042026,58.64,66.86,66.0,71.0,64.17,69.93,4.59
03042026,58.64,66.86,66.0,71.0,64.17,69.93,4.59
06042026,48.48,69.93,69.94,70.77,67.31,68.35,-2.26
07042026,52.73,68.35,68.05,69.0,66.01,66.21,-3.13
08042026,63.72,66.21,69.85,72.4,67.0,71.43,7.88
09042026,55.76,71.43,69.52,74.49,69.02,71.37,-0.08
10042026,77.98,71.37,71.99,74.8,71.12,74.37,4.2
13042026,58.14,74.37,73.99,77.25,72.11,76.72,3.16
14042026,58.14,74.37,73.99,77.25,72.11,76.72,3.16
15042026,72.78,76.72,78.5,78.5,75.9,76.97,0.33
16042026,44.89,76.97,77.38,77.38,75.41,76.12,-1.1
17042026,39.58,76.12,77.34,80.0,75.02,76.21,0.12
20042026,74.22,76.21,78.73,78.73,72.61,72.87,-4.38
21042026,52.31,72.87,74.5,74.5,72.12,74.0,1.55
22042026,62.07,74.0,74.55,75.87,73.01,75.28,1.73
23042026,71.08,75.28,76.97,76.97,74.04,75.86,0.77
24042026,51.75,75.86,74.51,75.09,72.3,72.84,-3.98
27042026,70.61,72.84,72.48,75.66,72.48,73.71,1.19
28042026,65.14,73.71,74.99,75.18,72.25,72.68,-1.4
29042026,55.45,72.68,74.01,74.3,72.0,72.29,-0.54
30042026,63.26,72.29,73.0,73.8,71.26,73.24,1.31
01052026,63.26,72.29,73.0,73.8,71.26,73.24,1.31
04052026,54.36,73.24,74.83,74.99,72.42,73.1,-0.19
05052026,87.2,73.1,73.62,73.62,71.52,71.96,-1.56
06052026,66.31,71.96,73.54,73.58,72.45,72.84,1.22
07052026,67.94,72.84,72.26,74.45,72.26,73.27,0.59
08052026,58.32,73.27,72.54,74.38,71.0,71.82,-1.98
