Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
18062026,86.83,45.68,46.6,48.65,46.01,46.44,1.66
19062026,80.72,46.44,46.95,47.0,46.0,46.67,0.5
22062026,70.34,46.67,46.9,46.94,46.13,46.71,0.09
23062026,60.9,46.71,46.99,47.14,46.0,46.54,-0.36
24062026,93.85,46.54,46.49,46.67,46.01,46.45,-0.19
25062026,56.99,46.45,46.04,46.9,46.04,46.34,-0.24
26062026,56.99,46.45,46.04,46.9,46.04,46.34,-0.24
29062026,77.45,46.34,46.8,46.8,45.0,46.11,-0.5
30062026,57.51,46.11,46.04,46.62,45.5,45.98,-0.28
01072026,52.57,45.98,46.47,46.93,46.12,46.3,0.7
02072026,51.27,46.3,46.3,47.0,46.21,46.74,0.95
03072026,81.9,46.74,46.92,47.38,46.86,47.16,0.9
06072026,67.26,47.16,47.6,48.57,46.75,47.58,0.89
07072026,67.97,47.58,48.76,49.0,46.94,47.3,-0.59
08072026,35.19,47.3,47.58,47.58,45.91,46.08,-2.58
09072026,71.29,46.08,46.58,47.05,46.08,46.78,1.52
10072026,90.75,46.78,47.38,47.55,46.96,47.5,1.54
13072026,50.24,47.5,47.65,48.47,46.58,47.74,0.51
14072026,84.34,47.74,47.03,48.18,47.0,47.21,-1.11
15072026,96.77,47.21,47.5,47.79,47.38,47.63,0.89
16072026,51.03,47.63,47.71,47.72,47.07,47.18,-0.94
17072026,64.13,47.18,47.18,47.2,46.61,47.01,-0.36
20072026,99.37,47.01,46.31,47.68,46.31,47.61,1.28
21072026,89.43,47.61,47.61,47.99,47.42,47.66,0.11
22072026,81.4,47.66,48.1,48.1,47.2,47.54,-0.25
23072026,87.13,47.54,47.46,47.46,46.61,46.81,-1.54
