Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,60.23,32.8,32.35,33.7,30.45,31.15,-5.03
03102019,32.69,31.15,31.5,32.45,28.75,32.05,2.89
04102019,68.71,32.05,32.7,32.7,30.75,31.4,-2.03
07102019,51.8,31.4,31.95,33.0,30.05,31.0,-1.27
08102019,51.8,31.4,31.95,33.0,30.05,31.0,-1.27
09102019,64.8,31.0,31.05,31.7,30.5,30.85,-0.48
10102019,56.0,30.85,30.8,32.0,30.6,31.45,1.94
11102019,55.03,31.45,31.05,32.4,30.8,31.4,-0.16
14102019,62.23,31.4,32.8,32.8,31.1,31.55,0.48
15102019,61.91,31.55,31.0,32.0,31.0,31.3,-0.79
16102019,78.64,31.3,30.6,31.95,30.6,31.0,-0.96
17102019,53.0,31.0,31.0,31.8,30.5,30.7,-0.97
18102019,69.3,30.7,31.45,31.7,30.7,31.2,1.63
21102019,69.3,30.7,31.45,31.7,30.7,31.2,1.63
22102019,75.92,31.2,31.8,32.45,30.7,31.05,-0.48
23102019,62.04,31.05,31.65,31.65,30.7,31.05,0.0
24102019,67.89,31.05,30.5,31.05,29.1,30.6,-1.45
25102019,74.55,30.6,29.8,30.95,29.75,30.4,-0.65
28102019,69.66,30.4,31.45,31.45,30.15,30.75,1.15
29102019,58.46,30.75,31.0,32.4,30.1,31.85,3.58
30102019,59.2,31.85,32.7,32.7,29.3,31.2,-2.04
31102019,50.86,31.2,31.0,32.3,31.0,31.45,0.8
01112019,65.08,31.45,31.0,32.15,30.15,31.05,-1.27
04112019,58.77,31.05,31.1,32.25,30.7,30.95,-0.32
05112019,68.41,30.95,31.55,31.55,30.6,30.8,-0.48
06112019,65.7,30.8,30.8,31.25,30.0,30.2,-1.95
07112019,65.61,30.2,30.5,30.8,30.05,30.25,0.17
08112019,34.17,30.25,31.5,36.3,30.15,32.65,7.93
11112019,75.98,32.65,32.3,33.75,32.25,32.45,-0.61
12112019,75.98,32.65,32.3,33.75,32.25,32.45,-0.61
13112019,58.03,32.45,31.8,33.3,31.1,31.3,-3.54
14112019,37.67,31.3,34.5,37.55,33.95,37.55,19.97
15112019,35.99,37.55,40.5,44.45,40.0,42.35,12.78
18112019,46.81,42.35,39.65,41.65,38.15,38.4,-9.33
19112019,60.74,38.4,38.15,39.2,36.0,36.25,-5.6
20112019,65.26,36.25,36.65,36.65,34.65,35.7,-1.52
21112019,56.96,35.7,37.95,39.0,34.1,37.45,4.9
22112019,62.53,37.45,37.0,38.4,35.1,35.55,-5.07
25112019,53.01,35.55,36.45,37.8,34.9,35.25,-0.84
26112019,76.44,35.25,35.25,36.75,33.25,33.95,-3.69
27112019,66.43,33.95,34.1,35.45,34.05,35.1,3.39
28112019,60.47,35.1,34.8,35.65,34.55,35.05,-0.14
29112019,62.52,35.05,35.6,35.65,33.7,34.35,-2.0
02122019,89.5,34.35,34.35,34.35,32.65,33.05,-3.78
03122019,60.65,33.05,34.0,34.0,32.45,33.2,0.45
04122019,80.74,33.2,32.95,33.0,32.5,32.85,-1.05
05122019,56.58,32.85,32.55,33.55,32.5,33.0,0.46
06122019,56.21,33.0,33.45,33.95,32.8,33.15,0.45
09122019,56.23,33.15,32.75,34.05,31.3,32.65,-1.51
10122019,72.29,32.65,32.2,32.85,31.25,31.95,-2.14
11122019,64.0,31.95,31.6,32.8,30.7,31.55,-1.25
12122019,60.19,31.55,31.7,32.05,31.0,31.15,-1.27
13122019,79.06,31.15,31.55,32.85,31.4,32.05,2.89
16122019,53.68,32.05,32.45,33.35,31.45,32.1,0.16
17122019,30.98,32.1,32.25,38.5,32.0,34.85,8.57
18122019,73.07,34.85,35.8,36.05,33.6,35.0,0.43
19122019,52.43,35.0,34.7,35.9,34.65,34.95,-0.14
20122019,29.02,34.95,34.8,38.6,33.3,36.55,4.58
23122019,61.37,36.55,37.85,37.85,35.0,35.15,-3.83
24122019,83.8,35.15,35.0,35.0,33.75,34.35,-2.28
25122019,83.8,35.15,35.0,35.0,33.75,34.35,-2.28
26122019,63.52,34.35,34.15,34.8,33.3,33.5,-2.47
27122019,57.82,33.5,33.55,34.4,32.1,33.1,-1.19
30122019,65.07,33.1,33.15,34.4,32.8,33.9,2.42
31122019,62.23,33.9,33.3,34.4,33.3,33.7,-0.59
01012020,79.17,33.7,33.9,35.0,33.7,34.35,1.93
02012020,79.76,34.35,34.6,35.45,34.3,34.65,0.87
03012020,74.15,34.65,34.95,35.0,33.55,33.85,-2.31
06012020,67.5,33.85,33.15,33.7,32.4,32.8,-3.1
07012020,54.9,32.8,33.55,33.85,31.1,32.85,0.15
08012020,68.88,32.85,32.9,33.5,32.0,33.25,1.22
09012020,68.91,33.25,33.9,34.25,32.2,33.7,1.35
10012020,63.39,33.7,34.8,34.8,33.2,33.5,-0.59
13012020,40.41,33.5,33.9,35.9,33.05,33.95,1.34
14012020,47.39,33.95,33.55,34.65,33.5,34.15,0.59
15012020,56.71,34.15,34.15,35.7,33.3,34.5,1.02
16012020,42.02,34.5,35.5,39.2,34.95,36.15,4.78
17012020,64.03,36.15,36.0,37.0,35.0,35.9,-0.69
20012020,70.31,35.9,36.0,36.4,34.8,35.0,-2.51
21012020,60.13,35.0,35.6,35.6,33.7,34.2,-2.29
22012020,70.23,34.2,33.55,35.0,33.55,33.65,-1.61
23012020,65.92,33.65,33.7,34.9,33.15,34.2,1.63
24012020,55.92,34.2,34.5,35.25,34.0,34.3,0.29
27012020,78.94,34.3,33.7,34.45,33.0,33.75,-1.6
28012020,71.29,33.75,33.55,34.3,33.0,33.3,-1.33
29012020,64.73,33.3,32.85,34.4,32.85,33.6,0.9
30012020,27.36,33.6,33.35,36.5,33.1,33.95,1.04
31012020,88.35,33.95,33.65,34.0,33.5,33.55,-1.18
03022020,71.76,33.2,33.0,36.0,32.2,33.3,0.3
04022020,72.35,33.3,33.7,34.0,33.3,33.5,0.6
05022020,75.37,33.5,33.55,34.5,33.45,33.5,0.0
06022020,46.98,33.5,33.4,34.25,33.05,33.55,0.15
07022020,64.37,33.55,33.55,33.95,33.05,33.15,-1.19
10022020,64.93,33.15,33.4,33.85,33.0,33.15,0.0
11022020,62.12,33.15,33.6,34.5,33.0,34.2,3.17
12022020,64.4,34.2,34.0,35.9,33.8,34.2,0.0
13022020,69.3,34.2,35.6,35.9,34.0,34.95,2.19
14022020,54.12,34.95,32.45,33.0,29.25,29.8,-14.74
17022020,67.28,29.8,29.15,30.8,29.15,29.75,-0.17
18022020,67.48,29.75,29.35,29.9,28.0,28.65,-3.7
19022020,68.43,28.65,29.6,29.7,28.6,29.25,2.09
20022020,67.96,29.25,29.35,29.65,28.1,28.75,-1.71
21022020,67.96,29.25,29.35,29.65,28.1,28.75,-1.71
24022020,84.4,28.75,29.5,29.5,28.1,28.2,-1.91
25022020,56.83,28.2,28.2,28.65,27.0,27.2,-3.55
26022020,84.18,27.2,27.05,27.65,25.9,26.0,-4.41
27022020,60.29,26.0,25.2,26.8,24.9,25.4,-2.31
28022020,52.74,25.4,25.1,25.1,22.85,23.85,-6.1
02032020,66.87,23.85,25.5,25.5,23.25,24.0,0.63
03032020,87.51,24.0,24.0,24.35,23.9,24.2,0.83
