Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
17032026,52.51,50.59,51.0,52.49,48.0,48.34,-4.45
18032026,53.87,48.34,48.59,48.78,46.58,47.13,-2.5
19032026,27.56,47.13,47.0,50.84,46.0,48.27,2.42
20032026,50.69,48.27,50.4,51.27,47.88,48.42,0.31
23032026,66.83,48.42,48.0,48.02,44.0,44.21,-8.69
24032026,45.56,44.21,44.87,46.5,42.5,44.07,-0.32
25032026,52.27,44.07,44.8,46.04,44.02,44.32,0.57
26032026,52.27,44.07,44.8,46.04,44.02,44.32,0.57
27032026,68.39,44.32,43.66,44.19,40.5,41.31,-6.79
30032026,59.39,41.31,41.0,42.46,40.0,40.89,-1.02
31032026,59.39,41.31,41.0,42.46,40.0,40.89,-1.02
01042026,45.16,40.89,41.5,43.0,41.1,42.09,2.93
02042026,31.78,42.09,41.51,44.73,41.37,42.58,1.16
03042026,31.78,42.09,41.51,44.73,41.37,42.58,1.16
06042026,17.64,42.58,43.2,48.44,41.55,46.02,8.08
07042026,39.22,46.02,47.8,47.8,44.75,46.06,0.09
08042026,47.07,46.06,48.0,49.0,46.5,47.04,2.13
09042026,54.09,47.04,47.04,47.49,45.25,45.64,-2.98
10042026,36.45,45.64,46.5,46.75,45.5,45.74,0.22
13042026,36.05,45.74,44.82,46.74,43.87,45.98,0.52
