Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,36.45,28.5,28.05,29.0,27.55,28.0,-1.75
03102019,36.46,28.0,28.2,28.45,27.15,27.5,-1.79
04102019,37.97,27.5,27.5,28.5,27.3,27.5,0.0
07102019,60.95,27.5,27.3,28.25,25.55,26.1,-5.09
08102019,60.95,27.5,27.3,28.25,25.55,26.1,-5.09
09102019,70.54,26.1,26.0,26.9,26.0,26.3,0.77
10102019,67.75,26.3,26.4,26.4,25.1,25.25,-3.99
11102019,54.94,25.25,25.35,26.65,25.35,26.0,2.97
14102019,73.56,26.0,26.3,26.4,25.6,25.7,-1.15
15102019,59.5,25.7,25.55,26.35,24.75,25.3,-1.56
16102019,85.7,25.3,25.55,25.75,24.8,25.15,-0.59
17102019,73.37,25.15,25.2,25.7,24.55,24.85,-1.19
18102019,79.2,24.85,25.2,25.85,24.75,25.3,1.81
21102019,79.2,24.85,25.2,25.85,24.75,25.3,1.81
22102019,79.71,25.3,25.1,26.3,24.75,25.05,-0.99
23102019,85.95,25.05,25.05,25.3,24.4,24.95,-0.4
24102019,87.39,24.95,25.05,25.45,24.4,24.5,-1.8
25102019,93.69,24.5,24.55,25.0,24.15,24.5,0.0
28102019,76.08,24.5,25.1,25.1,23.8,24.15,-1.43
29102019,66.4,24.15,24.4,26.9,24.25,24.95,3.31
30102019,83.72,24.95,25.0,25.7,24.7,24.85,-0.4
31102019,63.96,24.85,25.0,26.35,25.0,25.15,1.21
01112019,49.37,25.15,25.45,28.5,25.4,27.6,9.74
04112019,61.8,27.6,27.65,29.8,27.65,28.8,4.35
05112019,54.61,28.8,29.4,29.4,27.35,27.65,-3.99
06112019,60.39,27.65,27.6,28.05,27.1,27.25,-1.45
07112019,61.71,27.25,27.0,28.65,27.0,27.95,2.57
08112019,71.46,27.95,28.4,28.4,27.5,27.85,-0.36
11112019,49.8,27.85,27.55,28.25,27.55,27.85,0.0
12112019,49.8,27.85,27.55,28.25,27.55,27.85,0.0
13112019,42.0,27.85,30.0,30.35,28.5,28.8,3.41
14112019,68.05,28.8,28.5,29.1,27.55,27.95,-2.95
15112019,62.81,27.95,28.05,30.6,27.75,29.85,6.8
18112019,53.56,29.85,31.0,33.7,30.0,33.05,10.72
19112019,56.97,33.05,33.45,33.7,31.5,31.65,-4.24
20112019,24.43,31.65,31.95,35.0,31.6,32.95,4.11
21112019,44.06,32.95,33.15,33.9,31.5,32.6,-1.06
22112019,45.91,32.6,32.0,32.4,30.85,31.9,-2.15
25112019,47.68,31.9,32.2,34.5,32.0,32.35,1.41
26112019,57.12,32.35,32.5,32.8,30.25,30.65,-5.26
27112019,57.78,30.65,31.25,31.55,30.25,30.65,0.0
28112019,57.66,30.65,30.7,32.45,30.65,32.2,5.06
29112019,48.5,32.2,32.0,32.45,31.0,31.35,-2.64
02122019,55.89,31.35,31.8,31.8,29.95,30.65,-2.23
03122019,64.39,30.65,31.0,31.25,29.55,30.6,-0.16
04122019,52.56,30.6,29.95,30.6,29.2,30.3,-0.98
05122019,56.96,30.3,30.3,30.95,29.0,29.5,-2.64
06122019,55.74,29.5,29.6,30.0,29.05,29.25,-0.85
09122019,59.13,29.25,29.3,30.0,29.2,29.55,1.03
10122019,71.92,29.55,29.9,29.9,28.05,28.2,-4.57
11122019,70.01,28.2,28.2,28.25,27.1,27.45,-2.66
12122019,59.62,27.45,27.3,28.8,27.1,28.55,4.01
13122019,63.26,28.55,28.8,29.75,28.7,29.05,1.75
