Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,83.12,28.25,28.25,29.45,26.65,28.2,-0.18
03102019,68.77,28.2,27.75,28.8,26.55,27.6,-2.13
04102019,95.92,27.6,28.85,28.85,26.85,27.65,0.18
07102019,61.6,27.65,29.45,29.45,26.5,26.95,-2.53
08102019,61.6,27.65,29.45,29.45,26.5,26.95,-2.53
09102019,97.17,26.95,27.5,27.75,27.25,27.35,1.48
10102019,47.01,27.35,28.75,28.85,26.85,27.95,2.19
11102019,90.95,27.95,27.95,28.4,27.1,27.2,-2.68
14102019,83.41,27.2,27.15,27.7,26.5,26.85,-1.29
15102019,94.13,26.85,26.25,27.0,26.05,26.25,-2.23
16102019,95.42,26.25,27.2,27.25,26.05,26.3,0.19
17102019,66.49,26.3,27.2,29.7,26.6,27.1,3.04
18102019,78.06,27.1,27.35,27.5,26.0,26.7,-1.48
21102019,78.06,27.1,27.35,27.5,26.0,26.7,-1.48
22102019,95.95,26.7,27.65,27.8,26.65,27.0,1.12
23102019,67.89,27.0,27.05,28.7,26.8,27.9,3.33
24102019,90.4,27.9,28.9,28.9,27.2,27.9,0.0
25102019,96.17,27.9,27.55,28.0,27.3,27.4,-1.79
28102019,98.98,27.4,28.95,29.0,28.2,28.45,3.83
29102019,94.87,28.45,29.55,29.9,27.4,28.9,1.58
30102019,69.07,28.9,28.55,29.75,28.05,28.65,-0.87
31102019,93.94,28.65,28.75,29.45,28.25,28.9,0.87
01112019,88.52,28.9,29.0,29.55,28.7,28.8,-0.35
04112019,62.4,28.8,28.9,31.0,28.35,30.1,4.51
05112019,87.37,30.1,29.15,30.55,29.0,30.0,-0.33
06112019,94.66,30.0,30.25,30.7,29.6,30.3,1.0
07112019,78.0,30.3,30.0,32.75,29.9,32.4,6.93
08112019,87.1,32.4,32.5,32.9,30.7,31.95,-1.39
11112019,90.84,31.95,31.55,32.25,31.05,31.45,-1.56
12112019,90.84,31.95,31.55,32.25,31.05,31.45,-1.56
13112019,98.36,31.45,31.45,31.85,30.7,31.65,0.64
14112019,90.79,31.65,31.05,32.95,31.0,31.8,0.47
15112019,93.0,31.8,32.85,32.9,31.55,32.55,2.36
18112019,87.68,32.55,32.9,32.9,31.65,31.95,-1.84
19112019,93.76,31.95,32.6,33.0,31.85,32.0,0.16
20112019,94.45,32.0,31.45,32.4,30.3,31.9,-0.31
21112019,82.54,31.9,31.85,34.45,31.85,33.6,5.33
22112019,68.68,33.6,33.25,34.55,31.2,32.15,-4.32
25112019,66.69,32.15,31.55,34.1,30.45,33.3,3.58
26112019,60.19,33.3,34.0,34.0,33.0,33.15,-0.45
27112019,88.8,33.15,33.1,33.5,32.25,32.55,-1.81
28112019,88.69,32.55,31.85,32.95,31.25,31.75,-2.46
29112019,78.02,31.75,31.8,32.0,31.0,31.05,-2.2
