Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
01102019,62.77,2099.3,2095.95,2095.95,2039.7,2059.95,-1.87
03102019,59.93,2059.95,2070.0,2081.15,2046.15,2060.25,0.01
04102019,66.66,2060.25,2060.6,2087.95,2054.95,2079.35,0.93
07102019,53.36,2079.35,2080.0,2094.5,2041.0,2047.7,-1.52
08102019,53.36,2079.35,2080.0,2094.5,2041.0,2047.7,-1.52
09102019,47.63,2047.7,2060.0,2060.0,2015.5,2020.1,-1.35
10102019,33.3,2020.1,2028.0,2039.05,1997.1,2004.45,-0.77
11102019,50.21,2004.45,1931.0,1995.0,1925.0,1986.85,-0.88
14102019,46.78,1986.85,1995.0,2032.75,1968.0,2021.0,1.72
15102019,61.47,2021.0,2032.0,2047.0,2022.7,2037.3,0.81
16102019,59.09,2037.3,2038.0,2056.0,2016.0,2046.4,0.45
17102019,61.1,2046.4,2014.0,2038.0,1999.3,2030.95,-0.75
18102019,64.1,2030.95,2037.5,2063.9,2025.0,2057.35,1.3
21102019,64.1,2030.95,2037.5,2063.9,2025.0,2057.35,1.3
22102019,64.54,2057.35,2080.0,2111.5,2040.05,2051.4,-0.29
23102019,57.61,2051.4,2060.0,2083.85,2052.5,2070.1,0.91
24102019,62.7,2070.1,2084.0,2099.0,2061.3,2082.0,0.57
25102019,64.12,2082.0,2094.0,2130.0,2075.05,2124.95,2.06
28102019,34.17,2124.95,2129.0,2129.0,2108.8,2115.7,-0.44
29102019,72.24,2115.7,2121.5,2201.7,2121.5,2194.85,3.74
30102019,62.75,2194.85,2225.0,2260.0,2176.85,2252.8,2.64
31102019,57.71,2252.8,2250.0,2284.95,2237.0,2269.65,0.75
01112019,57.51,2269.65,2264.0,2275.0,2195.0,2200.9,-3.03
04112019,45.58,2200.9,2207.0,2229.2,2180.9,2193.95,-0.32
05112019,58.37,2193.95,2197.0,2211.0,2169.0,2201.85,0.36
06112019,56.15,2201.85,2200.0,2210.8,2179.0,2188.5,-0.61
07112019,56.53,2188.5,2204.5,2204.5,2175.2,2185.35,-0.14
08112019,58.12,2185.35,2189.6,2189.6,2124.0,2129.95,-2.54
11112019,57.93,2129.95,2135.0,2139.0,2091.0,2100.95,-1.36
12112019,57.93,2129.95,2135.0,2139.0,2091.0,2100.95,-1.36
13112019,46.29,2100.95,2118.0,2183.8,2118.0,2178.6,3.7
14112019,39.69,2178.6,2187.5,2200.0,2146.7,2196.8,0.84
15112019,56.11,2196.8,2196.0,2211.5,2168.75,2174.45,-1.02
18112019,58.05,2174.45,2178.4,2187.75,2148.75,2152.6,-1.0
19112019,61.1,2152.6,2153.0,2154.65,2105.0,2108.8,-2.03
20112019,45.67,2108.8,2121.95,2135.0,2094.5,2108.55,-0.01
21112019,59.39,2108.55,2112.0,2126.6,2107.4,2118.1,0.45
22112019,57.8,2118.1,2097.0,2107.0,2060.5,2071.7,-2.19
25112019,57.08,2071.7,2074.55,2084.95,2052.2,2081.5,0.47
26112019,75.75,2081.5,2089.85,2097.9,2035.05,2046.65,-1.67
27112019,69.49,2046.65,2052.0,2071.7,2046.55,2054.3,0.37
28112019,56.47,2054.3,2067.05,2094.4,2060.0,2077.35,1.12
29112019,58.18,2077.35,2085.0,2085.0,2045.8,2053.25,-1.16
02122019,66.68,2053.25,2060.0,2067.7,2016.0,2021.05,-1.57
03122019,57.34,2021.05,2027.7,2062.0,2010.0,2051.0,1.48
04122019,61.69,2051.0,2053.0,2082.0,2045.5,2078.5,1.34
05122019,53.65,2078.5,2083.0,2126.8,2068.35,2121.3,2.06
06122019,44.57,2121.3,2124.0,2128.0,2101.0,2123.6,0.11
09122019,46.65,2123.6,2127.95,2127.95,2053.5,2060.45,-2.97
10122019,50.27,2060.45,2060.0,2060.85,2003.25,2012.85,-2.31
11122019,60.78,2012.85,2025.4,2048.0,2006.75,2041.9,1.44
12122019,62.38,2041.9,2051.1,2083.65,1984.0,2020.9,-1.03
13122019,39.32,2020.9,2023.0,2077.4,2007.0,2071.25,2.49
16122019,51.17,2071.25,2096.0,2136.0,2080.3,2126.75,2.68
17122019,57.06,2126.75,2126.5,2169.0,2119.0,2164.95,1.8
18122019,54.79,2164.95,2174.0,2203.45,2153.0,2167.75,0.13
19122019,41.12,2167.75,2179.8,2236.5,2167.55,2229.05,2.83
20122019,48.23,2229.05,2220.0,2246.7,2208.25,2222.9,-0.28
23122019,52.02,2222.9,2210.0,2241.95,2210.0,2231.7,0.4
24122019,49.43,2231.7,2239.0,2243.55,2211.15,2215.6,-0.72
25122019,49.43,2231.7,2239.0,2243.55,2211.15,2215.6,-0.72
26122019,44.25,2215.6,2216.4,2229.0,2195.2,2201.95,-0.62
27122019,47.27,2201.95,2208.0,2226.4,2176.0,2198.5,-0.16
30122019,40.89,2198.5,2207.0,2225.0,2177.1,2183.2,-0.7
31122019,43.84,2183.2,2189.0,2197.0,2157.45,2161.7,-0.98
01012020,12.14,2161.7,2168.0,2183.9,2154.0,2167.6,0.27
02012020,50.58,2167.6,2179.95,2179.95,2149.2,2157.65,-0.46
03012020,39.39,2157.65,2164.0,2223.0,2164.0,2200.65,1.99
06012020,33.08,2200.65,2205.0,2225.95,2187.9,2200.45,-0.01
07012020,39.8,2200.45,2200.5,2214.65,2183.8,2205.85,0.25
08012020,44.03,2205.85,2205.0,2260.0,2202.05,2255.25,2.24
